Week,Day,Date,Time,Winner/tie,home/away,Loser/tie,PtsW,PtsL
12,Thu,2022-11-24,12:30PM,Buffalo Bills,@,Detroit Lions,28,25
12,Thu,2022-11-24,4:30PM,Dallas Cowboys,,New York Giants,28,20
12,Thu,2022-11-24,8:20PM,Minnesota Vikings,,New England Patriots,33,26
12,Sun,2022-11-27,1:00PM,Cincinnati Bengals,@,Tennessee Titans,20,16
12,Sun,2022-11-27,1:00PM,Cleveland Browns,,Tampa Bay Buccaneers,23,17
12,Sun,2022-11-27,1:00PM,Miami Dolphins,,Houston Texans,30,15
12,Sun,2022-11-27,1:00PM,Jacksonville Jaguars,,Baltimore Ravens,28,27
12,Sun,2022-11-27,1:00PM,Washington Commanders,,Atlanta Falcons,19,13
12,Sun,2022-11-27,1:00PM,Carolina Panthers,,Denver Broncos,23,10
12,Sun,2022-11-27,1:00PM,New York Jets,,Chicago Bears,31,10
12,Sun,2022-11-27,4:05PM,Las Vegas Raiders,@,Seattle Seahawks,40,34
12,Sun,2022-11-27,4:05PM,Los Angeles Chargers,@,Arizona Cardinals,25,24
12,Sun,2022-11-27,4:25PM,Kansas City Chiefs,,Los Angeles Rams,26,10
12,Sun,2022-11-27,4:25PM,San Francisco 49ers,,New Orleans Saints,13,0
12,Sun,2022-11-27,8:20PM,Philadelphia Eagles,,Green Bay Packers,40,33
12,Mon,2022-11-28,8:15PM,Pittsburgh Steelers,@,Indianapolis Colts,,
13,Thu,2022-12-01,8:15PM,Buffalo Bills,@,New England Patriots,,
13,Sun,2022-12-04,1:00PM,Denver Broncos,@,Baltimore Ravens,,
13,Sun,2022-12-04,1:00PM,Tennessee Titans,@,Philadelphia Eagles,,
13,Sun,2022-12-04,1:00PM,Pittsburgh Steelers,@,Atlanta Falcons,,
13,Sun,2022-12-04,1:00PM,Washington Commanders,@,New York Giants,,
13,Sun,2022-12-04,1:00PM,Jacksonville Jaguars,@,Detroit Lions,,
13,Sun,2022-12-04,1:00PM,New York Jets,@,Minnesota Vikings,,
13,Sun,2022-12-04,1:00PM,Green Bay Packers,@,Chicago Bears,,
13,Sun,2022-12-04,1:00PM,Cleveland Browns,@,Houston Texans,,
13,Sun,2022-12-04,4:05PM,Miami Dolphins,@,San Francisco 49ers,,
13,Sun,2022-12-04,4:05PM,Seattle Seahawks,@,Los Angeles Rams,,
13,Sun,2022-12-04,4:25PM,Los Angeles Chargers,@,Las Vegas Raiders,,
13,Sun,2022-12-04,4:25PM,Kansas City Chiefs,@,Cincinnati Bengals,,
13,Sun,2022-12-04,8:20PM,Indianapolis Colts,@,Dallas Cowboys,,
13,Mon,2022-12-05,8:15PM,New Orleans Saints,@,Tampa Bay Buccaneers,,
14,Thu,2022-12-08,8:15PM,Las Vegas Raiders,@,Los Angeles Rams,,
14,Sun,2022-12-11,1:00PM,Houston Texans,@,Dallas Cowboys,,
14,Sun,2022-12-11,1:00PM,Philadelphia Eagles,@,New York Giants,,
14,Sun,2022-12-11,1:00PM,Jacksonville Jaguars,@,Tennessee Titans,,
14,Sun,2022-12-11,1:00PM,New York Jets,@,Buffalo Bills,,
14,Sun,2022-12-11,1:00PM,Minnesota Vikings,@,Detroit Lions,,
14,Sun,2022-12-11,1:00PM,Baltimore Ravens,@,Pittsburgh Steelers,,
14,Sun,2022-12-11,1:00PM,Cleveland Browns,@,Cincinnati Bengals,,
14,Sun,2022-12-11,4:05PM,Miami Dolphins,@,Los Angeles Chargers,,
14,Sun,2022-12-11,4:25PM,Carolina Panthers,@,Seattle Seahawks,,
14,Sun,2022-12-11,4:25PM,Tampa Bay Buccaneers,@,San Francisco 49ers,,
14,Sun,2022-12-11,8:20PM,Kansas City Chiefs,@,Denver Broncos,,
14,Mon,2022-12-12,8:15PM,New England Patriots,@,Arizona Cardinals,,
15,Thu,2022-12-15,8:15PM,San Francisco 49ers,@,Seattle Seahawks,,
15,Sun,2022-12-18,1:00PM,Miami Dolphins,@,Buffalo Bills,,
15,Sun,2022-12-18,1:00PM,New York Giants,@,Washington Commanders,,
15,Sun,2022-12-18,1:00PM,Kansas City Chiefs,@,Houston Texans,,
15,Sun,2022-12-18,1:00PM,Atlanta Falcons,@,New Orleans Saints,,
15,Sun,2022-12-18,1:00PM,Philadelphia Eagles,@,Chicago Bears,,
15,Sun,2022-12-18,1:00PM,Indianapolis Colts,@,Minnesota Vikings,,
15,Sun,2022-12-18,1:00PM,Detroit Lions,@,New York Jets,,
15,Sun,2022-12-18,1:00PM,Baltimore Ravens,@,Cleveland Browns,,
15,Sun,2022-12-18,1:00PM,Pittsburgh Steelers,@,Carolina Panthers,,
15,Sun,2022-12-18,1:00PM,Dallas Cowboys,@,Jacksonville Jaguars,,
15,Sun,2022-12-18,4:05PM,Arizona Cardinals,@,Denver Broncos,,
15,Sun,2022-12-18,4:25PM,Cincinnati Bengals,@,Tampa Bay Buccaneers,,
15,Sun,2022-12-18,4:25PM,Tennessee Titans,@,Los Angeles Chargers,,
15,Sun,2022-12-18,8:20PM,New England Patriots,@,Las Vegas Raiders,,
15,Mon,2022-12-19,8:15PM,Los Angeles Rams,@,Green Bay Packers,,
16,Thu,2022-12-22,8:15PM,Jacksonville Jaguars,@,New York Jets,,
16,Sat,2022-12-24,1:00PM,Houston Texans,@,Tennessee Titans,,
16,Sat,2022-12-24,1:00PM,Detroit Lions,@,Carolina Panthers,,
