Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime
12,Thu,2022-11-24,12:30PM,lions,bills,25.0,28.0,2022-11-24 17:30:00+00:00,2022-11-20 16:30:00+00:00,2022-11-24 16:30:00+00:00
12,Thu,2022-11-24,4:30PM,cowboys,giants,28.0,20.0,2022-11-24 21:30:00+00:00,2022-11-20 20:30:00+00:00,2022-11-24 20:30:00+00:00
12,Thu,2022-11-24,8:20PM,vikings,patriots,33.0,26.0,2022-11-25 01:20:00+00:00,2022-11-21 00:20:00+00:00,2022-11-25 00:20:00+00:00
12,Sun,2022-11-27,1:00PM,titans,bengals,16.0,20.0,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,browns,buccaneers,23.0,17.0,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,dolphins,texans,30.0,15.0,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,jaguars,ravens,28.0,27.0,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,commanders,falcons,19.0,13.0,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,panthers,broncos,23.0,10.0,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,jets,bears,31.0,10.0,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,4:05PM,seahawks,raiders,34.0,40.0,2022-11-27 21:05:00+00:00,2022-11-23 20:05:00+00:00,2022-11-27 20:05:00+00:00
12,Sun,2022-11-27,4:05PM,cardinals,chargers,24.0,25.0,2022-11-27 21:05:00+00:00,2022-11-23 20:05:00+00:00,2022-11-27 20:05:00+00:00
12,Sun,2022-11-27,4:25PM,chiefs,rams,26.0,10.0,2022-11-27 21:25:00+00:00,2022-11-23 20:25:00+00:00,2022-11-27 20:25:00+00:00
12,Sun,2022-11-27,4:25PM,49ers,saints,13.0,0.0,2022-11-27 21:25:00+00:00,2022-11-23 20:25:00+00:00,2022-11-27 20:25:00+00:00
12,Sun,2022-11-27,8:20PM,eagles,packers,40.0,33.0,2022-11-28 01:20:00+00:00,2022-11-24 00:20:00+00:00,2022-11-28 00:20:00+00:00
12,Mon,2022-11-28,8:15PM,colts,steelers,,,2022-11-29 01:15:00+00:00,2022-11-25 00:15:00+00:00,2022-11-29 00:15:00+00:00
13,Thu,2022-12-01,8:15PM,patriots,bills,,,2022-12-02 01:15:00+00:00,2022-11-28 00:15:00+00:00,2022-12-02 00:15:00+00:00
13,Sun,2022-12-04,1:00PM,ravens,broncos,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,1:00PM,eagles,titans,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,1:00PM,falcons,steelers,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,1:00PM,giants,commanders,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,1:00PM,lions,jaguars,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,1:00PM,vikings,jets,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,1:00PM,bears,packers,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,1:00PM,texans,browns,,,2022-12-04 18:00:00+00:00,2022-11-30 17:00:00+00:00,2022-12-04 17:00:00+00:00
13,Sun,2022-12-04,4:05PM,49ers,dolphins,,,2022-12-04 21:05:00+00:00,2022-11-30 20:05:00+00:00,2022-12-04 20:05:00+00:00
13,Sun,2022-12-04,4:05PM,rams,seahawks,,,2022-12-04 21:05:00+00:00,2022-11-30 20:05:00+00:00,2022-12-04 20:05:00+00:00
13,Sun,2022-12-04,4:25PM,raiders,chargers,,,2022-12-04 21:25:00+00:00,2022-11-30 20:25:00+00:00,2022-12-04 20:25:00+00:00
13,Sun,2022-12-04,4:25PM,bengals,chiefs,,,2022-12-04 21:25:00+00:00,2022-11-30 20:25:00+00:00,2022-12-04 20:25:00+00:00
13,Sun,2022-12-04,8:20PM,cowboys,colts,,,2022-12-05 01:20:00+00:00,2022-12-01 00:20:00+00:00,2022-12-05 00:20:00+00:00
13,Mon,2022-12-05,8:15PM,buccaneers,saints,,,2022-12-06 01:15:00+00:00,2022-12-02 00:15:00+00:00,2022-12-06 00:15:00+00:00
14,Thu,2022-12-08,8:15PM,rams,raiders,,,2022-12-09 01:15:00+00:00,2022-12-05 00:15:00+00:00,2022-12-09 00:15:00+00:00
14,Sun,2022-12-11,1:00PM,cowboys,texans,,,2022-12-11 18:00:00+00:00,2022-12-07 17:00:00+00:00,2022-12-11 17:00:00+00:00
14,Sun,2022-12-11,1:00PM,giants,eagles,,,2022-12-11 18:00:00+00:00,2022-12-07 17:00:00+00:00,2022-12-11 17:00:00+00:00
14,Sun,2022-12-11,1:00PM,titans,jaguars,,,2022-12-11 18:00:00+00:00,2022-12-07 17:00:00+00:00,2022-12-11 17:00:00+00:00
14,Sun,2022-12-11,1:00PM,bills,jets,,,2022-12-11 18:00:00+00:00,2022-12-07 17:00:00+00:00,2022-12-11 17:00:00+00:00
14,Sun,2022-12-11,1:00PM,lions,vikings,,,2022-12-11 18:00:00+00:00,2022-12-07 17:00:00+00:00,2022-12-11 17:00:00+00:00
14,Sun,2022-12-11,1:00PM,steelers,ravens,,,2022-12-11 18:00:00+00:00,2022-12-07 17:00:00+00:00,2022-12-11 17:00:00+00:00
14,Sun,2022-12-11,1:00PM,bengals,browns,,,2022-12-11 18:00:00+00:00,2022-12-07 17:00:00+00:00,2022-12-11 17:00:00+00:00
14,Sun,2022-12-11,4:05PM,chargers,dolphins,,,2022-12-11 21:05:00+00:00,2022-12-07 20:05:00+00:00,2022-12-11 20:05:00+00:00
14,Sun,2022-12-11,4:25PM,seahawks,panthers,,,2022-12-11 21:25:00+00:00,2022-12-07 20:25:00+00:00,2022-12-11 20:25:00+00:00
14,Sun,2022-12-11,4:25PM,49ers,buccaneers,,,2022-12-11 21:25:00+00:00,2022-12-07 20:25:00+00:00,2022-12-11 20:25:00+00:00
14,Sun,2022-12-11,8:20PM,broncos,chiefs,,,2022-12-12 01:20:00+00:00,2022-12-08 00:20:00+00:00,2022-12-12 00:20:00+00:00
14,Mon,2022-12-12,8:15PM,cardinals,patriots,,,2022-12-13 01:15:00+00:00,2022-12-09 00:15:00+00:00,2022-12-13 00:15:00+00:00
15,Thu,2022-12-15,8:15PM,seahawks,49ers,,,2022-12-16 01:15:00+00:00,2022-12-12 00:15:00+00:00,2022-12-16 00:15:00+00:00
15,Sun,2022-12-18,1:00PM,bills,dolphins,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,commanders,giants,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,texans,chiefs,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,saints,falcons,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,bears,eagles,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,vikings,colts,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,jets,lions,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,browns,ravens,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,1:00PM,panthers,steelers,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
