,team,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,spread,def_rush_att,def_rush_tds,off_rush_att,off_rush_tds,def_pass_cmp,def_pass_att,def_pass_tds,def_pass_ints,off_pass_cmp,off_pass_att,off_pass_tds,off_pass_ints,def_sacks,def_sack_yds,tm_penalty,tm_penalty_yds,opp_penalty,opp_penalty_yds
0,falcons,1,Sun,September 11,home,saints,26,27,20,33,215,0,0,0,0,6.5,6.5,60.6,79.7,38,201,5.3,2,4,5,5,13,0,0,33:44,1,0-1,26,2.0,18,385,234,151,1.0,7.5,-4.62,0.51,5.5,19,1,38,2,23,34,2,0,20,33,0,0,4,35,8,55,8,99
1,saints,1,Sun,September 11,away,falcons,27,26,23,34,234,2,0,4,35,7.9,6.2,67.6,106.7,19,151,7.9,1,2,3,4,13,0,0,26:16,1,1-0,18,1.0,26,416,215,201,2.0,4.62,-7.5,-0.51,-5.5,38,2,19,1,20,33,0,0,23,34,2,0,0,0,8,99,8,55
2,panthers,1,Sun,September 11,home,browns,24,26,16,27,207,1,1,4,28,8.7,6.7,59.3,80.3,19,54,2.8,2,1,1,4,11,0,0,21:34,1,0-1,15,1.0,23,355,138,217,,5.38,-6.82,-1.66,1.5,39,1,19,2,18,34,1,0,16,27,1,1,1,9,8,96,9,71
3,browns,1,Sun,September 11,away,panthers,26,24,18,34,138,1,0,1,9,4.3,3.9,52.9,72.9,39,217,5.6,1,4,4,8,18,1,2,38:26,1,1-0,23,,15,261,207,54,1.0,6.82,-5.38,1.66,-1.5,19,2,39,1,16,27,1,1,18,34,1,0,4,28,9,71,8,96
4,bears,1,Sun,September 11,home,49ers,19,10,8,17,105,2,1,2,16,7.1,5.5,47.1,81.7,37,99,2.7,1,0,0,5,14,0,0,26:32,1,1-0,15,1.0,17,331,155,176,2.0,0.67,11.26,-0.42,6.0,37,1,37,1,13,28,0,1,8,17,2,1,2,9,3,24,12,99
5,49ers,1,Sun,September 11,away,bears,10,19,13,28,155,0,1,2,9,5.9,5.2,46.4,49.0,37,176,4.8,1,1,1,8,17,0,2,33:28,1,0-1,17,2.0,15,204,105,99,1.0,-11.26,-0.67,0.42,-6.0,37,1,37,1,8,17,2,1,13,28,0,1,2,16,12,99,3,24
6,bengals,1,Sun,September 11,home,steelers,20,23,33,53,299,2,4,7,39,6.4,5.0,62.3,58.6,34,133,3.9,0,2,3,8,16,1,3,43:42,1,0-1,32,5.0,13,267,192,75,,-7.49,8.41,-4.85,7.0,22,0,34,0,21,38,1,0,33,53,2,4,1,2,4,27,8,59
7,steelers,1,Sun,September 11,away,bengals,23,20,21,38,192,1,0,1,2,5.1,4.9,55.3,78.0,22,75,3.4,0,3,4,4,15,0,0,26:18,1,1-0,13,,32,432,299,133,5.0,-8.41,7.49,4.85,-7.0,34,0,22,0,33,53,2,4,21,38,1,0,7,39,8,59,4,27
8,texans,1,Sun,September 11,home,colts,20,20,23,37,222,2,0,3,18,6.5,5.6,62.2,96.9,28,77,2.8,0,2,2,5,15,0,0,30:23,1,0-0-1,20,1.0,33,517,340,177,2.0,-2.14,-5.67,9.43,7.0,38,1,28,0,32,50,1,1,23,37,2,0,2,12,6,40,7,89
9,colts,1,Sun,September 11,away,texans,20,20,32,50,340,1,1,2,12,7.0,6.5,64.0,82.1,38,177,4.7,1,2,3,6,15,0,1,39:37,1,0-0-1,33,2.0,20,299,222,77,1.0,5.67,2.14,-9.43,-7.0,28,0,38,1,23,37,2,0,32,50,1,1,3,18,7,89,6,40
10,lions,1,Sun,September 11,home,eagles,35,38,21,37,205,2,1,1,10,5.8,5.4,56.8,79.2,28,181,6.5,3,0,0,9,14,1,1,28:26,1,0-1,23,1.0,27,455,239,216,,15.67,-21.15,0.78,6.0,39,4,28,3,18,32,0,0,21,37,2,1,1,4,7,65,10,61
11,eagles,1,Sun,September 11,away,lions,38,35,18,32,239,0,0,1,4,7.6,7.2,56.3,80.1,39,216,5.5,4,1,1,10,17,2,3,31:34,1,1-0,27,,23,386,205,181,1.0,21.15,-15.67,-0.78,-6.0,28,3,39,4,21,37,2,1,18,32,0,0,1,10,10,61,7,65
12,commanders,1,Sun,September 11,home,jaguars,28,22,27,41,305,4,2,1,8,7.6,7.3,65.9,100.2,28,85,3.0,0,0,0,7,10,0,0,33:33,1,1-0,26,3.0,24,383,260,123,1.0,9.54,-3.64,0.26,3.0,18,1,28,0,24,42,1,1,27,41,4,2,2,15,6,63,13,90
13,jaguars,1,Sun,September 11,away,commanders,22,28,24,42,260,1,1,2,15,6.5,5.9,57.1,73.5,18,123,6.8,1,3,4,3,12,0,1,26:27,1,0-1,24,1.0,26,390,305,85,3.0,3.64,-9.54,-0.26,-3.0,28,0,18,1,27,41,4,2,24,42,1,1,1,8,13,90,6,63
