Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime,team_away,team_home,rush_away,rush_home,pass_away,pass_home,sacked_away,sacked_home,penalty_away,penalty_home,away_spread,url
10,Thu,2022-11-10,8:15PM,panthers,falcons,25,15,2022-11-11 01:15:00+00:00,2022-11-07 00:15:00+00:00,2022-11-11 00:15:00+00:00,ATL,CAR,25-138-0,47-232-2,19-30-186-2-1,10-16-108-0-0,5-33,1-7,4-37,10-89,Atlanta Falcons -2.5,https://www.pro-football-reference.com/boxscores/202211100car.htm
10,Sun,2022-11-13,9:30AM,buccaneers,seahawks,21,16,2022-11-13 14:30:00+00:00,2022-11-09 13:30:00+00:00,2022-11-13 13:30:00+00:00,SEA,TAM,14-39-0,44-161-1,23-33-275-2-0,22-30-258-2-2,3-31,0-0,6-46,4-40,Tampa Bay Buccaneers -2.5,https://www.pro-football-reference.com/boxscores/202211130tam.htm
10,Sun,2022-11-13,1:00PM,bills,vikings,30,33,2022-11-13 18:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-13 17:00:00+00:00,MIN,BUF,25-147-2,27-175-2,30-50-357-1-2,29-43-330-1-2,4-23,2-19,7-64,7-64,Buffalo Bills -6.5,https://www.pro-football-reference.com/boxscores/202211130buf.htm
10,Sun,2022-11-13,1:00PM,dolphins,browns,39,17,2022-11-13 18:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-13 17:00:00+00:00,CLE,MIA,24-112-1,33-195-2,22-35-212-1-0,26-33-302-3-0,3-27,1-6,6-52,5-43,Miami Dolphins -3.5,https://www.pro-football-reference.com/boxscores/202211130mia.htm
10,Sun,2022-11-13,1:00PM,titans,broncos,17,10,2022-11-13 18:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-13 17:00:00+00:00,DEN,TEN,25-65-0,23-63-0,21-42-286-1-1,19-36-255-2-0,6-38,1-11,8-50,9-60,Tennessee Titans -2.5,https://www.pro-football-reference.com/boxscores/202211130oti.htm
10,Sun,2022-11-13,1:00PM,giants,texans,24,16,2022-11-13 18:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-13 17:00:00+00:00,HOU,NYG,19-101-0,47-191-1,22-37-319-1-1,13-17-197-2-0,4-33,3-21,7-40,5-24,New York Giants -4.5,https://www.pro-football-reference.com/boxscores/202211130nyg.htm
10,Sun,2022-11-13,1:00PM,bears,lions,30,31,2022-11-13 18:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-13 17:00:00+00:00,DET,CHI,31-95-2,35-258-2,19-26-236-1-0,12-20-167-2-1,2-8,3-17,2-15,9-86,Chicago Bears -2.5,https://www.pro-football-reference.com/boxscores/202211130chi.htm
10,Sun,2022-11-13,1:00PM,chiefs,jaguars,27,17,2022-11-13 18:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-13 17:00:00+00:00,JAX,KAN,16-75-0,27-155-0,29-40-259-2-0,26-35-331-4-1,5-19,0-0,5-30,0-0,Kansas City Chiefs -9.0,https://www.pro-football-reference.com/boxscores/202211130kan.htm
10,Sun,2022-11-13,1:00PM,steelers,saints,20,10,2022-11-13 18:00:00+00:00,2022-11-09 17:00:00+00:00,2022-11-13 17:00:00+00:00,NOR,PIT,15-29-0,43-217-2,17-28-174-1-2,18-30-199-0-0,2-17,6-37,10-74,3-40,New Orleans Saints -1.0,https://www.pro-football-reference.com/boxscores/202211130pit.htm
10,Sun,2022-11-13,4:05PM,raiders,colts,20,25,2022-11-13 21:05:00+00:00,2022-11-09 20:05:00+00:00,2022-11-13 20:05:00+00:00,IND,LVR,30-207-2,24-77-1,21-28-222-1-0,24-38-248-2-0,1-14,2-16,4-25,10-74,Las Vegas Raiders -4.0,https://www.pro-football-reference.com/boxscores/202211130rai.htm
10,Sun,2022-11-13,4:25PM,packers,cowboys,31,28,2022-11-13 21:25:00+00:00,2022-11-09 20:25:00+00:00,2022-11-13 20:25:00+00:00,DAL,GNB,31-159-1,39-207-1,27-46-265-3-2,14-20-224-3-0,2-3,2-16,9-83,6-40,Dallas Cowboys -4.0,https://www.pro-football-reference.com/boxscores/202211130gnb.htm
10,Sun,2022-11-13,4:25PM,rams,cardinals,17,27,2022-11-13 21:25:00+00:00,2022-11-09 20:25:00+00:00,2022-11-13 20:25:00+00:00,ARI,LAR,26-78-2,20-66-1,26-37-238-1-0,25-37-209-1-1,2-18,3-19,10-67,5-29,Los Angeles Rams -2.5,https://www.pro-football-reference.com/boxscores/202211130ram.htm
10,Sun,2022-11-13,8:20PM,49ers,chargers,22,16,2022-11-14 01:20:00+00:00,2022-11-10 00:20:00+00:00,2022-11-14 00:20:00+00:00,LAC,SFO,16-51-0,41-157-2,21-37-196-1-1,19-28-240-0-0,3-9,1-10,1-5,5-52,San Francisco 49ers -7.5,https://www.pro-football-reference.com/boxscores/202211130sfo.htm
10,Mon,2022-11-14,8:15PM,eagles,commanders,21,32,2022-11-15 01:15:00+00:00,2022-11-11 00:15:00+00:00,2022-11-15 00:15:00+00:00,WAS,PHI,49-152-2,20-94-1,17-29-211-0-1,17-26-175-2-1,3-33,1-5,5-58,7-75,Philadelphia Eagles -10.5,https://www.pro-football-reference.com/boxscores/202211140phi.htm
