Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
16,Thu,2022-12-22,jets,jaguars,3.0,19.0,-2.0,39,147,1,20,66,0,20,31,229,0,0,19,33,182,0,1,1,11,3,21,9,64,3,25
16,Sat,2022-12-24,bears,bills,,,-8.0,31,254,3,29,80,0,15,26,172,2,2,18,28,144,1,1,1,0,2,15,2,15,9,72
16,Sat,2022-12-24,ravens,falcons,,,-6.5,33,115,0,34,184,0,22,33,218,0,0,9,17,115,1,0,2,6,0,0,1,6,5,48
16,Sat,2022-12-24,chiefs,seahawks,,,-10.0,31,133,0,22,77,1,25,40,215,1,1,16,28,224,2,0,2,15,1,4,5,39,6,35
16,Sat,2022-12-24,vikings,giants,,,-4.0,21,126,1,19,83,0,30,42,334,1,1,34,48,299,3,0,3,15,4,29,2,14,7,63
16,Sat,2022-12-24,browns,saints,,,-3.0,39,152,2,34,124,1,8,15,92,0,1,15,31,135,0,1,0,0,2,10,4,45,2,15
16,Sat,2022-12-24,patriots,bengals,,,-3.0,24,73,0,16,61,0,40,52,375,3,2,21,33,240,2,0,2,6,4,16,10,82,8,62
16,Sat,2022-12-24,titans,texans,,,-3.0,30,70,0,31,184,2,20,32,218,1,1,14,23,99,0,2,1,3,4,11,5,30,4,35
16,Sat,2022-12-24,panthers,lions,,,-2.5,17,45,0,43,320,3,25,42,355,3,0,15,22,250,1,0,2,19,0,0,10,74,4,30
16,Sat,2022-12-24,49ers,commanders,,,-6.5,33,79,0,26,153,2,25,34,289,3,1,15,22,234,2,1,2,19,3,16,4,25,6,51
16,Sat,2022-12-24,cowboys,eagles,,,-4.5,29,87,1,31,115,1,24,40,355,2,2,27,35,347,3,1,0,0,6,43,4,36,2,10
16,Sat,2022-12-24,steelers,raiders,,,-2.0,19,58,0,27,106,0,16,30,174,1,3,26,39,244,1,1,3,31,0,0,3,35,2,20
16,Sun,2022-12-25,dolphins,packers,,,-3.5,25,79,1,18,82,1,24,38,238,1,1,16,25,310,1,3,2,16,2,16,8,62,5,40
16,Sun,2022-12-25,rams,broncos,,,-3.0,20,104,0,36,158,3,19,35,259,1,4,24,28,230,2,0,6,40,0,0,3,6,6,55
16,Sun,2022-12-25,cardinals,buccaneers,,,-7.5,30,115,0,27,121,1,32,48,281,1,2,25,46,221,0,1,0,0,1,17,6,74,5,30
16,Mon,2022-12-26,colts,chargers,,,-4.0,32,101,2,14,69,0,24,31,235,0,1,17,29,143,0,3,4,22,7,39,2,11,6,60
