Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime
5,Thu,2022-10-06,8:15PM,broncos,colts,9,12,2022-10-07 01:15:00+00:00,2022-10-03 00:15:00+00:00,2022-10-07 00:15:00+00:00
5,Sun,2022-10-09,9:30AM,packers,giants,22,27,2022-10-09 14:30:00+00:00,2022-10-05 13:30:00+00:00,2022-10-09 13:30:00+00:00
5,Sun,2022-10-09,1:00PM,buccaneers,falcons,21,15,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,bills,steelers,38,3,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,vikings,bears,29,22,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,browns,chargers,28,30,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,patriots,lions,29,0,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,jaguars,texans,6,13,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,jets,dolphins,40,17,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,saints,seahawks,39,32,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,1:00PM,commanders,titans,17,21,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00
5,Sun,2022-10-09,4:05PM,panthers,49ers,15,37,2022-10-09 21:05:00+00:00,2022-10-05 20:05:00+00:00,2022-10-09 20:05:00+00:00
5,Sun,2022-10-09,4:25PM,cardinals,eagles,17,20,2022-10-09 21:25:00+00:00,2022-10-05 20:25:00+00:00,2022-10-09 20:25:00+00:00
5,Sun,2022-10-09,4:25PM,rams,cowboys,10,22,2022-10-09 21:25:00+00:00,2022-10-05 20:25:00+00:00,2022-10-09 20:25:00+00:00
5,Sun,2022-10-09,8:20PM,ravens,bengals,19,17,2022-10-10 01:20:00+00:00,2022-10-06 00:20:00+00:00,2022-10-10 00:20:00+00:00
5,Mon,2022-10-10,8:15PM,chiefs,raiders,30,29,2022-10-11 01:15:00+00:00,2022-10-07 00:15:00+00:00,2022-10-11 00:15:00+00:00
