team,timestamp,tweet_text,userid
bears,2022-11-28 21:18:15+00:00,b'Justin Fields who did not play on Sunday is still #7 in the NFL in rushing.   #BearsNation https://t.co/8YWSn12XtF',3025453876
bears,2022-11-28 21:18:01+00:00,"b""Elijah Moore 'grateful' after Jets win, weeks after trade request: 'I'm really just blessed' #Bears #ChicagoBears #BearsNation #DaBears https://t.co/AIbEAb22HW""",3013919629
bears,2022-11-28 21:16:52+00:00,"b'#OptionChain - #AXISBANK tough fight among #Bulls and #Bears #PCR :0.95 Max #CA buildup at 950,windup at 900 #PE buildup at 890 windup at 840 High #OI CA at 900,950,1000 PE at 800,850,880 Open account at https://t.co/giz54B9qdU and start #investing in #StockMarket https://t.co/3W1SF3iVgD'",948160204364849154
bears,2022-11-28 21:16:00+00:00,b'Justin Fields with my #ProBowlVote   All day every day!! #DaBears',1473334363832078344
bears,2022-11-28 21:15:14+00:00,b'Each one of them was a thing of beauty. \xf0\x9f\x90\xbb\xe2\xac\x87\xef\xb8\x8f#DaBears https://t.co/4ACbTXverj',61589120
bears,2022-11-28 21:14:19+00:00,b'#Bears FS Eddie Jackson currently leads all NFC free safeties in votes for the 2023 Pro Bowl.',1289713506
bears,2022-11-28 21:13:54+00:00,b'Bears WR Darnell Mooney out for rest of season #DarnellMooney #NFL  #ChicagoBears #DaBears  https://t.co/Wfmit2ey50',844270018812493824
bears,2022-11-28 21:13:47+00:00,b'#wildlife Links to WILDLIFE #deer #otters #bears #baby_elephant #seals #red_stag #strange_kittens #grizzly #zombie_deer https://t.co/kMCptdg6gF https://t.co/I5VhvF65Mh',19609660
bears,2022-11-28 21:13:18+00:00,b'Dave Duerson INT #Bears https://t.co/IS9wYBNee2',1087084293212594177
bears,2022-11-28 21:11:15+00:00,b'If the #Bears could pull this off \xf0\x9f\x98\xb6 https://t.co/x4H4D1tquw',1402397161745158155
bears,2022-11-28 21:11:00+00:00,"b""Bears' injury concerns could shift team priorities #Bears #ChicagoBears #BearsNation #DaBears https://t.co/etX6gOEtmV""",3013919629
bears,2022-11-28 21:10:31+00:00,b'@mattschneidman @RapSheet WEATHER  12/21/1997 Chicago Bears @ Tampa Bay Buccaneers 65 degrees- relative humidity 86%- wind 6 mph Final Score... Chicago Bears: 15 Tampa Bay Buccaneers: 31  #NFL #DaBears #GoBucs https://t.co/zNB0FQSqll',1474902145652637696
bears,2022-11-28 21:10:14+00:00,b'Darnell Mooney out for the rest of the season is a big blow for us. Gutted for him. Our season I think is done unfortunately   @ChicagoBears #DaBears #BearDown',1457879599715524612
bears,2022-11-28 21:08:53+00:00,b'Going to start on individual scouting reports for #Bears targets in the 2023 NFL Draft at @WCGridiron.  The first player? Will Anderson. Get ready. https://t.co/TGdG9JbvLG',1289713506
bears,2022-11-28 21:08:46+00:00,"b""Hey, we helped Mike White secure his job, why not help Jordan Love secure his?  YAY! WE'RE GOING TO THE TANK BOWL!!! \xf0\x9f\x98\x81  But if we only win more game this year, I'd like it to be this one.    #DaBears""",118877162
bears,2022-11-28 21:08:23+00:00,b'LaFleur said that if healthy Aaron Rodgers will play this week against the #Bears. He said he has not gone down the road about beyond the Chicago.',62173133
bears,2022-11-28 21:07:01+00:00,b'2023 NFL Draft Order: Bears currently at 2nd overall #BearsFootball #BearsTalk #DaBears #BearDown #BearsFans https://t.co/sPr4NBbBP3',3013919629
bears,2022-11-28 21:04:51+00:00,b'Should #DaBears Select at their Pick or Trade Down?!  https://t.co/e8CpHzb80P https://t.co/FDbAbLqWq1',1374141459666993153
bears,2022-11-28 21:04:03+00:00,b'NEW VIDEO TO YOUTUBE!!! Should Justin Fields Sit The Rest Of The Season??? || Chicago Bears News https://t.co/2ww8xm7zsk via @YouTube #DaBears #NFL #NFLTwitter https://t.co/ZLxUPfqkCj',365657778
bears,2022-11-28 21:02:45+00:00,"b""We are live! It's Mock Draft Monday! Yes I know its only November, but its a good laugh. Mon, join us! #Bears https://t.co/hZYi9vL4n7""",383993953
