team,timestamp,tweet_text,userid
bears,2022-12-18 16:58:16+00:00,b'Just get out of there healthy.  #Bears https://t.co/qaYK4msuVb',319117761
bears,2022-12-18 16:58:01+00:00,"b""@justnfields Hi Justin #BearDown but please, pretty please  don't let them nasty birds injure you #stayhealthy #Bears https://t.co/kQo4CLyGmN""",200126178
bears,2022-12-18 16:56:38+00:00,b'Slim pickings at wideout for #DaBears today:  https://t.co/nY9MTJ2mcx',1110599572466925569
bears,2022-12-18 16:56:36+00:00,"b'My weekly #Eagles prediction. Birds keep rolling. #FlyEaglesFly 31, #DaBears 14. (Season record: 8-5).'",188871817
bears,2022-12-18 16:55:25+00:00,"b'@zachlanebryan Love ya Zach, but\xe2\x80\xa6 we\xe2\x80\x99re gonna Super Bowl Shuffle all over the Flappy Birds! #BearDown #ChicagoBears #JunkyardDogs #MonstersOfTheMidway #DaBears! https://t.co/UOdZZOluuu'",4516557441
bears,2022-12-18 16:55:23+00:00,b'The #Bears will need young guys to step up Sunday\xe2\x80\xa6  https://t.co/llaAS93IHL',2940977504
bears,2022-12-18 16:54:35+00:00,b'#Bears Inactives Against The Eagles: Who Will Justin Fields Throw To? (via @PatBoadway)  @BearsOnTap  https://t.co/t9ot6WH2nI',1116456538451869697
bears,2022-12-18 16:53:17+00:00,"b'Adding Phi/Chi under 48.5.  Cold, some wind, generally not enough, but we also have other reasons. @TheRealSCav   #NFL #Eagles #Bears'",817165238252474368
bears,2022-12-18 16:52:42+00:00,b'\xf0\x9f\x9a\xa8Free Pick - #NFL  Rushing Prop \xe2\x9b\x8f\xef\xb8\x8fin the #FlyEaglesFly #DaBears Game #GamblingTwitter #NFLTwitter  https://t.co/Sol1POuwMZ',1549053368567582720
bears,2022-12-18 16:51:59+00:00,"b""Here's the baby #Blackbear to cheer everyone up! THROWBACK to #summer #wildlifephotography #TwitterNaturePhotography #TwitterNatureCommunity #Wisconsin #wildlifeupclose #wildlife #bears #nature #wilderness #NaturePhotography https://t.co/3EWhcB1rKt""",1536821546936934400
bears,2022-12-18 16:51:56+00:00,b'@Bill_Wilcox @RossTuckerNFL There is some talent but not much.  The rookies have promise but the D-line is awful! #FlyEaglesFly #dabears',220034292
bears,2022-12-18 16:51:48+00:00,"b""The Eagles will win 31-9 today over the Bears  It's not even going to be that close  #FlyEaglesFly #DaBears @DSM_Media""",336088918
bears,2022-12-18 16:51:22+00:00,b'Please pray for our Quarterback today. \xf0\x9f\x98\x94 #DaBears https://t.co/cOLihhUt2j',311209601
bears,2022-12-18 16:51:19+00:00,b'Congratulations to @EarlBBennett from #DaBears fans. https://t.co/bWxdU8XxXD',989633565792067584
