team,timestamp,tweet_text,userid
49ers,2022-12-24 20:03:31+00:00,b'When it\xe2\x80\x99s #Gameday but it\xe2\x80\x99s 7\xc2\xb0 outside. #FTTB https://t.co/94iVTftZce',441996336
49ers,2022-12-24 20:03:03+00:00,b'CHASE YOUNG\xf0\x9f\xa4\x9dNICK BOSA \xc2\xa1HERMANOS DE OHIO STATE!\xf0\x9f\xa4\xa9  #HTTC | #FTTB   https://t.co/cuqbVUrqs9',1220016492735016960
49ers,2022-12-24 19:53:14+00:00,"b'Mule in hand and I\xe2\x80\x99m ready for the game that matters, what ever happens next I end up blaming @Flakkers @dbetteridge73 and @DavidEllicottUK \xf0\x9f\xa5\x83 #FTTB https://t.co/l0q7NkoRXb'",601772815
49ers,2022-12-24 19:27:00+00:00,b'Glazer: #49ers holding out hope that Jimmy Garoppolo can return for playoffs  @JayGlazer | #FTTB https://t.co/BTOXNIbj28',41962915
49ers,2022-12-24 19:21:31+00:00,b'@49erscast1 27-14 - 49ers win\xe2\x80\xa6 LFG !!! #FTTB',1193944473694175232
49ers,2022-12-24 19:21:18+00:00,b'Let\xe2\x80\x99s play a game. Find me at Levi\xe2\x80\x99s and I\xe2\x80\x99ll buy you a drink #49ers',2311175316
49ers,2022-12-24 19:21:00+00:00,b'The 3 best prop bets for 49ers/Commanders on Saturday: Purdy have have to win ugly #NinersFootball #ErsFootball #FTTB #Ers #NinerGang #NinerFam https://t.co/OSE9WbhRrV',3017960336
49ers,2022-12-24 19:19:51+00:00,"b""Let's keep the good mojo goin! #FTTB https://t.co/lqmqNJu1id""",81028862
49ers,2022-12-24 19:19:01+00:00,b'Game Day baby\xf0\x9f\x98\xa4 #FTTB',984198894
49ers,2022-12-24 19:18:28+00:00,b'Merry Christmas Eve \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x85\xf0\x9f\x8f\xbb\xf0\x9f\x8e\x84 @49ers #FTTB  #GameDay https://t.co/sDrl1O8w7x',1055517340144680961
49ers,2022-12-24 19:17:39+00:00,b'Niners game day ready #FTTB https://t.co/wrYQLrJgcY',188739551
49ers,2022-12-24 19:15:55+00:00,"b'Merry Christmas, everyone #49ers #FTTB https://t.co/exggE5pIsF'",1485861446932000768
