Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,@,Chicago Bears,10,19,13,28,155,0,1,2,9,5.9,5.2,46.4,49.0,37,176,4.8,1,1,1,1,1,4,161,8,17,0,2,33:28
2,Sun,September 18,boxscore,W,,,Seattle Seahawks,27,7,15,24,184,1,0,1,0,7.7,7.4,62.5,100.0,45,189,4.2,2,2,3,3,3,3,132,6,15,2,3,38:20
3,Sun,September 25,boxscore,L,,@,Denver Broncos,10,11,18,29,179,1,1,4,32,7.3,5.4,62.1,76.7,19,88,4.6,0,1,1,1,1,7,362,1,10,0,0,25:31
4,Mon,October 3,boxscore,W,,,Los Angeles Rams,24,9,16,27,239,1,0,0,0,8.9,8.9,59.3,100.7,22,88,4.0,1,1,2,3,3,4,158,5,12,0,1,25:26
5,Sun,October 9,boxscore,W,,@,Carolina Panthers,37,15,18,30,244,2,0,2,9,8.4,7.6,60.0,108.2,29,153,5.3,2,1,2,4,5,2,75,7,12,0,0,30:18
6,Sun,October 16,boxscore,L,,@,Atlanta Falcons,14,28,29,41,296,2,2,0,0,7.2,7.2,70.7,87.0,16,50,3.1,0,0,0,2,2,3,158,3,8,0,1,26:35
7,Sun,October 23,boxscore,L,,,Kansas City Chiefs,23,44,29,46,343,2,2,5,26,8.0,6.7,63.0,82.1,21,101,4.8,0,3,3,2,2,1,29,8,14,0,0,33:45
8,Sun,October 30,boxscore,W,,@,Los Angeles Rams,31,14,22,26,257,3,0,3,12,10.3,8.9,84.6,146.3,23,111,4.8,1,1,1,4,4,3,123,5,9,0,0,29:56
10,Sun,November 13,boxscore,W,,,Los Angeles Chargers,22,16,19,28,230,0,0,1,10,8.6,7.9,67.9,92.9,41,157,3.8,2,3,3,1,2,4,132,9,17,1,1,36:59
11,Mon,November 21,boxscore,W,,@,Arizona Cardinals,38,10,20,29,228,4,0,0,0,7.9,7.9,69.0,131.9,28,159,5.7,1,1,1,5,5,4,215,6,11,0,0,29:09
12,Sun,November 27,boxscore,W,,,New Orleans Saints,13,0,26,37,221,1,0,1,1,6.0,5.8,70.3,94.5,29,96,3.3,0,2,2,1,1,4,175,5,13,1,2,34:50
13,Sun,December 4,boxscore,W,,,Miami Dolphins,33,17,27,41,230,2,1,4,36,6.5,5.1,65.9,86.4,34,121,3.6,0,4,4,3,3,4,178,8,19,1,2,40:34
14,Sun,December 11,boxscore,W,,,Tampa Bay Buccaneers,35,7,17,23,195,2,0,0,0,8.5,8.5,73.9,128.0,36,209,5.8,3,0,0,5,5,3,134,4,9,1,2,32:40
15,Thu,December 15,boxscore,W,,@,Seattle Seahawks,21,13,17,26,211,2,0,1,6,8.3,7.8,65.4,116.0,34,170,5.0,1,0,1,3,3,6,253,6,13,0,0,33:01
16,Sat,December 24,boxscore,W,,,Washington Commanders,37,20,15,22,218,2,1,3,16,10.6,8.7,68.2,111.6,26,153,5.9,2,3,3,4,4,2,80,4,11,1,2,26:25
17,Sun,January 1,boxscore,W,OT,@,Las Vegas Raiders,37,34,22,35,284,2,1,0,0,8.1,8.1,62.9,95.4,27,170,6.3,2,3,4,4,4,2,93,4,8,0,0,31:07
18,Sun,January 8,boxscore,W,,,Arizona Cardinals,38,13,15,20,142,3,0,4,36,8.9,5.9,75.0,133.7,37,169,4.6,2,1,1,5,5,5,218,6,13,0,1,34:14
19,Sat,January 14,boxscore,W,,,Seattle Seahawks,41,23,18,30,324,3,0,1,8,11.1,10.5,60.0,130.4,33,181,5.5,1,4,4,3,3,1,57,6,11,0,0,32:46
