Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,@,Chicago Bears,10,19,17,331,155,176,2,15,204,105,99,1,-11.26,-0.67,0.42
2,Sun,September 18,4:05PM ET,boxscore,W,,1-1,,Seattle Seahawks,27,7,25,373,184,189,,14,216,180,36,3,16.39,9.18,-7.67
3,Sun,September 25,8:20PM ET,boxscore,L,,1-2,@,Denver Broncos,10,11,13,267,179,88,3,14,261,160,101,,-16.39,13.59,-1.26
4,Mon,October 3,8:15PM ET,boxscore,W,,2-2,,Los Angeles Rams,24,9,13,327,239,88,,21,257,200,57,2,10.05,11.56,-7.93
5,Sun,October 9,4:05PM ET,boxscore,W,,3-2,@,Carolina Panthers,37,15,22,397,244,153,1,15,308,244,64,1,16.04,13.22,-7.82
6,Sun,October 16,1:00PM ET,boxscore,L,,3-3,@,Atlanta Falcons,14,28,21,346,296,50,3,18,289,121,168,,0.59,-11.56,1.69
7,Sun,October 23,4:25PM ET,boxscore,L,,3-4,,Kansas City Chiefs,23,44,25,444,343,101,3,24,529,417,112,2,3.59,-30.58,8.50
8,Sun,October 30,4:25PM ET,boxscore,W,,4-4,@,Los Angeles Rams,31,14,22,368,257,111,,16,223,167,56,,23.18,-3.37,-2.48
10,Sun,November 13,8:20PM ET,boxscore,W,,5-4,,Los Angeles Chargers,22,16,22,387,230,157,1,12,238,187,51,1,6.20,7.29,-5.38
11,Mon,November 21,8:15PM ET,boxscore,W,,6-4,@,Arizona Cardinals,38,10,21,387,228,159,,19,314,247,67,2,20.26,9.44,-1.43
12,Sun,November 27,4:25PM ET,boxscore,W,,7-4,,New Orleans Saints,13,0,21,317,221,96,,14,260,197,63,2,2.05,8.15,2.22
13,Sun,December 4,4:05PM ET,boxscore,W,,8-4,,Miami Dolphins,33,17,24,351,230,121,1,14,308,275,33,4,1.78,13.36,1.00
14,Sun,December 11,4:25PM ET,boxscore,W,,9-4,,Tampa Bay Buccaneers,35,7,24,404,195,209,1,18,322,253,69,3,18.39,13.41,-0.43
15,Thu,December 15,8:15PM ET,boxscore,W,,10-4,@,Seattle Seahawks,21,13,15,381,211,170,,16,277,207,70,1,9.75,11.24,-8.96
16,Sat,December 24,4:05PM ET,boxscore,W,,11-4,,Washington Commanders,37,20,14,371,218,153,1,21,349,270,79,2,9.41,2.45,3.02
17,Sun,January 1,4:05PM ET,boxscore,W,OT,12-4,@,Las Vegas Raiders,37,34,27,454,284,170,1,29,500,365,135,2,23.25,-13.83,-6.49
18,Sun,January 8,4:25PM ET,boxscore,W,,13-4,,Arizona Cardinals,38,13,21,311,142,169,,11,255,194,61,4,9.62,15.23,0.80
19,Sat,January 14,4:30PM ET,boxscore,W,,14-4,,Seattle Seahawks,41,23,24,505,324,181,,22,332,228,104,2,27.60,-6.41,-0.62
