Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,,San Francisco 49ers,19,10,8,17,105,2,1,2,16,7.1,5.5,47.1,81.7,37,99,2.7,1,0,0,1,3,6,277,5,14,0,0,26:32
2,Sun,September 18,boxscore,L,,@,Green Bay Packers,10,27,7,11,48,0,1,3,22,6.4,3.4,63.6,35.4,27,180,6.7,1,1,1,1,1,4,198,1,7,0,1,22:45
3,Sun,September 25,boxscore,W,,,Houston Texans,23,20,8,17,82,0,2,5,24,6.2,3.7,47.1,21.8,40,281,7.0,2,3,3,2,2,4,182,6,14,0,0,31:22
4,Sun,October 2,boxscore,L,,@,New York Giants,12,20,11,22,155,0,0,6,19,7.9,5.5,50.0,73.1,32,149,4.7,0,4,4,0,0,5,264,5,15,0,0,28:43
5,Sun,October 9,boxscore,L,,@,Minnesota Vikings,22,29,15,21,193,1,0,2,15,9.9,8.4,71.4,115.8,24,78,3.3,1,3,3,1,1,2,112,4,10,1,1,23:16
6,Thu,October 13,boxscore,L,,,Washington Commanders,7,12,14,27,154,1,1,5,36,7.0,4.8,51.9,66.0,37,237,6.4,0,0,0,1,1,4,185,5,13,1,4,32:12
7,Mon,October 24,boxscore,W,,@,New England Patriots,33,14,13,21,147,1,1,4,32,8.5,5.9,61.9,78.9,45,243,5.4,2,4,4,3,3,2,81,11,18,0,1,37:14
8,Sun,October 30,boxscore,L,,@,Dallas Cowboys,29,49,18,24,131,2,0,4,25,6.5,4.7,75.0,115.1,43,240,5.6,2,1,1,2,2,4,203,6,15,2,3,36:04
9,Sun,November 6,boxscore,L,,,Miami Dolphins,32,35,17,28,116,3,0,2,7,4.4,3.9,60.7,105.7,40,252,6.3,1,1,1,3,3,3,83,10,16,1,2,34:46
10,Sun,November 13,boxscore,L,,,Detroit Lions,30,31,12,20,150,2,1,3,17,8.4,6.5,60.0,95.8,35,258,7.4,2,1,1,3,4,3,129,6,11,0,1,29:12
11,Sun,November 20,boxscore,L,,@,Atlanta Falcons,24,27,14,21,128,1,1,4,25,7.3,5.1,66.7,79.1,41,160,3.9,2,1,2,3,3,4,160,9,16,0,0,35:10
12,Sun,November 27,boxscore,L,,@,New York Jets,10,31,14,25,165,1,1,2,14,7.2,6.1,56.0,72.9,29,127,4.4,0,1,1,1,1,5,244,4,13,2,3,27:55
13,Sun,December 4,boxscore,L,,,Green Bay Packers,19,28,20,25,254,0,2,0,0,10.2,10.2,80.0,75.7,25,155,6.2,2,2,3,1,2,1,39,6,11,0,0,27:32
15,Sun,December 18,boxscore,L,,,Philadelphia Eagles,20,25,14,22,91,2,0,6,61,6.9,3.3,63.6,102.7,30,157,5.2,1,0,0,2,3,6,252,5,13,0,1,30:07
16,Sat,December 24,boxscore,L,,,Buffalo Bills,13,35,18,28,129,1,1,2,15,5.1,4.3,64.3,71.9,29,80,2.8,0,2,2,1,1,4,197,2,12,1,4,31:12
17,Sun,January 1,boxscore,L,,@,Detroit Lions,10,41,7,21,30,1,1,7,45,3.6,1.1,33.3,38.4,22,200,9.1,0,1,1,1,1,7,321,3,13,0,1,24:17
18,Sun,January 8,boxscore,L,,,Minnesota Vikings,13,29,13,27,141,1,2,1,6,5.4,5.0,48.1,45.4,22,118,5.4,1,0,0,1,1,3,111,2,9,0,3,23:24
