Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,,San Francisco 49ers,19,10,15,204,105,99,1,17,331,155,176,2,0.67,11.26,-0.42
2,Sun,September 18,8:20PM ET,boxscore,L,,1-1,@,Green Bay Packers,10,27,11,228,48,180,1,26,414,211,203,1,-4.40,-16.87,1.71
3,Sun,September 25,1:00PM ET,boxscore,W,,2-1,,Houston Texans,23,20,17,363,82,281,2,17,329,237,92,2,2.69,1.75,-1.18
4,Sun,October 2,1:00PM ET,boxscore,L,,2-2,@,New York Giants,12,20,16,304,155,149,3,21,333,71,262,2,-6.69,-9.33,7.79
5,Sun,October 9,1:00PM ET,boxscore,L,,2-3,@,Minnesota Vikings,22,29,14,271,193,78,1,29,429,312,117,1,1.82,-21.45,9.74
6,Thu,October 13,8:15PM ET,boxscore,L,,2-4,,Washington Commanders,7,12,20,391,154,237,2,14,214,86,128,,-2.22,7.28,-6.24
7,Mon,October 24,8:15PM ET,boxscore,W,,3-4,@,New England Patriots,33,14,24,390,147,243,1,12,260,190,70,4,8.77,10.97,0.11
8,Sun,October 30,1:00PM ET,boxscore,L,,3-5,@,Dallas Cowboys,29,49,22,371,131,240,1,24,442,242,200,1,1.52,-26.47,3.05
9,Sun,November 6,1:00PM ET,boxscore,L,,3-6,,Miami Dolphins,32,35,23,368,116,252,,21,379,302,77,,17.18,-19.83,-2.01
10,Sun,November 13,1:00PM ET,boxscore,L,,3-7,,Detroit Lions,30,31,19,408,150,258,1,25,323,228,95,,9.38,-13.55,-2.09
11,Sun,November 20,1:00PM ET,boxscore,L,,3-8,@,Atlanta Falcons,24,27,20,288,128,160,1,18,280,131,149,2,3.91,-4.06,-5.42
12,Sun,November 27,1:00PM ET,boxscore,L,,3-9,@,New York Jets,10,31,14,292,165,127,1,22,466,308,158,,-3.97,-20.96,3.63
13,Sun,December 4,1:00PM ET,boxscore,L,,3-10,,Green Bay Packers,19,28,15,409,254,155,3,21,357,182,175,,7.73,-13.69,0.33
15,Sun,December 18,1:00PM ET,boxscore,L,,3-11,,Philadelphia Eagles,20,25,15,248,91,157,1,20,421,309,112,3,-6.32,-5.25,2.12
16,Sat,December 24,1:00PM ET,boxscore,L,,3-12,,Buffalo Bills,13,35,11,209,129,80,2,20,426,172,254,3,-20.55,-9.47,9.39
17,Sun,January 1,1:00PM ET,boxscore,L,,3-13,@,Detroit Lions,10,41,9,230,30,200,2,26,504,239,265,,-10.91,-22.92,6.73
18,Sun,January 8,1:00PM ET,boxscore,L,,3-14,,Minnesota Vikings,13,29,13,259,141,118,2,28,482,341,141,2,-5.75,-16.54,5.65
