Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,OT,,Pittsburgh Steelers,20,23,33,53,299,2,4,7,39,6.4,5.0,62.3,58.6,34,133,3.9,0,2,3,0,1,3,158,8,16,1,3,43:42
2,Sun,September 18,boxscore,L,,@,Dallas Cowboys,17,20,24,36,165,1,0,6,34,5.5,3.9,66.7,86.0,25,89,3.6,0,3,3,0,0,5,236,6,17,1,1,33:48
3,Sun,September 25,boxscore,W,,@,New York Jets,27,12,23,36,261,3,0,2,14,7.6,6.9,63.9,113.3,28,69,2.5,0,2,3,3,3,3,142,7,14,0,1,32:24
4,Thu,September 29,boxscore,W,,,Miami Dolphins,27,15,21,32,304,2,0,1,6,9.7,9.2,65.6,117.2,30,67,2.2,1,2,2,3,3,4,159,8,15,0,1,31:35
5,Sun,October 9,boxscore,L,,@,Baltimore Ravens,17,19,24,35,190,1,1,3,27,6.2,5.0,68.6,79.5,21,101,4.8,1,1,1,2,2,4,154,4,10,0,1,30:01
6,Sun,October 16,boxscore,W,,@,New Orleans Saints,30,26,28,37,273,3,0,3,27,8.1,6.8,75.7,122.9,14,75,5.4,1,1,1,3,3,3,131,6,10,0,0,27:46
7,Sun,October 23,boxscore,W,,,Atlanta Falcons,35,17,34,42,459,3,0,3,22,11.5,10.2,81.0,136.0,21,78,3.7,2,0,0,5,5,2,93,7,11,0,1,33:05
8,Mon,October 31,boxscore,L,,@,Cleveland Browns,13,32,25,35,193,2,1,5,39,6.6,4.8,71.4,91.7,10,36,3.6,0,0,1,1,2,4,147,4,10,0,1,23:15
9,Sun,November 6,boxscore,W,,,Carolina Panthers,42,21,25,31,223,1,0,2,5,7.4,6.8,80.6,107.4,39,241,6.2,5,0,1,6,6,3,120,6,10,0,0,39:21
11,Sun,November 20,boxscore,W,,@,Pittsburgh Steelers,37,30,24,39,346,4,2,2,9,9.1,8.4,61.5,103.2,24,62,2.6,0,3,3,4,4,3,162,3,9,0,0,31:36
12,Sun,November 27,boxscore,W,,@,Tennessee Titans,20,16,22,37,266,1,0,1,4,7.3,7.0,59.5,90.6,28,108,3.9,1,2,2,2,2,5,259,5,14,0,0,31:46
13,Sun,December 4,boxscore,W,,,Kansas City Chiefs,27,24,25,31,279,2,0,1,7,9.2,8.7,80.6,125.7,34,152,4.5,1,2,2,3,3,1,40,7,11,0,1,32:06
14,Sun,December 11,boxscore,W,,,Cleveland Browns,23,10,18,33,227,2,1,2,12,7.2,6.5,54.5,83.8,26,136,5.2,1,1,1,2,3,5,205,6,15,0,0,28:08
15,Sun,December 18,boxscore,W,,@,Tampa Bay Buccaneers,34,23,27,39,184,4,1,2,16,5.1,4.5,69.2,102.9,21,53,2.5,0,2,2,2,2,4,180,5,13,0,0,29:25
16,Sat,December 24,boxscore,W,,@,New England Patriots,22,18,40,52,369,3,2,2,6,7.2,6.8,76.9,99.0,24,73,3.0,0,1,2,1,2,3,130,8,16,1,1,36:48
18,Sun,January 8,boxscore,W,,,Baltimore Ravens,27,16,25,42,202,1,0,2,13,5.1,4.6,59.5,79.7,20,55,2.8,1,2,2,3,3,7,362,5,15,0,1,31:19
19,Sun,January 15,boxscore,W,,,Baltimore Ravens,24,17,23,32,183,1,0,4,26,6.5,5.1,71.9,96.2,18,51,2.8,1,1,1,1,2,3,151,7,13,0,0,27:34
