Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Thu,September 8,boxscore,W,,@,Los Angeles Rams,31,10,26,31,292,3,2,2,5,9.6,8.8,83.9,111.3,25,121,4.8,1,1,1,4,4,0,0,9,10,0,0,31:14
2,Mon,September 19,boxscore,W,,,Tennessee Titans,41,7,26,40,313,4,0,1,4,7.9,7.6,65.0,122.2,24,101,4.2,0,2,2,5,5,3,145,5,13,2,3,31:34
3,Sun,September 25,boxscore,L,,@,Miami Dolphins,19,21,42,63,382,2,0,4,18,6.3,5.7,66.7,93.5,23,115,5.0,0,1,2,2,2,1,31,11,18,2,3,40:40
4,Sun,October 2,boxscore,W,,@,Baltimore Ravens,23,20,19,36,201,1,1,1,12,5.9,5.4,52.8,67.0,25,125,5.0,1,3,3,2,2,3,136,4,11,1,1,21:50
5,Sun,October 9,boxscore,W,,,Pittsburgh Steelers,38,3,22,36,432,4,1,0,0,12.0,12.0,61.1,128.5,18,120,6.7,1,1,2,5,5,2,110,5,9,0,0,23:52
6,Sun,October 16,boxscore,W,,@,Kansas City Chiefs,24,20,27,40,318,3,0,1,11,8.2,7.8,67.5,116.5,31,125,4.0,0,1,1,3,3,2,108,4,11,1,3,31:28
8,Sun,October 30,boxscore,W,,,Green Bay Packers,27,17,13,25,216,2,2,2,2,8.7,8.0,52.0,74.7,27,153,5.7,1,2,2,3,3,2,73,2,7,0,0,26:12
9,Sun,November 6,boxscore,L,,@,New York Jets,17,20,18,34,183,0,2,5,22,6.0,4.7,52.9,44.1,22,134,6.1,2,1,2,2,2,2,111,8,13,0,1,27:16
10,Sun,November 13,boxscore,L,OT,,Minnesota Vikings,30,33,29,43,311,1,2,2,19,7.7,6.9,67.4,76.8,27,175,6.5,2,3,3,3,3,3,152,7,13,0,1,33:46
11,Sun,November 20,boxscore,W,,,Cleveland Browns,31,23,18,27,186,1,0,2,11,7.3,6.4,66.7,98.7,33,171,5.2,1,6,6,1,1,2,99,3,11,0,0,28:38
12,Thu,November 24,boxscore,W,,@,Detroit Lions,28,25,24,42,237,2,1,3,16,6.0,5.3,57.1,79.2,29,164,5.7,1,2,2,2,3,4,197,7,12,0,0,31:26
13,Thu,December 1,boxscore,W,,@,New England Patriots,24,10,22,33,223,2,0,2,0,6.8,6.4,66.7,106.0,37,132,3.6,1,1,1,3,3,3,136,9,15,0,0,38:08
14,Sun,December 11,boxscore,W,,,New York Jets,20,12,16,27,130,1,0,3,17,5.4,4.3,59.3,83.9,24,102,4.3,1,2,2,2,2,8,347,2,13,0,0,25:35
15,Sat,December 17,boxscore,W,,,Miami Dolphins,32,29,25,40,296,4,0,2,8,7.6,7.0,62.5,118.3,29,150,5.2,0,1,1,3,3,5,215,8,14,0,0,29:53
16,Sat,December 24,boxscore,W,,@,Chicago Bears,35,13,15,26,172,2,2,1,0,6.6,6.4,57.7,71.3,31,254,8.2,3,0,1,3,4,3,161,6,11,1,1,28:48
18,Sun,January 8,boxscore,W,,,New England Patriots,35,23,19,31,237,3,1,2,17,8.2,7.2,61.3,103.8,25,90,3.6,0,0,0,5,5,3,125,7,12,0,0,27:23
19,Sun,January 15,boxscore,W,,,Miami Dolphins,34,31,23,39,316,3,2,7,36,9.0,6.9,59.0,89.3,26,107,4.1,1,2,2,4,4,5,239,9,16,0,1,32:13
