Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Mon,September 12,boxscore,L,,@,Seattle Seahawks,16,17,29,42,330,1,0,2,10,8.1,7.5,69.0,100.3,20,103,5.2,0,3,4,1,1,1,36,8,15,0,1,33:39
2,Sun,September 18,boxscore,W,,,Houston Texans,16,9,14,31,201,1,1,3,18,7.1,5.9,45.2,64.0,31,149,4.8,0,3,3,1,1,5,214,3,12,1,1,32:33
3,Sun,September 25,boxscore,W,,,San Francisco 49ers,11,10,20,33,160,0,0,4,24,5.6,4.3,60.6,72.8,33,101,3.1,1,1,2,0,0,10,476,6,19,0,0,34:29
4,Sun,October 2,boxscore,L,,@,Las Vegas Raiders,23,32,17,25,214,2,0,3,23,9.5,7.6,68.0,121.1,20,85,4.3,1,1,1,2,3,5,241,3,11,1,2,25:08
5,Thu,October 6,boxscore,L,OT,,Indianapolis Colts,9,12,21,39,250,0,2,4,24,7.0,5.8,53.8,52.3,28,125,4.5,0,3,4,0,0,5,229,2,15,1,2,32:39
6,Mon,October 17,boxscore,L,OT,@,Los Angeles Chargers,16,19,15,28,160,1,0,4,28,6.7,5.0,53.6,82.4,23,98,4.3,0,3,3,1,1,7,323,4,14,0,0,28:33
7,Sun,October 23,boxscore,L,,,New York Jets,9,16,24,46,219,0,1,1,6,4.9,4.7,52.2,56.3,28,105,3.8,1,1,2,0,1,6,240,5,16,1,3,32:23
8,Sun,October 30,boxscore,W,,@,Jacksonville Jaguars,21,17,18,30,230,1,1,3,22,8.4,7.0,60.0,81.3,28,101,3.6,2,0,0,3,3,6,306,2,11,2,3,25:56
10,Sun,November 13,boxscore,L,,@,Tennessee Titans,10,17,21,42,248,1,1,6,38,6.8,5.2,50.0,66.4,25,65,2.6,0,1,1,1,1,9,411,4,17,2,3,33:57
11,Sun,November 20,boxscore,L,OT,,Las Vegas Raiders,16,22,24,31,226,0,0,3,21,8.0,6.6,77.4,97.0,28,94,3.4,1,3,4,1,1,4,187,3,12,0,0,28:57
12,Sun,November 27,boxscore,L,,@,Carolina Panthers,10,23,19,35,125,1,0,3,17,4.1,3.3,54.3,71.7,19,121,6.4,0,1,2,1,1,7,367,4,14,0,1,22:57
13,Sun,December 4,boxscore,L,,@,Baltimore Ravens,9,10,17,22,184,0,0,2,5,8.6,7.7,77.3,101.3,28,88,3.1,0,3,4,0,0,7,288,2,12,0,0,27:31
14,Sun,December 11,boxscore,L,,,Kansas City Chiefs,28,34,27,44,214,4,2,6,49,6.0,4.3,61.4,84.8,19,106,5.6,0,0,0,4,4,7,333,6,17,1,2,29:47
15,Sun,December 18,boxscore,W,,,Arizona Cardinals,24,15,21,26,156,1,1,7,41,7.6,4.7,80.8,88.5,34,168,4.9,2,1,2,3,3,5,224,4,11,0,0,32:58
16,Sun,December 25,boxscore,L,,@,Los Angeles Rams,14,51,19,35,219,1,4,6,40,7.4,5.3,54.3,43.3,20,104,5.2,0,2,2,0,0,2,100,3,10,1,3,23:25
17,Sun,January 1,boxscore,L,,@,Kansas City Chiefs,24,27,26,38,190,1,1,4,32,5.8,4.5,68.4,77.7,24,117,4.9,2,1,1,3,3,5,257,3,12,1,2,33:06
18,Sun,January 8,boxscore,W,,,Los Angeles Chargers,31,28,13,24,266,3,1,2,17,11.8,10.2,54.2,115.6,36,205,5.7,1,1,1,4,4,5,238,5,12,1,1,31:03
