Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,@,Carolina Panthers,26,24,18,34,138,1,0,1,9,4.3,3.9,52.9,72.9,39,217,5.6,1,4,4,2,2,4,187,8,18,1,2,38:26
2,Sun,September 18,boxscore,L,,,New York Jets,30,31,22,27,221,1,1,1,8,8.5,7.9,81.5,97.7,37,184,5.0,3,1,1,3,4,3,156,8,12,0,0,32:14
3,Thu,September 22,boxscore,W,,,Pittsburgh Steelers,29,17,21,31,205,2,0,2,15,7.1,6.2,67.7,107.6,38,171,4.5,1,1,1,2,3,5,203,6,16,3,4,36:09
4,Sun,October 2,boxscore,L,,@,Atlanta Falcons,20,23,21,35,226,0,1,1,8,6.7,6.3,60.0,67.1,35,177,5.1,2,2,2,2,2,3,144,5,14,2,3,35:44
5,Sun,October 9,boxscore,L,,,Los Angeles Chargers,28,30,21,34,230,1,1,0,0,6.8,6.8,61.8,79.3,31,213,6.9,3,0,2,4,4,2,119,4,10,0,1,30:02
6,Sun,October 16,boxscore,L,,,New England Patriots,15,38,21,45,258,1,2,4,8,5.9,5.3,46.7,53.8,18,70,3.9,0,3,3,0,0,3,133,4,15,3,5,24:55
7,Sun,October 23,boxscore,L,,@,Baltimore Ravens,20,23,22,27,223,0,0,5,35,9.6,7.0,81.5,101.1,24,113,4.7,2,2,3,2,2,3,173,2,11,1,1,25:56
8,Mon,October 31,boxscore,W,,,Cincinnati Bengals,32,13,17,23,268,1,1,2,10,12.1,10.7,73.9,108.6,44,172,3.9,3,1,2,3,3,2,67,8,13,0,0,36:45
10,Sun,November 13,boxscore,L,,@,Miami Dolphins,17,39,22,35,185,1,0,3,27,6.1,4.9,62.9,86.0,24,112,4.7,1,1,1,2,2,1,41,5,12,2,5,26:46
11,Sun,November 20,boxscore,L,,@,Buffalo Bills,23,31,28,41,316,3,0,1,8,7.9,7.5,68.3,115.5,26,80,3.1,0,1,2,2,2,3,127,4,11,1,2,31:22
12,Sun,November 27,boxscore,W,OT,,Tampa Bay Buccaneers,23,17,23,37,178,1,1,4,32,5.7,4.3,62.2,71.7,34,189,5.6,2,1,2,2,2,6,329,5,17,2,4,39:04
13,Sun,December 4,boxscore,W,,@,Houston Texans,27,14,12,22,130,0,1,1,1,6.0,5.7,54.5,53.2,38,174,4.6,0,2,2,3,3,6,311,4,13,0,0,32:16
14,Sun,December 11,boxscore,L,,@,Cincinnati Bengals,10,23,26,43,273,1,1,2,3,6.4,6.1,60.5,77.0,25,71,2.8,0,1,1,1,1,4,220,4,15,3,6,31:52
15,Sat,December 17,boxscore,W,,,Baltimore Ravens,13,3,18,28,140,1,0,3,21,5.8,4.5,64.3,88.4,33,143,4.3,0,2,4,1,1,3,155,5,15,2,2,33:08
16,Sat,December 24,boxscore,L,,,New Orleans Saints,10,17,15,31,125,0,1,2,10,4.4,3.8,48.4,45.8,34,124,3.6,1,1,1,1,1,5,213,7,16,1,3,30:46
17,Sun,January 1,boxscore,W,,@,Washington Commanders,24,10,9,18,155,3,0,5,14,9.4,6.7,50.0,119.2,30,146,4.9,0,1,1,3,3,4,187,4,11,1,2,26:28
18,Sun,January 8,boxscore,L,,@,Pittsburgh Steelers,14,28,19,29,173,2,2,7,57,7.9,4.8,65.5,75.8,22,134,6.1,0,0,0,2,2,4,194,5,12,1,2,29:04
