Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,@,Carolina Panthers,26,24,23,355,138,217,,15,261,207,54,1,6.82,-5.38,1.66
2,Sun,September 18,1:00PM ET,boxscore,L,,1-1,,New York Jets,30,31,29,405,221,184,1,20,402,309,93,1,17.92,-15.19,-5.38
3,Thu,September 22,8:15PM ET,boxscore,W,,2-1,,Pittsburgh Steelers,29,17,22,376,205,171,,20,308,204,104,1,10.79,1.19,0.62
4,Sun,October 2,1:00PM ET,boxscore,L,,2-2,@,Atlanta Falcons,20,23,22,403,226,177,2,19,333,131,202,1,5.25,-5.92,-1.44
5,Sun,October 9,1:00PM ET,boxscore,L,,2-3,,Los Angeles Chargers,28,30,27,443,230,213,1,26,465,227,238,,16.53,-16.01,-4.92
6,Sun,October 16,1:00PM ET,boxscore,L,,2-4,,New England Patriots,15,38,16,328,258,70,4,20,399,301,98,1,-12.35,-11.30,0.09
7,Sun,October 23,1:00PM ET,boxscore,L,,2-5,@,Baltimore Ravens,20,23,18,336,223,113,2,17,254,94,160,1,6.61,-1.58,-7.18
8,Mon,October 31,8:15PM ET,boxscore,W,,3-5,,Cincinnati Bengals,32,13,24,440,268,172,2,15,229,193,36,2,15.92,3.49,2.71
10,Sun,November 13,1:00PM ET,boxscore,L,,3-6,@,Miami Dolphins,17,39,20,297,185,112,1,29,491,296,195,,-1.04,-28.50,4.93
11,Sun,November 20,1:00PM ET,boxscore,L,,3-7,@,Buffalo Bills,23,31,27,396,316,80,1,22,357,186,171,,10.86,-6.00,-13.72
12,Sun,November 27,1:00PM ET,boxscore,W,OT,4-7,,Tampa Bay Buccaneers,23,17,22,367,178,189,1,16,325,229,96,,2.41,1.81,1.78
13,Sun,December 4,1:00PM ET,boxscore,W,,5-7,@,Houston Texans,27,14,14,304,130,174,2,16,283,201,82,4,-13.96,23.84,5.52
14,Sun,December 11,1:00PM ET,boxscore,L,,5-8,@,Cincinnati Bengals,10,23,18,344,273,71,1,23,363,227,136,1,-8.32,-7.01,3.29
15,Sat,December 17,4:30PM ET,boxscore,W,,6-8,,Baltimore Ravens,13,3,19,283,140,143,,17,324,126,198,2,2.64,7.94,0.26
16,Sat,December 24,1:00PM ET,boxscore,L,,6-9,,New Orleans Saints,10,17,15,249,125,124,1,14,244,92,152,1,-12.78,4.01,2.04
17,Sun,January 1,1:00PM ET,boxscore,W,,7-9,@,Washington Commanders,24,10,16,301,155,146,,17,260,124,136,3,7.26,7.50,-0.54
18,Sun,January 8,1:00PM ET,boxscore,L,,7-10,@,Pittsburgh Steelers,14,28,18,307,173,134,2,23,333,189,144,1,3.47,-10.81,-2.18
