Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,@,Dallas Cowboys,19,3,18,27,195,1,1,2,17,7.9,6.7,66.7,84.6,33,152,4.6,0,4,5,1,1,3,152,5,14,0,0,32:42
2,Sun,September 18,boxscore,W,,@,New Orleans Saints,20,10,18,34,188,1,0,1,2,5.6,5.4,52.9,79.0,30,72,2.4,0,2,2,2,2,6,229,5,17,0,1,29:42
3,Sun,September 25,boxscore,L,,,Green Bay Packers,12,14,31,42,251,1,0,3,20,6.5,5.6,73.8,96.4,14,34,2.4,0,2,2,0,0,6,297,2,11,1,1,26:35
4,Sun,October 2,boxscore,L,,,Kansas City Chiefs,31,41,39,52,373,3,0,1,12,7.4,7.0,75.0,113.7,6,3,0.5,1,1,1,4,4,3,125,6,10,0,0,21:22
5,Sun,October 9,boxscore,W,,,Atlanta Falcons,21,15,35,52,351,1,0,0,0,6.8,6.8,67.3,92.7,23,69,3.0,1,2,2,1,1,4,197,9,16,0,1,29:26
6,Sun,October 16,boxscore,L,,@,Pittsburgh Steelers,18,20,25,40,229,1,0,2,14,6.1,5.5,62.5,86.4,26,75,2.9,0,4,4,0,0,5,230,4,14,2,2,30:01
7,Sun,October 23,boxscore,L,,@,Carolina Panthers,3,21,32,49,276,0,0,1,14,5.9,5.5,65.3,80.0,16,46,2.9,0,1,1,0,0,6,279,2,12,1,3,30:36
8,Thu,October 27,boxscore,L,,,Baltimore Ravens,22,27,26,44,305,1,0,3,20,7.4,6.5,59.1,87.8,15,44,2.9,1,3,3,1,1,5,267,4,13,1,1,21:37
9,Sun,November 6,boxscore,W,,,Los Angeles Rams,16,13,36,58,272,1,0,1,8,4.8,4.6,62.1,79.1,20,51,2.6,0,3,4,1,1,6,357,9,21,0,2,31:16
10,Sun,November 13,boxscore,W,,,Seattle Seahawks,21,16,22,30,258,2,2,0,0,8.6,8.6,73.3,93.5,44,161,3.7,1,0,1,3,3,2,122,10,15,0,0,36:55
12,Sun,November 27,boxscore,L,OT,@,Cleveland Browns,17,23,29,43,229,2,0,3,17,5.7,5.0,67.4,96.0,20,96,4.8,0,1,1,2,2,9,425,4,15,1,1,30:37
13,Mon,December 5,boxscore,W,,,New Orleans Saints,17,16,36,54,274,2,1,1,7,5.2,5.0,66.7,83.4,20,76,3.8,0,1,1,2,2,5,247,8,15,0,0,30:05
14,Sun,December 11,boxscore,L,,@,San Francisco 49ers,7,35,34,55,253,1,2,0,0,4.6,4.6,61.8,63.7,19,69,3.6,0,0,1,1,1,3,157,4,16,4,7,27:20
15,Sun,December 18,boxscore,L,,,Cincinnati Bengals,23,34,30,44,304,3,2,1,8,7.1,6.8,68.2,91.5,25,92,3.7,0,1,2,2,2,1,51,4,12,2,3,30:35
16,Sun,December 25,boxscore,W,OT,@,Arizona Cardinals,19,16,32,48,281,1,2,0,0,5.9,5.9,66.7,71.6,30,115,3.8,0,4,4,1,1,5,244,6,17,1,2,36:57
17,Sun,January 1,boxscore,W,,,Carolina Panthers,30,24,34,45,411,3,0,3,21,9.6,8.6,75.6,125.3,25,67,2.7,1,1,3,1,2,5,227,4,15,2,2,33:10
18,Sun,January 8,boxscore,L,,@,Atlanta Falcons,17,30,22,34,136,2,0,0,0,4.0,4.0,64.7,92.3,20,86,4.3,0,1,1,2,2,5,253,6,13,0,1,25:11
19,Mon,January 16,boxscore,L,,,Dallas Cowboys,14,31,35,66,334,2,1,2,17,5.3,4.9,53.0,71.1,12,52,4.3,0,0,0,0,0,5,245,10,18,1,3,25:26
