Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,,Kansas City Chiefs,21,44,24,38,179,2,0,3,26,5.4,4.4,63.2,91.9,22,103,4.7,1,0,0,1,1,5,255,3,12,3,4,25:18
2,Sun,September 18,boxscore,W,OT,@,Las Vegas Raiders,29,23,31,49,270,1,1,1,7,5.7,5.4,63.3,76.1,28,143,5.1,2,0,0,1,1,3,136,3,13,3,5,36:22
3,Sun,September 25,boxscore,L,,,Los Angeles Rams,12,20,37,58,295,0,0,2,19,5.4,4.9,63.8,76.4,21,70,3.3,0,4,4,0,0,4,160,6,18,4,5,33:56
4,Sun,October 2,boxscore,W,,@,Carolina Panthers,26,16,23,32,206,2,1,1,1,6.5,6.2,71.9,96.6,37,132,3.6,1,2,2,2,2,3,170,6,15,0,2,38:35
5,Sun,October 9,boxscore,L,,,Philadelphia Eagles,17,20,28,42,239,1,1,1,11,6.0,5.6,66.7,79.4,26,124,4.8,1,1,2,2,2,4,196,8,14,1,1,25:21
6,Sun,October 16,boxscore,L,,@,Seattle Seahawks,9,19,23,37,171,0,1,6,51,6.0,4.0,62.2,61.9,28,144,5.1,0,1,1,0,1,4,162,4,16,1,5,30:44
7,Thu,October 20,boxscore,W,,,New Orleans Saints,42,34,20,29,189,1,0,2,15,7.0,6.1,69.0,98.2,29,137,4.7,2,2,2,2,3,4,177,3,10,1,1,30:58
8,Sun,October 30,boxscore,L,,@,Minnesota Vikings,26,34,31,44,297,3,2,4,29,7.4,6.2,70.5,92.7,22,78,3.5,0,2,2,2,2,3,139,4,11,0,1,30:33
9,Sun,November 6,boxscore,L,,,Seattle Seahawks,21,31,25,35,140,2,0,5,35,5.0,3.5,71.4,97.3,21,122,5.8,0,0,0,3,3,6,288,6,14,0,2,25:29
10,Sun,November 13,boxscore,W,,@,Los Angeles Rams,27,17,26,37,220,1,0,2,18,6.4,5.6,70.3,94.4,26,78,3.0,2,2,2,3,3,5,237,5,15,3,3,32:01
11,Mon,November 21,boxscore,L,,,San Francisco 49ers,10,38,30,44,247,0,2,3,30,6.3,5.3,68.2,63.4,24,67,2.8,1,1,1,1,1,4,181,8,16,0,2,30:51
12,Sun,November 27,boxscore,L,,,Los Angeles Chargers,24,25,18,29,185,2,1,1,6,6.6,6.2,62.1,89.0,34,181,5.3,1,1,2,3,3,3,150,7,13,0,1,30:35
14,Mon,December 12,boxscore,L,,,New England Patriots,13,27,28,41,210,0,1,6,45,6.2,4.5,68.3,70.2,22,113,5.1,1,2,3,1,1,2,97,4,14,1,5,33:31
15,Sun,December 18,boxscore,L,,@,Denver Broncos,15,24,20,36,167,0,3,3,6,4.8,4.3,55.6,33.0,20,73,3.7,1,3,3,0,0,6,299,2,12,0,0,27:02
16,Sun,December 25,boxscore,L,OT,,Tampa Bay Buccaneers,16,19,25,46,204,0,1,1,17,4.8,4.3,54.3,56.8,27,121,4.5,1,3,3,1,1,7,322,5,19,1,1,29:22
17,Sun,January 1,boxscore,L,,@,Atlanta Falcons,19,20,24,40,213,1,0,2,9,5.6,5.1,60.0,82.6,27,126,4.7,0,4,5,1,1,2,34,4,11,0,1,27:36
18,Sun,January 8,boxscore,L,,@,San Francisco 49ers,13,38,20,27,194,1,3,3,15,7.7,6.5,74.1,66.5,20,61,3.1,1,0,0,1,2,3,154,4,10,0,2,25:46
