Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:25PM ET,boxscore,L,,0-1,,Kansas City Chiefs,21,44,18,282,179,103,,33,488,360,128,1,2.29,-33.41,6.88
2,Sun,September 18,4:25PM ET,boxscore,W,OT,1-1,@,Las Vegas Raiders,29,23,28,413,270,143,1,20,324,244,80,1,12.00,-4.86,1.75
3,Sun,September 25,4:25PM ET,boxscore,L,,1-2,,Los Angeles Rams,12,20,23,365,295,70,,15,339,239,100,1,0.80,-5.31,-5.72
4,Sun,October 2,4:05PM ET,boxscore,W,,2-2,@,Carolina Panthers,26,16,20,338,206,132,1,11,220,180,40,3,-6.14,19.54,-1.90
5,Sun,October 9,4:25PM ET,boxscore,L,,2-3,,Philadelphia Eagles,17,20,23,363,239,124,1,24,357,218,139,,12.33,-10.63,-5.16
6,Sun,October 16,4:05PM ET,boxscore,L,,2-4,@,Seattle Seahawks,9,19,15,315,171,144,2,19,296,160,136,1,-14.01,8.22,-5.25
7,Thu,October 20,8:15PM ET,boxscore,W,,3-4,,New Orleans Saints,42,34,21,326,189,137,,25,494,409,85,3,13.74,-5.93,1.75
8,Sun,October 30,1:00PM ET,boxscore,L,,3-5,@,Minnesota Vikings,26,34,25,375,297,78,3,25,381,208,173,1,2.87,-10.22,-3.71
9,Sun,November 6,4:05PM ET,boxscore,L,,3-6,,Seattle Seahawks,21,31,15,262,140,122,1,27,421,263,158,1,-5.02,-10.67,-0.90
10,Sun,November 13,4:25PM ET,boxscore,W,,4-6,@,Los Angeles Rams,27,17,18,298,220,78,,18,256,190,66,2,5.83,5.36,-0.48
11,Mon,November 21,8:15PM ET,boxscore,L,,4-7,,San Francisco 49ers,10,38,19,314,247,67,2,21,387,228,159,,-9.44,-20.26,1.43
12,Sun,November 27,4:05PM ET,boxscore,L,,4-8,,Los Angeles Chargers,24,25,20,366,185,181,2,22,311,246,65,,7.69,-6.53,-1.25
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Mon,December 12,8:15PM ET,boxscore,L,,4-9,,New England Patriots,13,27,19,323,210,113,2,18,328,225,103,1,-17.43,0.47,0.90
15,Sun,December 18,4:05PM ET,boxscore,L,,4-10,@,Denver Broncos,15,24,13,240,167,73,3,23,324,156,168,2,-19.01,0.79,6.60
16,Sun,December 25,8:20PM ET,boxscore,L,OT,4-11,,Tampa Bay Buccaneers,16,19,16,325,204,121,3,21,396,281,115,2,-13.64,4.60,6.77
17,Sun,January 1,1:00PM ET,boxscore,L,,4-12,@,Atlanta Falcons,19,20,22,339,213,126,,20,298,166,132,1,6.10,-3.27,-5.10
18,Sun,January 8,4:25PM ET,boxscore,L,,4-13,@,San Francisco 49ers,13,38,11,255,194,61,4,21,311,142,169,,-15.23,-9.62,-0.80
