Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,,Las Vegas Raiders,24,19,26,34,279,3,0,0,0,8.2,8.2,76.5,129.4,31,76,2.5,0,1,2,3,3,4,196,6,14,0,1,32:32
2,Thu,September 15,boxscore,L,,@,Kansas City Chiefs,24,27,33,48,326,3,1,2,8,7.0,6.5,68.8,99.8,24,75,3.1,0,1,1,3,3,6,243,5,16,4,4,33:37
3,Sun,September 25,boxscore,L,,,Jacksonville Jaguars,10,38,25,45,286,1,1,1,11,6.6,6.2,55.6,73.0,12,26,2.2,0,1,1,1,1,4,175,5,13,0,2,21:33
4,Sun,October 2,boxscore,W,,@,Houston Texans,34,24,27,39,338,2,0,1,2,8.7,8.5,69.2,113.0,27,81,3.0,2,2,2,4,4,4,185,8,16,1,2,31:39
5,Sun,October 9,boxscore,W,,@,Cleveland Browns,30,28,22,34,227,1,0,1,1,6.7,6.5,64.7,93.6,34,238,7.0,2,3,3,3,3,1,37,3,10,0,2,29:58
6,Mon,October 17,boxscore,W,OT,,Denver Broncos,19,16,37,57,224,0,1,2,14,4.2,3.8,64.9,65.2,24,73,3.0,1,4,4,1,1,4,176,11,22,1,3,38:49
7,Sun,October 23,boxscore,L,,,Seattle Seahawks,23,37,33,51,276,2,1,3,17,5.7,5.1,64.7,83.5,15,53,3.5,1,0,0,3,3,5,228,5,15,1,3,26:03
9,Sun,November 6,boxscore,W,,@,Atlanta Falcons,20,17,30,43,245,1,1,0,0,5.7,5.7,69.8,82.0,24,91,3.8,1,2,2,2,2,4,168,8,16,1,1,28:11
10,Sun,November 13,boxscore,L,,@,San Francisco 49ers,16,22,21,37,187,1,1,3,9,5.3,4.7,56.8,68.2,16,51,3.2,0,3,3,1,1,5,200,6,16,0,1,23:01
11,Sun,November 20,boxscore,L,,,Kansas City Chiefs,27,30,23,30,250,2,1,5,30,9.3,7.1,76.7,109.0,30,115,3.8,1,2,2,3,3,3,147,8,14,0,0,32:19
12,Sun,November 27,boxscore,W,,@,Arizona Cardinals,25,24,35,47,246,3,0,4,28,5.8,4.8,74.5,107.2,13,65,5.0,0,1,1,2,2,6,234,6,13,0,0,29:25
13,Sun,December 4,boxscore,L,,@,Las Vegas Raiders,20,27,28,47,314,1,0,5,21,7.1,6.0,59.6,86.7,22,72,3.3,0,2,3,2,2,3,137,5,16,3,5,30:44
14,Sun,December 11,boxscore,W,,,Miami Dolphins,23,17,39,51,350,1,0,4,17,7.2,6.4,76.5,100.9,23,82,3.6,1,3,3,2,2,4,176,9,18,1,2,39:38
15,Sun,December 18,boxscore,W,,,Tennessee Titans,17,14,28,42,291,0,2,3,22,7.5,6.5,66.7,66.7,24,74,3.1,2,1,1,2,2,7,291,4,13,2,2,29:48
16,Mon,December 26,boxscore,W,,@,Indianapolis Colts,20,3,24,31,213,0,1,4,22,7.6,6.1,77.4,81.8,32,101,3.2,2,2,2,2,2,4,153,8,18,1,1,33:54
17,Sun,January 1,boxscore,W,,,Los Angeles Rams,31,10,24,31,239,2,0,0,0,7.7,7.7,77.4,120.2,31,192,6.2,2,1,1,4,4,4,161,8,13,0,0,31:52
18,Sun,January 8,boxscore,L,,@,Denver Broncos,28,31,30,44,293,3,0,1,5,6.8,6.5,68.2,109.4,22,59,2.7,0,2,2,2,2,5,279,7,14,0,0,28:57
19,Sat,January 14,boxscore,L,,@,Jacksonville Jaguars,30,31,25,43,253,1,0,3,20,6.3,5.5,58.1,82.8,23,67,2.9,2,3,4,3,3,5,203,8,17,0,0,32:39
