Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:25PM ET,boxscore,W,,1-0,,Las Vegas Raiders,24,19,18,355,279,76,,18,320,256,64,3,6.30,2.73,-1.95
2,Thu,September 15,8:15PM ET,boxscore,L,,1-1,@,Kansas City Chiefs,24,27,21,401,326,75,1,15,319,226,93,,4.12,-5.54,-3.72
3,Sun,September 25,4:05PM ET,boxscore,L,,1-2,,Jacksonville Jaguars,10,38,16,312,286,26,2,25,413,262,151,,-10.35,-18.06,2.60
4,Sun,October 2,1:00PM ET,boxscore,W,,2-2,@,Houston Texans,34,24,22,419,338,81,1,16,346,215,131,2,15.96,-2.14,-4.62
5,Sun,October 9,1:00PM ET,boxscore,W,,3-2,@,Cleveland Browns,30,28,26,465,227,238,,27,443,230,213,1,16.01,-16.53,4.92
6,Mon,October 17,8:15PM ET,boxscore,W,OT,4-2,,Denver Broncos,19,16,24,297,224,73,1,13,258,160,98,1,-1.03,3.11,0.92
7,Sun,October 23,4:25PM ET,boxscore,L,,4-3,,Seattle Seahawks,23,37,21,329,276,53,2,24,404,191,213,2,-4.60,-12.13,1.10
9,Sun,November 6,1:00PM ET,boxscore,W,,5-3,@,Atlanta Falcons,20,17,19,336,245,91,2,19,315,114,201,2,5.12,-1.74,-0.66
10,Sun,November 13,8:20PM ET,boxscore,L,,5-4,@,San Francisco 49ers,16,22,12,238,187,51,1,22,387,230,157,1,-7.29,-6.20,5.38
11,Sun,November 20,8:20PM ET,boxscore,L,,5-5,,Kansas City Chiefs,27,30,22,365,250,115,2,23,485,322,163,1,8.61,-19.64,2.61
12,Sun,November 27,4:05PM ET,boxscore,W,,6-5,@,Arizona Cardinals,25,24,22,311,246,65,,20,366,185,181,2,6.53,-7.69,1.25
13,Sun,December 4,4:25PM ET,boxscore,L,,6-6,@,Las Vegas Raiders,20,27,22,386,314,72,1,21,404,250,154,2,0.15,-5.34,1.56
14,Sun,December 11,8:20PM ET,boxscore,W,,7-6,,Miami Dolphins,23,17,24,432,350,82,,14,219,127,92,,9.39,-1.14,-1.98
15,Sun,December 18,4:25PM ET,boxscore,W,,8-6,,Tennessee Titans,17,14,23,365,291,74,2,17,284,157,127,1,1.70,2.21,-1.72
16,Mon,December 26,8:15PM ET,boxscore,W,,9-6,@,Indianapolis Colts,20,3,17,314,213,101,2,10,173,104,69,3,-2.36,22.57,-3.60
17,Sun,January 1,4:25PM ET,boxscore,W,,10-6,,Los Angeles Rams,31,10,22,431,239,192,,12,277,111,166,1,21.57,0.47,-0.25
18,Sun,January 8,4:25PM ET,boxscore,L,,10-7,@,Denver Broncos,28,31,21,352,293,59,2,22,471,266,205,2,2.63,-16.37,8.58
19,Sat,January 14,8:15PM ET,boxscore,L,,10-8,@,Jacksonville Jaguars,30,31,18,320,253,67,,24,390,273,117,5,3.29,-3.13,-0.98
