Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,@,Arizona Cardinals,44,21,30,39,360,5,0,0,0,9.2,9.2,76.9,144.2,27,128,4.7,1,1,1,5,6,2,108,5,8,1,1,34:42
2,Thu,September 15,boxscore,W,,,Los Angeles Chargers,27,24,24,35,226,2,0,1,9,6.7,6.3,68.6,105.2,18,93,5.2,0,2,2,3,3,6,333,4,12,0,0,26:23
3,Sun,September 25,boxscore,L,,@,Indianapolis Colts,17,20,20,36,257,1,1,1,5,7.3,6.9,55.6,75.8,23,58,2.5,1,1,2,0,1,3,170,3,10,1,2,26:28
4,Sun,October 2,boxscore,W,,@,Tampa Bay Buccaneers,41,31,23,37,228,3,1,3,21,6.7,5.7,62.2,95.3,37,189,5.1,2,2,2,5,5,1,43,12,17,0,1,38:38
5,Mon,October 10,boxscore,W,,,Las Vegas Raiders,30,29,29,43,265,4,0,3,27,6.8,5.8,67.4,115.0,23,103,4.5,0,1,2,3,3,3,145,7,12,0,0,31:07
6,Sun,October 16,boxscore,L,,,Buffalo Bills,20,24,25,40,319,2,2,3,19,8.5,7.4,62.5,83.2,18,68,3.8,0,2,3,2,2,3,173,4,11,1,1,28:32
7,Sun,October 23,boxscore,W,,@,San Francisco 49ers,44,23,25,36,417,3,1,1,6,11.8,11.3,69.4,124.4,21,112,5.3,3,0,1,6,6,1,33,6,9,0,0,26:15
9,Sun,November 6,boxscore,W,OT,,Tennessee Titans,20,17,43,68,422,1,1,4,24,6.6,5.9,63.2,79.4,19,77,4.1,1,2,3,0,1,6,283,8,19,2,2,41:28
10,Sun,November 13,boxscore,W,,,Jacksonville Jaguars,27,17,26,35,331,4,1,0,0,9.5,9.5,74.3,129.6,27,155,5.7,0,0,0,3,4,2,91,7,10,1,1,30:32
11,Sun,November 20,boxscore,W,,@,Los Angeles Chargers,30,27,20,34,322,3,0,1,7,9.7,9.2,58.8,120.0,27,163,6.0,0,3,3,3,3,2,92,5,10,0,0,27:41
12,Sun,November 27,boxscore,W,,,Los Angeles Rams,26,10,27,42,320,1,1,0,0,7.6,7.6,64.3,85.4,30,117,3.9,1,4,4,2,2,1,49,5,11,0,0,32:26
13,Sun,December 4,boxscore,L,,@,Cincinnati Bengals,24,27,16,27,211,1,0,2,12,8.3,7.3,59.3,96.4,25,138,5.5,2,1,2,3,3,1,55,6,11,2,2,27:54
14,Sun,December 11,boxscore,W,,@,Denver Broncos,34,28,28,42,342,3,3,2,10,8.4,7.8,66.7,85.6,23,89,3.9,0,2,2,4,4,3,199,6,12,0,0,30:13
15,Sun,December 18,boxscore,W,OT,@,Houston Texans,30,24,36,41,313,2,0,2,23,8.2,7.3,87.8,114.7,33,189,5.7,2,1,2,1,2,4,193,6,12,0,0,37:22
16,Sat,December 24,boxscore,W,,,Seattle Seahawks,24,10,16,28,220,2,0,1,4,8.0,7.6,57.1,106.2,22,77,3.5,1,1,1,3,3,6,246,3,11,0,1,24:58
17,Sun,January 1,boxscore,W,,,Denver Broncos,27,24,29,42,328,3,1,0,0,7.8,7.8,69.0,106.1,16,46,2.9,1,0,1,3,3,5,263,2,9,1,1,26:54
18,Sat,January 7,boxscore,W,,@,Las Vegas Raiders,31,13,18,26,181,1,0,2,21,7.8,6.5,69.2,101.6,28,168,6.0,3,1,1,4,4,4,196,5,9,0,0,25:47
