Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:25PM ET,boxscore,W,,1-0,@,Arizona Cardinals,44,21,33,488,360,128,1,18,282,179,103,,33.41,-2.29,-6.88
2,Thu,September 15,8:15PM ET,boxscore,W,,2-0,,Los Angeles Chargers,27,24,15,319,226,93,,21,401,326,75,1,5.54,-4.12,3.72
3,Sun,September 25,1:00PM ET,boxscore,L,,2-1,@,Indianapolis Colts,17,20,20,315,257,58,2,19,259,177,82,1,1.78,7.10,-13.31
4,Sun,October 2,8:20PM ET,boxscore,W,,3-1,@,Tampa Bay Buccaneers,41,31,27,417,228,189,1,27,376,373,3,2,17.12,-14.15,5.33
5,Mon,October 10,8:15PM ET,boxscore,W,,4-1,,Las Vegas Raiders,30,29,29,368,265,103,,18,378,223,155,,14.21,-11.65,0.35
6,Sun,October 16,4:25PM ET,boxscore,L,,4-2,,Buffalo Bills,20,24,23,387,319,68,2,26,443,318,125,1,6.45,-11.13,-0.56
7,Sun,October 23,4:25PM ET,boxscore,W,,5-2,@,San Francisco 49ers,44,23,24,529,417,112,2,25,444,343,101,3,30.58,-3.59,-8.50
9,Sun,November 6,8:20PM ET,boxscore,W,OT,6-2,,Tennessee Titans,20,17,29,499,422,77,1,9,229,57,172,,5.59,3.85,-5.59
10,Sun,November 13,1:00PM ET,boxscore,W,,7-2,,Jacksonville Jaguars,27,17,26,486,331,155,3,17,315,240,75,,23.27,-3.86,-7.32
11,Sun,November 20,8:20PM ET,boxscore,W,,8-2,@,Los Angeles Chargers,30,27,23,485,322,163,1,22,365,250,115,2,19.64,-8.61,-2.61
12,Sun,November 27,4:25PM ET,boxscore,W,,9-2,,Los Angeles Rams,26,10,29,437,320,117,2,13,198,82,116,2,13.96,9.01,-8.76
13,Sun,December 4,4:25PM ET,boxscore,L,,9-3,@,Cincinnati Bengals,24,27,20,349,211,138,1,26,431,279,152,,16.21,-19.79,-1.75
14,Sun,December 11,4:20PM ET,boxscore,W,,10-3,@,Denver Broncos,34,28,20,431,342,89,3,17,320,214,106,2,7.21,0.63,-0.09
15,Sun,December 18,1:00PM ET,boxscore,W,OT,11-3,@,Houston Texans,30,24,33,502,313,189,2,18,219,125,94,1,13.62,-2.21,-6.34
16,Sat,December 24,1:00PM ET,boxscore,W,,12-3,,Seattle Seahawks,24,10,14,297,220,77,,19,333,200,133,1,3.10,11.64,-2.23
17,Sun,January 1,1:00PM ET,boxscore,W,,13-3,,Denver Broncos,27,24,22,374,328,46,2,21,307,190,117,2,10.69,2.92,-6.78
18,Sat,January 7,4:30PM ET,boxscore,W,,14-3,@,Las Vegas Raiders,31,13,21,349,181,168,,21,279,180,99,2,16.83,5.67,-1.37
