Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,T,OT,0-0-1,@,Houston Texans,20,20,33,517,340,177,2,20,299,222,77,1,5.67,2.14,-9.43
2,Sun,September 18,1:00PM ET,boxscore,L,,0-1-1,@,Jacksonville Jaguars,0,24,9,218,164,54,3,21,331,235,96,,-20.67,-7.05,3.43
3,Sun,September 25,1:00PM ET,boxscore,W,,1-1-1,,Kansas City Chiefs,20,17,19,259,177,82,1,20,315,257,58,2,-7.10,-1.78,13.31
4,Sun,October 2,1:00PM ET,boxscore,L,,1-2-1,,Tennessee Titans,17,24,21,365,327,38,3,19,243,116,127,,3.36,-5.33,-6.98
5,Thu,October 6,8:15PM ET,boxscore,W,OT,2-2-1,@,Denver Broncos,12,9,19,306,200,106,2,18,375,250,125,2,-14.91,11.36,7.40
6,Sun,October 16,1:00PM ET,boxscore,W,,3-2-1,,Jacksonville Jaguars,34,27,29,434,389,45,,25,379,136,243,1,21.98,-16.47,3.81
7,Sun,October 23,1:00PM ET,boxscore,L,,3-3-1,@,Tennessee Titans,10,19,17,292,227,65,3,16,254,116,138,1,-12.48,4.47,-2.52
8,Sun,October 30,4:25PM ET,boxscore,L,,3-4-1,,Washington Commanders,16,17,15,324,189,135,2,20,362,266,96,1,-0.42,-2.38,2.42
9,Sun,November 6,1:00PM ET,boxscore,L,,3-5-1,@,New England Patriots,3,26,8,121,43,78,1,11,203,133,70,1,-31.93,9.55,1.05
10,Sun,November 13,4:05PM ET,boxscore,W,,4-5-1,@,Las Vegas Raiders,25,20,20,415,208,207,1,18,309,232,77,,10.87,0.17,-8.65
11,Sun,November 20,1:00PM ET,boxscore,L,,4-6-1,,Philadelphia Eagles,16,17,14,284,185,99,1,18,314,173,141,2,-9.33,3.73,1.97
12,Mon,November 28,8:15PM ET,boxscore,L,,4-7-1,,Pittsburgh Steelers,17,24,19,290,180,110,2,22,323,151,172,,-3.22,-7.95,7.37
13,Sun,December 4,8:20PM ET,boxscore,L,,4-8-1,@,Dallas Cowboys,19,54,18,309,203,106,5,23,385,165,220,1,-16.86,-22.27,4.50
15,Sat,December 17,1:00PM ET,boxscore,L,OT,4-9-1,@,Minnesota Vikings,36,39,20,341,170,171,1,32,518,426,92,3,-10.70,-4.19,12.83
16,Mon,December 26,8:15PM ET,boxscore,L,,4-10-1,,Los Angeles Chargers,3,20,10,173,104,69,3,17,314,213,101,2,-22.57,2.36,3.60
17,Sun,January 1,1:00PM ET,boxscore,L,,4-11-1,@,New York Giants,10,38,14,252,124,128,1,26,394,177,217,1,-5.92,-17.59,-2.69
18,Sun,January 8,1:00PM ET,boxscore,L,,4-12-1,,Houston Texans,31,32,25,398,202,196,3,18,360,301,59,3,3.77,0.16,-3.89
