Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,,Jacksonville Jaguars,28,22,27,41,305,4,2,1,8,7.6,7.3,65.9,100.2,28,85,3.0,0,0,0,2,2,3,147,7,10,0,0,33:33
2,Sun,September 18,boxscore,L,,@,Detroit Lions,27,36,30,46,308,3,1,5,29,7.3,6.0,65.2,97.0,21,88,4.2,1,0,0,1,2,6,284,7,15,1,2,32:03
3,Sun,September 25,boxscore,L,,,Philadelphia Eagles,8,24,25,43,153,0,0,9,58,4.9,2.9,58.1,65.4,22,87,4.0,1,0,0,0,0,8,420,6,17,0,2,32:54
4,Sun,October 2,boxscore,L,,@,Dallas Cowboys,10,25,25,42,155,1,2,2,15,4.0,3.5,59.5,55.2,27,142,5.3,0,1,1,1,1,6,270,5,15,0,2,33:06
5,Sun,October 9,boxscore,L,,,Tennessee Titans,17,21,25,38,342,2,1,3,17,9.4,8.3,65.8,101.0,17,43,2.5,0,1,1,2,2,6,247,1,11,1,2,27:20
6,Thu,October 13,boxscore,W,,@,Chicago Bears,12,7,12,22,86,0,0,3,13,4.5,3.4,54.5,63.8,28,128,4.6,1,2,3,0,0,6,307,2,11,0,0,27:48
7,Sun,October 23,boxscore,W,,,Green Bay Packers,23,21,20,33,198,2,1,1,3,6.1,5.8,60.6,85.2,38,166,4.4,0,3,4,2,2,4,192,7,16,0,0,37:07
8,Sun,October 30,boxscore,W,,@,Indianapolis Colts,17,16,23,31,266,1,1,2,13,9.0,8.1,74.2,97.0,28,96,3.4,1,1,1,2,2,6,294,2,12,2,3,30:40
9,Sun,November 6,boxscore,L,,,Minnesota Vikings,17,20,15,28,126,2,1,3,23,5.3,4.1,53.6,74.4,30,137,4.6,0,1,1,2,2,5,240,3,10,0,1,30:47
10,Mon,November 14,boxscore,W,,@,Philadelphia Eagles,32,21,17,29,178,0,1,3,33,7.3,5.6,58.6,62.1,49,152,3.1,2,4,4,2,2,2,87,12,21,1,1,40:24
11,Sun,November 20,boxscore,W,,@,Houston Texans,23,10,15,27,191,0,0,0,0,7.1,7.1,55.6,77.9,40,153,3.8,1,3,3,2,2,5,221,3,13,2,2,34:56
12,Sun,November 27,boxscore,W,,,Atlanta Falcons,19,13,14,23,138,2,1,0,0,6.0,6.0,60.9,88.7,37,176,4.8,0,2,2,1,2,3,127,5,12,1,1,33:09
13,Sun,December 4,boxscore,T,OT,@,New York Giants,20,20,27,41,246,2,0,5,29,6.7,5.3,65.9,98.2,36,165,4.6,0,2,3,2,2,6,265,3,14,1,1,41:11
15,Sun,December 18,boxscore,L,,,New York Giants,12,20,17,29,228,1,0,3,21,8.6,7.1,58.6,95.2,26,159,6.1,0,2,2,0,1,4,177,1,10,1,2,29:30
16,Sat,December 24,boxscore,L,,@,San Francisco 49ers,20,37,25,34,270,3,1,2,19,8.5,7.5,73.5,113.6,33,79,2.4,0,0,0,2,2,4,192,7,13,0,2,33:35
17,Sun,January 1,boxscore,L,,,Cleveland Browns,10,24,16,28,124,0,3,3,19,5.1,4.0,57.1,28.6,37,136,3.7,1,1,1,1,1,2,90,7,16,2,4,33:32
18,Sun,January 8,boxscore,W,,,Dallas Cowboys,26,6,11,19,158,1,1,3,11,8.9,7.2,57.9,80.6,41,151,3.7,1,2,4,2,3,7,319,3,14,0,0,36:12
