Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,,Jacksonville Jaguars,28,22,26,390,305,85,3,24,383,260,123,1,9.54,-3.64,0.26
2,Sun,September 18,1:00PM ET,boxscore,L,,1-1,@,Detroit Lions,27,36,21,396,308,88,1,17,425,234,191,,5.79,-7.13,-10.29
3,Sun,September 25,1:00PM ET,boxscore,L,,1-2,,Philadelphia Eagles,8,24,20,240,153,87,1,21,400,328,72,,-18.29,-9.65,8.92
4,Sun,October 2,1:00PM ET,boxscore,L,,1-3,@,Dallas Cowboys,10,25,17,297,155,142,2,15,279,217,62,,-13.42,-4.19,3.30
5,Sun,October 9,1:00PM ET,boxscore,L,,1-4,,Tennessee Titans,17,21,17,385,342,43,1,15,241,136,105,,1.03,-0.25,-3.63
6,Thu,October 13,8:15PM ET,boxscore,W,,2-4,@,Chicago Bears,12,7,14,214,86,128,,20,391,154,237,2,-7.28,2.22,6.24
7,Sun,October 23,1:00PM ET,boxscore,W,,3-4,,Green Bay Packers,23,21,22,364,198,166,1,16,232,194,38,1,0.70,-1.83,0.57
8,Sun,October 30,4:25PM ET,boxscore,W,,4-4,@,Indianapolis Colts,17,16,20,362,266,96,1,15,324,189,135,2,2.38,0.42,-2.42
9,Sun,November 6,1:00PM ET,boxscore,L,,4-5,,Minnesota Vikings,17,20,18,263,126,137,1,17,301,245,56,1,-1.76,2.12,-2.55
10,Mon,November 14,8:15PM ET,boxscore,W,,5-5,@,Philadelphia Eagles,32,21,25,330,178,152,2,18,264,170,94,4,4.13,1.89,5.98
11,Sun,November 20,1:00PM ET,boxscore,W,,6-5,@,Houston Texans,23,10,20,344,191,153,,11,148,127,21,2,4.31,15.79,-2.12
12,Sun,November 27,1:00PM ET,boxscore,W,,7-5,,Atlanta Falcons,19,13,20,314,138,176,1,18,332,165,167,1,3.96,-1.62,2.06
13,Sun,December 4,1:00PM ET,boxscore,T,OT,7-5-1,@,New York Giants,20,20,25,411,246,165,1,20,316,182,134,1,2.87,2.71,-5.65
15,Sun,December 18,8:15PM ET,boxscore,L,,7-6-1,,New York Giants,12,20,20,387,228,159,2,19,288,160,128,,-3.08,-0.95,-2.25
16,Sat,December 24,4:05PM ET,boxscore,L,,7-7-1,@,San Francisco 49ers,20,37,21,349,270,79,2,14,371,218,153,1,-2.45,-9.41,-3.02
17,Sun,January 1,1:00PM ET,boxscore,L,,7-8-1,,Cleveland Browns,10,24,17,260,124,136,3,16,301,155,146,,-7.50,-7.26,0.54
18,Sun,January 8,4:25PM ET,boxscore,W,,8-8-1,,Dallas Cowboys,26,6,16,309,158,151,1,10,182,118,64,2,-5.20,28.06,-4.66
