Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,,Tampa Bay Buccaneers,3,19,21,42,173,0,1,4,25,4.7,3.8,50.0,51.0,18,71,3.9,0,1,1,0,0,5,254,3,15,2,5,27:18
2,Sun,September 18,boxscore,W,,,Cincinnati Bengals,20,17,19,31,230,1,0,1,5,7.6,7.2,61.3,94.8,27,107,4.0,1,2,2,2,2,5,217,3,10,1,1,26:12
3,Mon,September 26,boxscore,W,,@,New York Giants,23,16,21,31,215,1,0,0,0,6.9,6.9,67.7,98.2,30,176,5.9,1,3,4,2,2,4,178,5,13,1,1,32:42
4,Sun,October 2,boxscore,W,,,Washington Commanders,25,10,15,27,217,2,0,1,6,8.3,7.8,55.6,106.6,29,62,2.1,0,4,4,1,2,6,256,5,15,0,0,26:54
5,Sun,October 9,boxscore,W,,@,Los Angeles Rams,22,10,10,16,76,0,0,3,26,6.4,4.0,62.5,74.0,34,163,4.8,1,3,3,1,1,6,288,5,15,0,0,29:30
6,Sun,October 16,boxscore,L,,@,Philadelphia Eagles,17,26,18,38,181,1,3,0,0,4.8,4.8,47.4,37.3,26,134,5.2,1,1,2,2,2,2,119,4,10,0,1,25:30
7,Sun,October 23,boxscore,W,,,Detroit Lions,24,6,19,25,191,1,0,2,16,8.3,7.1,76.0,110.6,32,139,4.3,2,1,1,3,3,5,243,3,9,0,0,28:46
8,Sun,October 30,boxscore,W,,,Chicago Bears,49,29,21,27,242,2,1,1,8,9.3,8.6,77.8,113.3,29,200,6.9,4,0,0,7,7,2,142,9,11,0,0,23:56
10,Sun,November 13,boxscore,L,OT,@,Green Bay Packers,28,31,27,46,262,3,2,2,3,5.8,5.5,58.7,78.4,31,159,5.1,1,0,0,4,4,5,246,5,15,2,3,30:59
11,Sun,November 20,boxscore,W,,@,Minnesota Vikings,40,3,26,30,307,2,0,0,0,10.2,10.2,86.7,131.5,40,151,3.8,2,4,4,4,4,2,101,12,17,0,0,37:24
12,Thu,November 24,boxscore,W,,,New York Giants,28,20,21,30,261,2,2,0,0,8.7,8.7,70.0,91.1,39,169,4.3,2,0,1,4,4,1,51,7,11,0,1,34:09
13,Sun,December 4,boxscore,W,,,Indianapolis Colts,54,19,20,30,165,3,1,1,5,5.7,5.3,66.7,100.0,34,220,6.5,4,0,0,6,7,4,198,7,13,1,1,28:41
14,Sun,December 11,boxscore,W,,,Houston Texans,27,23,24,39,277,1,2,1,7,7.3,6.9,61.5,70.1,31,127,4.1,2,2,2,3,3,3,157,8,15,1,2,26:46
15,Sun,December 18,boxscore,L,OT,@,Jacksonville Jaguars,34,40,23,30,243,3,2,3,13,8.5,7.4,76.7,105.3,41,154,3.8,1,2,2,4,4,4,185,9,16,0,0,35:26
16,Sat,December 24,boxscore,W,,,Philadelphia Eagles,40,34,27,35,304,3,1,6,43,9.9,7.4,77.1,119.2,31,115,3.7,1,4,4,4,4,1,57,8,15,1,1,32:18
17,Thu,December 29,boxscore,W,,@,Tennessee Titans,27,13,29,41,274,2,2,1,8,6.9,6.5,70.7,84.8,32,87,2.7,1,2,2,3,3,3,121,8,13,0,0,33:26
18,Sun,January 8,boxscore,L,,@,Washington Commanders,6,26,14,38,118,1,1,1,10,3.4,3.0,36.8,43.5,27,64,2.4,0,0,0,0,1,10,478,4,18,1,3,23:48
19,Mon,January 16,boxscore,W,,@,Tampa Bay Buccaneers,31,14,25,33,297,4,0,1,8,9.2,8.7,75.8,142.3,35,128,3.7,1,0,0,1,5,4,189,7,13,2,2,34:34
