Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,8:20PM ET,boxscore,L,,0-1,,Tampa Bay Buccaneers,3,19,12,244,173,71,1,18,347,195,152,1,-19.40,-0.55,2.24
2,Sun,September 18,4:25PM ET,boxscore,W,,1-1,,Cincinnati Bengals,20,17,19,337,230,107,1,19,254,165,89,,6.08,-0.76,-1.25
3,Mon,September 26,8:15PM ET,boxscore,W,,2-1,@,New York Giants,23,16,23,391,215,176,,22,336,169,167,1,10.78,0.51,-0.01
4,Sun,October 2,1:00PM ET,boxscore,W,,3-1,,Washington Commanders,25,10,15,279,217,62,,17,297,155,142,2,4.19,13.42,-3.30
5,Sun,October 9,4:25PM ET,boxscore,W,,4-1,@,Los Angeles Rams,22,10,10,239,76,163,,14,323,285,38,3,-8.44,11.11,6.98
6,Sun,October 16,8:20PM ET,boxscore,L,,4-2,@,Philadelphia Eagles,17,26,21,315,181,134,3,22,268,132,136,,-0.04,-7.95,-3.76
7,Sun,October 23,1:00PM ET,boxscore,W,,5-2,,Detroit Lions,24,6,21,330,191,139,1,18,312,195,117,5,4.39,12.68,1.61
8,Sun,October 30,1:00PM ET,boxscore,W,,6-2,,Chicago Bears,49,29,24,442,242,200,1,22,371,131,240,1,26.47,-1.52,-3.05
10,Sun,November 13,4:25PM ET,boxscore,L,OT,6-3,@,Green Bay Packers,28,31,24,421,262,159,2,20,415,208,207,2,2.81,-17.21,10.13
11,Sun,November 20,4:25PM ET,boxscore,W,,7-3,@,Minnesota Vikings,40,3,23,458,307,151,,16,183,110,73,1,24.31,14.35,-0.94
12,Thu,November 24,4:30PM ET,boxscore,W,,8-3,,New York Giants,28,20,26,430,261,169,2,21,300,210,90,,16.03,-0.13,-6.25
13,Sun,December 4,8:20PM ET,boxscore,W,,9-3,,Indianapolis Colts,54,19,23,385,165,220,1,18,309,203,106,5,22.27,16.86,-4.50
14,Sun,December 11,1:00PM ET,boxscore,W,,10-3,,Houston Texans,27,23,21,404,277,127,3,16,327,213,114,2,1.61,8.28,-6.35
15,Sun,December 18,1:00PM ET,boxscore,L,OT,10-4,@,Jacksonville Jaguars,34,40,24,397,243,154,2,26,503,311,192,3,8.92,-16.24,-0.94
16,Sat,December 24,4:25PM ET,boxscore,W,,11-4,,Philadelphia Eagles,40,34,25,419,304,115,1,25,442,355,87,4,12.39,-7.76,0.74
17,Thu,December 29,8:15PM ET,boxscore,W,,12-4,@,Tennessee Titans,27,13,26,361,274,87,3,17,317,220,97,2,8.93,5.83,-1.28
18,Sun,January 8,4:25PM ET,boxscore,L,,12-5,@,Washington Commanders,6,26,10,182,118,64,2,16,309,158,151,1,-28.06,5.20,4.66
19,Mon,January 16,8:15PM ET,boxscore,W,,13-5,@,Tampa Bay Buccaneers,31,14,26,425,297,128,,24,386,334,52,1,25.18,2.00,-9.31
