Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,,New Orleans Saints,26,27,20,33,215,0,0,0,0,6.5,6.5,60.6,79.7,38,201,5.3,2,4,5,2,2,4,180,5,13,0,0,33:44
2,Sun,September 18,boxscore,L,,@,Los Angeles Rams,27,31,17,26,171,2,2,3,25,7.5,5.9,65.4,77.6,27,90,3.3,0,1,2,2,2,1,44,3,10,1,2,29:36
3,Sun,September 25,boxscore,W,,@,Seattle Seahawks,27,23,13,20,207,1,1,3,22,11.5,9.0,65.0,95.2,31,179,5.8,2,2,2,3,3,1,73,4,7,0,0,28:14
4,Sun,October 2,boxscore,W,,,Cleveland Browns,23,20,7,19,131,0,1,1,8,7.3,6.6,36.8,39.6,35,202,5.8,2,3,3,2,2,3,153,3,9,0,0,24:16
5,Sun,October 9,boxscore,L,,@,Tampa Bay Buccaneers,15,21,14,25,110,1,0,5,37,5.9,3.7,56.0,80.4,31,151,4.9,1,0,1,1,1,6,290,6,14,1,1,30:34
6,Sun,October 16,boxscore,W,,,San Francisco 49ers,28,14,13,14,121,2,0,2,8,9.2,7.6,92.9,142.3,40,168,4.2,1,0,0,4,4,5,215,9,14,0,0,33:25
7,Sun,October 23,boxscore,L,,@,Cincinnati Bengals,17,35,8,13,107,1,0,3,17,9.5,6.7,61.5,113.3,29,107,3.7,1,1,1,2,2,6,282,4,10,0,0,26:55
8,Sun,October 30,boxscore,W,OT,,Carolina Panthers,37,34,20,28,239,3,2,2,14,9.0,8.0,71.4,103.1,37,167,4.5,0,3,3,4,4,4,210,6,12,0,0,36:34
9,Sun,November 6,boxscore,L,,,Los Angeles Chargers,17,20,12,23,114,0,0,2,15,5.6,4.6,52.2,66.2,35,201,5.7,2,1,2,2,2,4,204,5,11,0,0,31:49
10,Thu,November 10,boxscore,L,,@,Carolina Panthers,15,25,19,30,153,2,1,5,33,6.2,4.4,63.3,84.4,25,138,5.5,0,1,1,0,2,5,174,3,11,0,2,25:48
11,Sun,November 20,boxscore,W,,,Chicago Bears,27,24,13,20,131,1,0,0,0,6.6,6.6,65.0,100.2,33,149,4.5,1,2,2,3,3,3,139,2,9,1,1,24:50
12,Sun,November 27,boxscore,L,,@,Washington Commanders,13,19,15,25,165,1,1,1,9,7.0,6.3,60.0,76.2,29,167,5.8,0,2,3,1,1,3,122,4,10,0,1,26:51
13,Sun,December 4,boxscore,L,,,Pittsburgh Steelers,16,19,13,24,160,1,1,1,7,7.0,6.4,54.2,71.5,28,146,5.2,0,3,3,1,1,3,137,3,10,1,1,27:05
15,Sun,December 18,boxscore,L,,@,New Orleans Saints,18,21,13,26,89,0,0,4,8,3.7,3.0,50.0,58.0,39,231,5.9,2,1,1,1,1,5,208,9,16,0,1,30:56
16,Sat,December 24,boxscore,L,,@,Baltimore Ravens,9,17,22,33,212,0,0,2,6,6.6,6.1,66.7,84.4,33,115,3.5,0,3,3,0,0,3,112,5,14,1,4,32:44
17,Sun,January 1,boxscore,W,,,Arizona Cardinals,20,19,19,26,166,0,0,1,3,6.5,6.1,73.1,89.6,34,132,3.9,2,2,2,2,2,3,148,5,11,1,2,32:24
18,Sun,January 8,boxscore,W,,,Tampa Bay Buccaneers,30,17,19,30,208,2,0,2,16,7.5,6.5,63.3,106.0,35,174,5.0,1,3,3,3,3,3,154,6,15,3,3,34:49
