Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,,New Orleans Saints,26,27,26,416,215,201,2,18,385,234,151,1,7.50,-4.62,0.51
2,Sun,September 18,4:05PM ET,boxscore,L,,0-2,@,Los Angeles Rams,27,31,17,261,171,90,3,24,337,272,65,3,-3.49,-8.46,8.11
3,Sun,September 25,4:25PM ET,boxscore,W,,1-2,@,Seattle Seahawks,27,23,24,386,207,179,2,23,420,308,112,1,20.84,-15.09,1.20
4,Sun,October 2,1:00PM ET,boxscore,W,,2-2,,Cleveland Browns,23,20,19,333,131,202,1,22,403,226,177,2,5.92,-5.25,1.44
5,Sun,October 9,1:00PM ET,boxscore,L,,2-3,@,Tampa Bay Buccaneers,15,21,19,261,110,151,,26,420,351,69,,3.90,-13.30,1.34
6,Sun,October 16,1:00PM ET,boxscore,W,,3-3,,San Francisco 49ers,28,14,18,289,121,168,,21,346,296,50,3,11.56,-0.59,-1.69
7,Sun,October 23,1:00PM ET,boxscore,L,,3-4,@,Cincinnati Bengals,17,35,13,214,107,107,,29,537,459,78,,3.19,-33.05,6.33
8,Sun,October 30,1:00PM ET,boxscore,W,OT,4-4,,Carolina Panthers,37,34,21,406,239,167,2,23,478,309,169,1,9.40,-9.83,1.64
9,Sun,November 6,1:00PM ET,boxscore,L,,4-5,,Los Angeles Chargers,17,20,19,315,114,201,2,19,336,245,91,2,1.74,-5.12,0.66
10,Thu,November 10,8:15PM ET,boxscore,L,,4-6,@,Carolina Panthers,15,25,20,291,153,138,1,18,333,101,232,,-6.14,-2.11,-0.94
11,Sun,November 20,1:00PM ET,boxscore,W,,5-6,,Chicago Bears,27,24,18,280,131,149,2,20,288,128,160,1,4.06,-3.91,5.42
12,Sun,November 27,1:00PM ET,boxscore,L,,5-7,@,Washington Commanders,13,19,18,332,165,167,1,20,314,138,176,1,1.62,-3.96,-2.06
13,Sun,December 4,1:00PM ET,boxscore,L,,5-8,,Pittsburgh Steelers,16,19,18,306,160,146,1,22,351,197,154,,0.33,-9.60,1.33
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 18,1:00PM ET,boxscore,L,,5-9,@,New Orleans Saints,18,21,21,320,89,231,1,17,348,214,134,1,8.41,-6.38,-1.86
16,Sat,December 24,1:00PM ET,boxscore,L,,5-10,@,Baltimore Ravens,9,17,17,327,212,115,1,15,299,115,184,,-7.26,-2.18,3.42
17,Sun,January 1,1:00PM ET,boxscore,W,,6-10,,Arizona Cardinals,20,19,20,298,166,132,1,22,339,213,126,,3.27,-6.10,5.10
18,Sun,January 8,1:00PM ET,boxscore,W,,7-10,,Tampa Bay Buccaneers,30,17,22,382,208,174,1,12,222,136,86,1,8.84,6.05,-1.56
