Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,@,Tennessee Titans,21,20,17,21,156,2,1,5,32,9.0,6.0,81.0,109.5,32,238,7.4,1,0,0,1,1,6,309,2,10,1,1,28:54
2,Sun,September 18,boxscore,W,,,Carolina Panthers,19,16,22,34,162,1,0,3,14,5.2,4.4,64.7,85.7,33,103,3.1,0,4,4,1,1,5,253,6,18,1,1,36:05
3,Mon,September 26,boxscore,L,,,Dallas Cowboys,16,23,20,37,169,0,1,5,27,5.3,4.0,54.1,54.9,25,167,6.7,1,3,4,1,1,3,135,3,11,0,1,27:18
4,Sun,October 2,boxscore,W,,,Chicago Bears,20,12,9,16,71,0,1,1,11,5.1,4.2,56.3,41.4,44,262,6.0,2,2,3,2,2,5,273,6,14,0,0,31:17
5,Sun,October 9,boxscore,W,,@,Green Bay Packers,27,22,21,27,213,0,0,1,4,8.0,7.6,77.8,99.5,31,125,4.0,3,2,2,3,3,2,100,6,11,0,1,32:11
6,Sun,October 16,boxscore,W,,,Baltimore Ravens,24,20,19,27,155,2,0,4,18,6.4,5.0,70.4,109.3,31,83,2.7,1,1,1,3,3,4,185,7,14,0,0,31:52
7,Sun,October 23,boxscore,W,,@,Jacksonville Jaguars,23,17,19,30,200,1,0,1,2,6.7,6.5,63.3,93.7,39,236,6.1,1,3,3,2,2,2,80,6,12,0,1,34:10
8,Sun,October 30,boxscore,L,,@,Seattle Seahawks,13,27,17,31,147,0,0,5,29,5.7,4.1,54.8,67.5,28,78,2.8,1,2,2,1,1,6,322,6,16,0,1,33:34
10,Sun,November 13,boxscore,W,,,Houston Texans,24,16,13,17,176,2,0,3,21,11.6,8.8,76.5,148.2,47,191,4.1,1,1,1,3,3,6,242,7,14,0,0,33:20
11,Sun,November 20,boxscore,L,,,Detroit Lions,18,31,27,44,324,1,2,2,17,7.8,7.0,61.4,72.5,26,89,3.4,2,0,0,0,2,4,153,5,13,2,3,28:12
12,Thu,November 24,boxscore,L,,@,Dallas Cowboys,20,28,21,35,210,1,0,3,18,6.5,5.5,60.0,86.6,21,90,4.3,1,2,2,2,2,4,193,3,11,0,2,25:51
13,Sun,December 4,boxscore,T,OT,,Washington Commanders,20,20,25,31,182,1,0,4,18,6.5,5.2,80.6,101.9,30,134,4.5,1,2,3,2,2,7,324,4,13,0,0,28:49
14,Sun,December 11,boxscore,L,,,Philadelphia Eagles,22,48,23,32,181,2,0,7,35,6.8,4.6,71.9,106.4,24,123,5.1,1,0,0,2,2,5,241,4,13,2,4,27:30
15,Sun,December 18,boxscore,W,,@,Washington Commanders,20,12,21,32,160,0,0,0,0,5.0,5.0,65.6,77.6,30,128,4.3,1,2,2,2,2,5,213,2,10,1,1,30:30
16,Sat,December 24,boxscore,L,,@,Minnesota Vikings,24,27,30,42,319,1,1,3,15,8.0,7.1,71.4,91.3,21,126,6.0,1,3,3,1,1,4,129,3,11,1,1,29:13
17,Sun,January 1,boxscore,W,,,Indianapolis Colts,38,10,19,24,177,2,0,0,0,7.4,7.4,79.2,125.2,37,217,5.9,2,1,1,5,5,1,47,4,7,0,1,31:36
18,Sun,January 8,boxscore,L,,@,Philadelphia Eagles,16,22,23,40,155,1,0,2,13,4.2,3.7,57.5,74.5,21,129,6.1,1,1,1,1,1,6,264,4,14,2,3,28:34
19,Sun,January 15,boxscore,W,,@,Minnesota Vikings,31,24,24,35,289,2,0,3,12,8.6,7.6,68.6,112.7,30,142,4.7,2,1,1,4,4,2,90,7,13,2,2,33:36
