Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:25PM ET,boxscore,W,,1-0,@,Tennessee Titans,21,20,19,394,156,238,2,19,359,266,93,1,3.72,-5.97,2.44
2,Sun,September 18,1:00PM ET,boxscore,W,,2-0,,Carolina Panthers,19,16,18,265,162,103,,18,275,129,146,2,-6.20,2.09,6.13
3,Mon,September 26,8:15PM ET,boxscore,L,,2-1,,Dallas Cowboys,16,23,22,336,169,167,1,23,391,215,176,,-0.51,-10.78,0.01
4,Sun,October 2,1:00PM ET,boxscore,W,,3-1,,Chicago Bears,20,12,21,333,71,262,2,16,304,155,149,3,9.33,6.69,-7.79
5,Sun,October 9,9:30AM ET,boxscore,W,,4-1,@,Green Bay Packers,27,22,24,338,213,125,,22,301,207,94,,16.07,-5.67,-4.63
6,Sun,October 16,1:00PM ET,boxscore,W,,5-1,,Baltimore Ravens,24,20,18,238,155,83,1,23,406,195,211,2,4.93,-6.00,8.06
7,Sun,October 23,1:00PM ET,boxscore,W,,6-1,@,Jacksonville Jaguars,23,17,27,436,200,236,,27,452,310,142,1,17.00,-14.14,-2.50
8,Sun,October 30,4:25PM ET,boxscore,L,,6-2,@,Seattle Seahawks,13,27,14,225,147,78,2,19,277,190,87,1,-10.80,2.79,-8.31
10,Sun,November 13,1:00PM ET,boxscore,W,,7-2,,Houston Texans,24,16,19,367,176,191,,22,387,286,101,2,10.29,-0.40,-0.41
11,Sun,November 20,1:00PM ET,boxscore,L,,7-3,,Detroit Lions,18,31,25,413,324,89,3,23,325,165,160,,0.64,-9.36,-7.69
12,Thu,November 24,4:30PM ET,boxscore,L,,7-4,@,Dallas Cowboys,20,28,21,300,210,90,,26,430,261,169,2,0.13,-16.03,6.25
13,Sun,December 4,1:00PM ET,boxscore,T,OT,7-4-1,,Washington Commanders,20,20,20,316,182,134,1,25,411,246,165,1,-2.71,-2.87,5.65
14,Sun,December 11,1:00PM ET,boxscore,L,,7-5-1,,Philadelphia Eagles,22,48,18,304,181,123,1,27,437,184,253,,-1.45,-28.90,1.98
15,Sun,December 18,8:15PM ET,boxscore,W,,8-5-1,@,Washington Commanders,20,12,19,288,160,128,,20,387,228,159,2,0.95,3.08,2.25
16,Sat,December 24,1:00PM ET,boxscore,L,,8-6-1,@,Minnesota Vikings,24,27,23,445,319,126,2,23,353,270,83,,6.20,-7.38,-3.12
17,Sun,January 1,1:00PM ET,boxscore,W,,9-6-1,,Indianapolis Colts,38,10,26,394,177,217,1,14,252,124,128,1,17.59,5.92,2.69
18,Sun,January 8,4:25PM ET,boxscore,L,,9-7-1,@,Philadelphia Eagles,16,22,18,284,155,129,,23,342,207,135,1,-1.86,-0.69,-4.64
19,Sun,January 15,4:30PM ET,boxscore,W,,10-7-1,@,Minnesota Vikings,31,24,28,431,289,142,,21,332,271,61,,24.00,-13.86,-3.74
