Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,@,Washington Commanders,22,28,24,42,260,1,1,2,15,6.5,5.9,57.1,73.5,18,123,6.8,1,3,4,1,1,3,150,3,12,0,1,26:27
2,Sun,September 18,boxscore,W,,,Indianapolis Colts,24,0,25,30,235,2,0,0,0,7.8,7.8,83.3,121.5,37,96,2.6,1,1,1,3,3,5,228,6,15,2,3,38:15
3,Sun,September 25,boxscore,W,,@,Los Angeles Chargers,38,10,28,39,262,3,0,0,0,6.7,6.7,71.8,115.5,36,151,4.2,1,3,3,3,3,1,56,8,15,2,3,38:27
4,Sun,October 2,boxscore,L,,@,Philadelphia Eagles,21,29,11,23,148,2,1,4,26,7.6,5.5,47.8,79.6,19,71,3.7,0,0,0,3,3,3,160,2,7,0,1,20:09
5,Sun,October 9,boxscore,L,,,Houston Texans,6,13,25,47,286,0,2,0,0,6.1,6.1,53.2,54.0,26,136,5.2,0,2,2,0,0,3,159,6,14,0,3,28:13
6,Sun,October 16,boxscore,L,,@,Indianapolis Colts,27,34,20,22,136,1,0,4,29,7.5,5.2,90.9,107.6,33,243,7.4,3,0,0,3,3,3,151,5,10,1,2,31:11
7,Sun,October 23,boxscore,L,,,New York Giants,17,23,22,44,310,0,0,0,0,7.0,7.0,50.0,73.1,21,142,6.8,2,1,1,0,1,2,106,6,13,2,4,25:50
8,Sun,October 30,boxscore,L,,,Denver Broncos,17,21,18,31,114,1,2,2,19,4.3,3.5,58.1,49.7,32,191,6.0,1,1,1,2,2,6,287,4,11,0,0,34:04
9,Sun,November 6,boxscore,W,,,Las Vegas Raiders,27,20,25,31,235,1,0,0,0,7.6,7.6,80.6,109.0,37,168,4.5,2,2,3,3,3,3,163,9,15,0,0,32:25
10,Sun,November 13,boxscore,L,,@,Kansas City Chiefs,17,27,29,40,240,2,0,5,19,6.5,5.3,72.5,104.2,16,75,4.7,0,1,3,2,2,6,281,4,14,2,2,29:28
12,Sun,November 27,boxscore,W,,,Baltimore Ravens,28,27,29,37,294,3,0,4,27,8.7,7.2,78.4,126.8,20,38,1.9,0,2,2,2,2,3,206,4,13,2,3,27:21
13,Sun,December 4,boxscore,L,,@,Detroit Lions,14,40,19,34,171,1,0,2,14,5.4,4.8,55.9,79.4,19,95,5.0,0,2,2,0,0,3,137,3,12,3,4,23:10
14,Sun,December 11,boxscore,W,,@,Tennessee Titans,36,22,30,42,368,3,0,0,0,8.8,8.8,71.4,121.9,25,60,2.4,1,3,3,3,3,3,133,6,13,0,1,32:52
15,Sun,December 18,boxscore,W,OT,,Dallas Cowboys,40,34,27,42,311,4,1,1,7,7.6,7.2,64.3,108.3,27,192,7.1,0,2,2,4,4,3,160,8,12,0,0,27:42
16,Thu,December 22,boxscore,W,,@,New York Jets,19,3,20,31,218,0,0,1,11,7.4,6.8,64.5,85.1,39,147,3.8,1,4,5,1,1,2,64,7,16,0,0,34:52
17,Sun,January 1,boxscore,W,,@,Houston Texans,31,3,22,29,168,0,2,2,13,6.2,5.4,75.9,60.7,29,169,5.8,3,1,1,4,4,5,217,4,12,0,0,29:30
18,Sat,January 7,boxscore,W,,,Tennessee Titans,20,16,20,32,203,1,0,1,9,6.6,6.2,62.5,91.0,14,19,1.4,0,2,2,2,2,4,204,5,11,0,0,23:48
19,Sat,January 14,boxscore,W,,,Los Angeles Chargers,31,30,28,47,273,4,4,2,15,6.1,5.6,59.6,68.8,21,117,5.6,0,1,1,2,2,3,124,2,10,2,3,27:21
