Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,@,Washington Commanders,22,28,24,383,260,123,1,26,390,305,85,3,3.64,-9.54,-0.26
2,Sun,September 18,1:00PM ET,boxscore,W,,1-1,,Indianapolis Colts,24,0,21,331,235,96,,9,218,164,54,3,7.05,20.67,-3.43
3,Sun,September 25,4:05PM ET,boxscore,W,,2-1,@,Los Angeles Chargers,38,10,25,413,262,151,,16,312,286,26,2,18.06,10.35,-2.60
4,Sun,October 2,1:00PM ET,boxscore,L,,2-2,@,Philadelphia Eagles,21,29,13,219,148,71,5,25,401,191,210,1,-11.06,0.18,1.97
5,Sun,October 9,1:00PM ET,boxscore,L,,2-3,,Houston Texans,6,13,22,422,286,136,2,15,248,132,116,,-2.39,2.00,-3.89
6,Sun,October 16,1:00PM ET,boxscore,L,,2-4,@,Indianapolis Colts,27,34,25,379,136,243,1,29,434,389,45,,16.47,-21.98,-3.81
7,Sun,October 23,1:00PM ET,boxscore,L,,2-5,,New York Giants,17,23,27,452,310,142,1,27,436,200,236,,14.14,-17.00,2.50
8,Sun,October 30,9:30AM ET,boxscore,L,,2-6,,Denver Broncos,17,21,24,305,114,191,2,18,331,230,101,1,-1.81,-4.66,-3.24
9,Sun,November 6,1:00PM ET,boxscore,W,,3-6,,Las Vegas Raiders,27,20,22,403,235,168,1,16,321,248,73,1,13.11,0.43,-2.69
10,Sun,November 13,1:00PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,17,27,17,315,240,75,,26,486,331,155,3,3.86,-23.27,7.32
12,Sun,November 27,1:00PM ET,boxscore,W,,4-7,,Baltimore Ravens,28,27,18,332,294,38,1,24,415,253,162,2,5.31,-8.53,1.38
13,Sun,December 4,1:00PM ET,boxscore,L,,4-8,@,Detroit Lions,14,40,14,266,171,95,1,31,437,337,100,,-3.84,-25.20,-0.80
14,Sun,December 11,1:00PM ET,boxscore,W,,5-8,@,Tennessee Titans,36,22,22,428,368,60,,22,364,227,137,4,13.06,3.01,-3.47
15,Sun,December 18,1:00PM ET,boxscore,W,OT,6-8,,Dallas Cowboys,40,34,26,503,311,192,3,24,397,243,154,2,16.24,-8.92,0.94
16,Thu,December 22,8:15PM ET,boxscore,W,,7-8,@,New York Jets,19,3,19,365,218,147,1,10,227,161,66,2,3.00,14.15,-5.11
17,Sun,January 1,1:00PM ET,boxscore,W,,8-8,@,Houston Texans,31,3,20,337,168,169,2,13,277,193,84,1,4.68,23.38,-4.10
18,Sat,January 7,8:15PM ET,boxscore,W,,9-8,,Tennessee Titans,20,16,13,222,203,19,1,19,312,165,147,2,-4.30,9.68,-1.28
19,Sat,January 14,8:15PM ET,boxscore,W,,10-8,,Los Angeles Chargers,31,30,24,390,273,117,5,18,320,253,67,,3.13,-3.29,0.98
