Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,,Baltimore Ravens,9,24,37,59,297,1,1,3,12,5.2,4.8,62.7,73.9,17,83,4.9,0,1,2,0,1,6,253,2,14,3,4,32:30
2,Sun,September 18,boxscore,W,,@,Cleveland Browns,31,30,27,45,309,4,0,2,15,7.2,6.6,60.0,110.3,20,93,4.7,0,1,1,4,4,4,189,8,15,1,1,27:46
3,Sun,September 25,boxscore,L,,,Cincinnati Bengals,12,27,28,52,252,0,2,4,33,5.5,4.5,53.8,51.1,20,76,3.8,0,4,4,0,0,3,146,7,18,0,3,27:36
4,Sun,October 2,boxscore,W,,@,Pittsburgh Steelers,24,20,19,37,250,2,2,1,4,6.9,6.6,51.4,68.5,29,98,3.4,1,1,1,3,3,5,235,6,15,1,1,29:59
5,Sun,October 9,boxscore,W,,,Miami Dolphins,40,17,14,21,187,0,0,2,23,10.0,8.1,66.7,94.7,33,135,4.1,5,1,1,5,5,4,185,5,11,0,1,30:58
6,Sun,October 16,boxscore,W,,@,Green Bay Packers,27,10,10,18,99,0,0,2,11,6.1,5.0,55.6,71.3,33,179,5.4,2,2,3,3,3,6,268,1,11,0,0,28:48
7,Sun,October 23,boxscore,W,,@,Denver Broncos,16,9,16,26,105,0,0,3,16,4.7,3.6,61.5,70.2,24,155,6.5,1,3,3,1,1,8,438,3,14,0,0,27:37
8,Sun,October 30,boxscore,L,,,New England Patriots,17,22,20,41,336,2,3,2,19,8.7,7.8,48.8,62.7,15,51,3.4,0,1,2,2,2,4,188,5,14,0,1,24:26
9,Sun,November 6,boxscore,W,,,Buffalo Bills,20,17,18,25,136,1,0,2,18,6.2,5.0,72.0,98.1,34,174,5.1,1,2,2,2,2,3,147,5,13,2,2,32:44
11,Sun,November 20,boxscore,L,,@,New England Patriots,3,10,9,22,44,0,0,4,33,3.5,1.7,40.9,48.7,23,59,2.6,0,1,1,0,0,10,458,3,14,0,0,24:30
12,Sun,November 27,boxscore,W,,,Chicago Bears,31,10,22,29,308,3,0,1,7,10.9,10.3,75.9,144.0,32,158,4.9,1,1,2,4,4,2,118,7,12,0,1,32:05
13,Sun,December 4,boxscore,L,,@,Minnesota Vikings,22,27,31,58,366,0,2,1,3,6.4,6.2,53.4,58.5,24,120,5.0,1,5,5,1,1,2,81,3,16,2,5,31:38
14,Sun,December 11,boxscore,L,,@,Buffalo Bills,12,20,28,47,233,0,0,4,36,5.7,4.6,59.6,72.4,22,76,3.5,1,1,1,1,1,7,311,8,17,0,1,34:25
15,Sun,December 18,boxscore,L,,,Detroit Lions,17,20,18,35,287,2,1,4,30,9.1,7.4,51.4,86.3,22,50,2.3,0,1,2,2,2,6,300,7,14,1,1,27:28
16,Thu,December 22,boxscore,L,,,Jacksonville Jaguars,3,19,19,33,161,0,1,3,21,5.5,4.5,57.6,57.8,20,66,3.3,0,1,1,0,0,5,201,2,13,1,5,25:08
17,Sun,January 1,boxscore,L,,@,Seattle Seahawks,6,23,23,46,204,0,2,4,36,5.2,4.1,50.0,44.1,17,75,4.4,0,2,3,0,0,3,130,4,13,0,2,26:22
18,Sun,January 8,boxscore,L,,@,Miami Dolphins,6,11,18,33,149,0,0,0,0,4.5,4.5,54.5,66.4,20,38,1.9,0,2,3,0,0,5,241,7,16,0,0,24:35
