Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,,Philadelphia Eagles,35,38,21,37,205,2,1,1,10,5.8,5.4,56.8,79.2,28,181,6.5,3,0,0,5,5,4,185,9,14,1,1,28:26
2,Sun,September 18,boxscore,W,,,Washington Commanders,36,27,20,34,234,4,0,3,22,7.5,6.3,58.8,119.0,24,191,8.0,0,2,2,4,4,5,277,4,13,0,2,27:57
3,Sun,September 25,boxscore,L,,@,Minnesota Vikings,24,28,25,41,277,1,1,0,0,6.8,6.8,61.0,79.0,35,139,4.0,2,1,3,3,3,3,134,3,16,4,6,34:04
4,Sun,October 2,boxscore,L,,,Seattle Seahawks,45,48,27,40,375,4,1,1,9,9.6,9.1,67.5,120.3,25,145,5.8,2,1,1,2,4,2,97,4,10,3,3,26:54
5,Sun,October 9,boxscore,L,,@,New England Patriots,0,29,19,35,211,0,1,2,18,6.5,5.7,54.3,60.5,27,101,3.7,0,0,0,0,0,2,88,4,12,0,6,28:31
7,Sun,October 23,boxscore,L,,@,Dallas Cowboys,6,24,21,26,195,0,2,5,33,8.8,6.3,80.8,65.9,25,117,4.7,0,2,2,0,0,3,144,3,9,0,0,31:14
8,Sun,October 30,boxscore,L,,,Miami Dolphins,27,31,27,37,311,1,0,1,10,8.7,8.2,73.0,106.9,19,82,4.3,2,2,2,3,3,2,117,4,9,1,2,25:38
9,Sun,November 6,boxscore,W,,,Green Bay Packers,15,9,14,26,137,2,1,0,0,5.3,5.3,53.8,78.5,31,117,3.8,0,0,0,1,1,3,136,6,11,0,2,25:18
10,Sun,November 13,boxscore,W,,@,Chicago Bears,31,30,19,26,228,1,0,2,8,9.1,8.1,73.1,112.3,31,95,3.1,2,1,1,4,4,4,185,5,11,1,1,30:48
11,Sun,November 20,boxscore,W,,@,New York Giants,31,18,17,26,165,0,0,0,0,6.3,6.3,65.4,83.0,37,160,4.3,4,1,1,4,4,5,241,6,13,0,0,31:48
12,Thu,November 24,boxscore,L,,,Buffalo Bills,25,28,23,37,230,2,0,2,10,6.5,5.9,62.2,97.8,28,96,3.4,1,1,2,2,2,2,103,6,15,3,3,28:34
13,Sun,December 4,boxscore,W,,,Jacksonville Jaguars,40,14,31,41,337,2,0,2,3,8.3,7.8,75.6,115.6,31,100,3.2,2,4,4,4,4,0,0,8,12,0,0,36:50
14,Sun,December 11,boxscore,W,,,Minnesota Vikings,34,23,27,39,330,3,0,0,0,8.5,8.5,69.2,120.7,30,134,4.5,1,2,3,4,4,2,96,7,15,1,2,31:54
15,Sun,December 18,boxscore,W,,@,New York Jets,20,17,23,38,252,1,0,0,0,6.6,6.6,60.5,88.9,28,107,3.8,0,2,3,2,2,4,178,5,15,2,3,32:32
16,Sat,December 24,boxscore,L,,@,Carolina Panthers,23,37,25,42,336,3,0,2,19,8.5,7.6,59.5,108.8,17,45,2.6,0,1,1,2,2,4,206,4,12,2,3,24:47
17,Sun,January 1,boxscore,W,,,Chicago Bears,41,10,21,29,239,3,0,2,16,8.8,7.7,72.4,131.2,39,265,6.8,2,2,2,5,5,3,150,4,12,0,1,35:43
18,Sun,January 8,boxscore,W,,@,Green Bay Packers,20,16,23,34,219,0,0,1,5,6.6,6.3,67.6,85.3,25,104,4.2,2,2,3,2,2,4,188,4,12,2,2,27:45
