Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,,Philadelphia Eagles,35,38,23,386,205,181,1,27,455,239,216,,15.67,-21.15,0.78
2,Sun,September 18,1:00PM ET,boxscore,W,,1-1,,Washington Commanders,36,27,17,425,234,191,,21,396,308,88,1,7.13,-5.79,10.29
3,Sun,September 25,1:00PM ET,boxscore,L,,1-2,@,Minnesota Vikings,24,28,23,416,277,139,1,30,373,250,123,1,8.25,-11.58,-1.93
4,Sun,October 2,1:00PM ET,boxscore,L,,1-3,,Seattle Seahawks,45,48,27,520,375,145,2,27,555,320,235,1,22.12,-32.93,3.99
5,Sun,October 9,1:00PM ET,boxscore,L,,1-4,@,New England Patriots,0,29,17,312,211,101,2,22,364,188,176,1,-22.04,-10.08,3.38
7,Sun,October 23,1:00PM ET,boxscore,L,,1-5,@,Dallas Cowboys,6,24,18,312,195,117,5,21,330,191,139,1,-12.68,-4.39,-1.61
8,Sun,October 30,1:00PM ET,boxscore,L,,1-6,,Miami Dolphins,27,31,22,393,311,82,,27,476,369,107,1,19.14,-25.47,0.59
9,Sun,November 6,1:00PM ET,boxscore,W,,2-6,,Green Bay Packers,15,9,19,254,137,117,1,19,389,283,106,3,-1.35,5.25,2.44
10,Sun,November 13,1:00PM ET,boxscore,W,,3-6,@,Chicago Bears,31,30,25,323,228,95,,19,408,150,258,1,13.55,-9.38,2.09
11,Sun,November 20,1:00PM ET,boxscore,W,,4-6,@,New York Giants,31,18,23,325,165,160,,25,413,324,89,3,9.36,-0.64,7.69
12,Thu,November 24,12:30PM ET,boxscore,L,,4-7,,Buffalo Bills,25,28,22,326,230,96,2,28,401,237,164,1,12.71,-16.07,3.07
13,Sun,December 4,1:00PM ET,boxscore,W,,5-7,,Jacksonville Jaguars,40,14,31,437,337,100,,14,266,171,95,1,25.20,3.84,0.80
14,Sun,December 11,1:00PM ET,boxscore,W,,6-7,,Minnesota Vikings,34,23,23,464,330,134,,23,416,394,22,2,19.88,-7.96,-0.55
15,Sun,December 18,1:00PM ET,boxscore,W,,7-7,@,New York Jets,20,17,17,359,252,107,,18,337,287,50,1,2.21,-3.71,2.44
16,Sat,December 24,1:00PM ET,boxscore,L,,7-8,@,Carolina Panthers,23,37,22,381,336,45,1,30,570,250,320,,9.31,-30.20,3.52
17,Sun,January 1,1:00PM ET,boxscore,W,,8-8,,Chicago Bears,41,10,26,504,239,265,,9,230,30,200,2,22.92,10.91,-6.73
18,Sun,January 8,8:20PM ET,boxscore,W,,9-8,@,Green Bay Packers,20,16,21,323,219,104,,17,291,188,103,2,10.66,-0.31,-1.59
