Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,@,Minnesota Vikings,7,23,26,39,227,0,1,4,33,6.7,5.3,66.7,71.2,18,111,6.2,1,0,0,1,1,4,179,3,9,0,2,28:37
2,Sun,September 18,boxscore,W,,,Chicago Bears,27,10,19,25,211,2,0,3,23,9.4,7.5,76.0,127.2,38,203,5.3,1,2,2,3,3,2,122,5,9,0,0,37:15
3,Sun,September 25,boxscore,W,,@,Tampa Bay Buccaneers,14,12,27,35,248,2,1,1,7,7.3,6.9,77.1,103.0,25,67,2.7,0,0,0,2,2,7,339,6,15,0,0,33:25
4,Sun,October 2,boxscore,W,OT,,New England Patriots,27,24,21,35,244,2,1,1,7,7.2,6.8,60.0,88.3,35,199,5.7,1,2,2,3,3,5,210,6,14,1,1,36:49
5,Sun,October 9,boxscore,L,,,New York Giants,22,27,25,39,207,2,0,2,15,5.7,5.0,64.1,94.7,20,94,4.7,0,2,2,2,2,3,124,4,10,0,1,27:49
6,Sun,October 16,boxscore,L,,,New York Jets,10,27,28,45,218,1,0,4,36,5.6,4.4,62.2,81.5,20,60,3.0,0,1,2,1,1,6,244,4,16,1,4,31:12
7,Sun,October 23,boxscore,L,,@,Washington Commanders,21,23,23,35,194,2,0,0,0,5.5,5.5,65.7,99.0,12,38,3.2,0,0,0,3,3,5,208,0,6,0,1,22:53
8,Sun,October 30,boxscore,L,,@,Buffalo Bills,17,27,19,30,190,2,1,2,13,6.8,5.9,63.3,89.6,31,208,6.7,0,1,2,2,2,2,89,6,12,0,2,33:48
9,Sun,November 6,boxscore,L,,@,Detroit Lions,9,15,23,43,283,1,3,1,8,6.8,6.4,53.5,52.8,25,106,4.2,0,1,1,0,0,1,31,8,15,1,4,34:42
10,Sun,November 13,boxscore,W,OT,,Dallas Cowboys,31,28,14,20,208,3,0,2,16,11.2,9.5,70.0,143.3,39,207,5.3,1,1,2,4,4,4,160,6,13,1,1,35:55
11,Thu,November 17,boxscore,L,,,Tennessee Titans,17,27,24,39,215,2,0,1,12,5.8,5.4,61.5,93.4,19,56,2.9,0,1,1,0,1,4,189,7,14,0,2,27:32
12,Sun,November 27,boxscore,L,,@,Philadelphia Eagles,33,40,17,25,236,3,2,3,17,10.1,8.4,68.0,104.3,21,106,5.0,1,2,2,3,4,2,83,1,7,1,1,24:26
13,Sun,December 4,boxscore,W,,@,Chicago Bears,28,19,18,31,182,1,0,0,0,5.9,5.9,58.1,85.7,32,175,5.5,2,2,2,2,2,3,134,6,13,1,2,32:28
15,Mon,December 19,boxscore,W,,,Los Angeles Rams,24,12,22,30,207,1,1,3,22,7.6,6.3,73.3,89.2,35,138,3.9,2,1,1,3,3,1,37,4,9,2,2,37:19
16,Sun,December 25,boxscore,W,,@,Miami Dolphins,26,20,24,38,222,1,1,2,16,6.3,5.6,63.2,76.9,25,79,3.2,1,4,4,2,2,1,46,2,14,3,5,32:00
17,Sun,January 1,boxscore,W,,,Minnesota Vikings,41,17,17,27,152,1,0,1,16,6.2,5.4,63.0,90.4,33,163,4.9,2,2,2,5,5,3,81,7,12,0,1,34:04
18,Sun,January 8,boxscore,L,,,Detroit Lions,16,20,17,27,188,1,1,2,17,7.6,6.5,63.0,80.5,28,103,3.7,0,3,4,1,1,1,37,4,12,1,2,32:15
