Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,L,,,Cleveland Browns,24,26,16,27,207,1,1,4,28,8.7,6.7,59.3,80.3,19,54,2.8,2,1,1,3,3,5,250,4,11,0,0,21:34
2,Sun,September 18,boxscore,L,,@,New York Giants,16,19,14,29,129,1,0,2,16,5.0,4.2,48.3,72.3,23,146,6.3,0,3,3,1,1,5,212,2,12,1,1,23:55
3,Sun,September 25,boxscore,W,,,New Orleans Saints,22,14,12,25,148,1,0,3,22,6.8,5.3,48.0,80.1,31,145,4.7,0,3,3,1,1,6,281,4,14,0,1,30:10
4,Sun,October 2,boxscore,L,,,Arizona Cardinals,16,26,22,36,180,1,2,2,17,5.5,4.7,61.1,60.0,13,40,3.1,0,1,1,1,1,4,209,2,10,1,3,21:25
5,Sun,October 9,boxscore,L,,,San Francisco 49ers,15,37,25,42,244,0,1,6,31,6.5,5.1,59.5,66.0,17,64,3.8,1,3,4,0,0,3,154,3,15,3,5,29:42
6,Sun,October 16,boxscore,L,,@,Los Angeles Rams,10,24,13,21,110,0,1,2,9,5.7,4.8,61.9,55.7,21,93,4.4,0,1,1,1,1,7,362,2,10,0,0,22:55
7,Sun,October 23,boxscore,W,,,Tampa Bay Buccaneers,21,3,16,22,170,2,0,1,7,8.0,7.4,72.7,125.2,27,173,6.4,1,0,0,3,3,7,360,4,12,0,0,29:24
8,Sun,October 30,boxscore,L,OT,@,Atlanta Falcons,34,37,19,36,309,1,1,1,8,8.8,8.4,52.8,79.5,36,169,4.7,3,2,3,2,3,3,141,5,13,1,2,31:31
9,Sun,November 6,boxscore,L,,@,Cincinnati Bengals,21,42,17,30,164,2,2,0,0,5.5,5.5,56.7,66.5,18,64,3.6,1,0,0,3,3,5,270,2,8,1,1,20:39
10,Thu,November 10,boxscore,W,,,Atlanta Falcons,25,15,10,16,101,0,0,1,7,6.8,5.9,62.5,80.5,47,232,4.9,2,4,4,1,2,5,216,6,15,0,0,34:12
11,Sun,November 20,boxscore,L,,@,Baltimore Ravens,3,13,21,33,169,0,2,4,27,5.9,4.6,63.6,51.2,17,36,2.1,0,1,1,0,0,6,265,3,12,0,1,26:46
12,Sun,November 27,boxscore,W,,,Denver Broncos,23,10,11,19,164,1,0,0,0,8.6,8.6,57.9,103.8,46,185,4.0,1,3,3,2,2,5,255,2,12,2,2,37:03
14,Sun,December 11,boxscore,W,,@,Seattle Seahawks,30,24,14,24,105,1,0,2,15,5.0,4.0,58.3,82.8,46,223,4.8,2,3,3,3,3,2,107,6,13,1,2,39:16
15,Sun,December 18,boxscore,L,,,Pittsburgh Steelers,16,24,14,23,188,1,0,4,37,9.8,7.0,60.9,101.4,16,21,1.3,0,3,3,1,1,4,194,4,11,0,0,23:49
16,Sat,December 24,boxscore,W,,,Detroit Lions,37,23,15,22,250,1,0,0,0,11.4,11.4,68.2,121.4,43,320,7.4,3,3,3,4,4,3,117,3,9,1,1,35:13
17,Sun,January 1,boxscore,L,,@,Tampa Bay Buccaneers,24,30,23,37,326,3,1,2,15,9.2,8.4,62.2,106.4,22,74,3.4,0,1,1,3,3,5,251,4,11,1,2,26:50
18,Sun,January 8,boxscore,W,,@,New Orleans Saints,10,7,5,15,32,0,2,2,11,2.9,1.9,33.3,2.8,41,171,4.2,0,1,1,1,1,6,281,8,14,0,0,30:55
