Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,,Cleveland Browns,24,26,15,261,207,54,1,23,355,138,217,,5.38,-6.82,-1.66
2,Sun,September 18,1:00PM ET,boxscore,L,,0-2,@,New York Giants,16,19,18,275,129,146,2,18,265,162,103,,-2.09,6.20,-6.13
3,Sun,September 25,1:00PM ET,boxscore,W,,1-2,,New Orleans Saints,22,14,12,293,148,145,,19,426,342,84,3,-9.01,4.57,11.38
4,Sun,October 2,4:05PM ET,boxscore,L,,1-3,,Arizona Cardinals,16,26,11,220,180,40,3,20,338,206,132,1,-19.54,6.14,1.90
5,Sun,October 9,4:05PM ET,boxscore,L,,1-4,,San Francisco 49ers,15,37,15,308,244,64,1,22,397,244,153,1,-13.22,-16.04,7.82
6,Sun,October 16,4:05PM ET,boxscore,L,,1-5,@,Los Angeles Rams,10,24,8,203,110,93,1,22,360,249,111,1,-11.74,-3.51,2.53
7,Sun,October 23,1:00PM ET,boxscore,W,,2-5,,Tampa Bay Buccaneers,21,3,14,343,170,173,,17,322,276,46,,7.39,5.31,3.31
8,Sun,October 30,1:00PM ET,boxscore,L,OT,2-6,@,Atlanta Falcons,34,37,23,478,309,169,1,21,406,239,167,2,9.83,-9.40,-1.64
9,Sun,November 6,1:00PM ET,boxscore,L,,2-7,@,Cincinnati Bengals,21,42,13,228,164,64,3,30,464,223,241,,0.37,-30.20,12.97
10,Thu,November 10,8:15PM ET,boxscore,W,,3-7,,Atlanta Falcons,25,15,18,333,101,232,,20,291,153,138,1,2.11,6.14,0.94
11,Sun,November 20,1:00PM ET,boxscore,L,,3-8,@,Baltimore Ravens,3,13,13,205,169,36,3,19,308,193,115,1,-20.39,5.63,3.58
12,Sun,November 27,1:00PM ET,boxscore,W,,4-8,,Denver Broncos,23,10,19,349,164,185,1,14,246,125,121,2,6.49,9.50,-1.36
14,Sun,December 11,4:25PM ET,boxscore,W,,5-8,@,Seattle Seahawks,30,24,24,328,105,223,,16,287,241,46,2,9.49,-1.49,0.23
15,Sun,December 18,1:00PM ET,boxscore,L,,5-9,,Pittsburgh Steelers,16,24,12,209,188,21,,22,325,169,156,,3.72,-12.16,-1.58
16,Sat,December 24,1:00PM ET,boxscore,W,,6-9,,Detroit Lions,37,23,30,570,250,320,,22,381,336,45,1,30.20,-9.31,-3.52
17,Sun,January 1,1:00PM ET,boxscore,L,,6-10,@,Tampa Bay Buccaneers,24,30,22,400,326,74,3,25,478,411,67,1,4.36,-10.73,6.36
18,Sun,January 8,1:00PM ET,boxscore,W,,7-10,@,New Orleans Saints,10,7,14,203,32,171,2,16,304,161,143,1,-8.41,4.13,7.85
