Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,@,Miami Dolphins,7,20,17,271,193,78,3,18,307,242,65,,-8.28,-6.08,-1.98
2,Sun,September 18,1:00PM ET,boxscore,W,,1-1,@,Pittsburgh Steelers,17,14,18,376,252,124,1,16,243,152,91,2,6.14,3.44,-3.25
3,Sun,September 25,1:00PM ET,boxscore,L,,1-2,,Baltimore Ravens,26,37,22,447,302,145,4,19,394,206,188,2,3.50,-11.67,-3.18
4,Sun,October 2,4:25PM ET,boxscore,L,OT,1-3,@,Green Bay Packers,24,27,17,271,104,167,1,24,443,244,199,2,-2.00,-5.17,2.64
5,Sun,October 9,1:00PM ET,boxscore,W,,2-3,,Detroit Lions,29,0,22,364,188,176,1,17,312,211,101,2,10.08,22.04,-3.38
6,Sun,October 16,1:00PM ET,boxscore,W,,3-3,@,Cleveland Browns,38,15,20,399,301,98,1,16,328,258,70,4,11.30,12.35,-0.09
7,Mon,October 24,8:15PM ET,boxscore,L,,3-4,,Chicago Bears,14,33,12,260,190,70,4,24,390,147,243,1,-10.97,-8.77,-0.11
8,Sun,October 30,1:00PM ET,boxscore,W,,4-4,@,New York Jets,22,17,19,288,161,127,1,17,387,336,51,3,-9.31,2.30,12.01
9,Sun,November 6,1:00PM ET,boxscore,W,,5-4,,Indianapolis Colts,26,3,11,203,133,70,1,8,121,43,78,1,-9.55,31.93,-1.05
11,Sun,November 20,1:00PM ET,boxscore,W,,6-4,,New York Jets,10,3,13,297,198,99,,6,103,44,59,,-9.78,18.64,-5.40
12,Thu,November 24,8:20PM ET,boxscore,L,,6-5,@,Minnesota Vikings,26,33,17,409,364,45,,23,358,301,57,1,11.53,-9.14,-7.59
13,Thu,December 1,8:15PM ET,boxscore,L,,6-6,,Buffalo Bills,10,24,14,242,182,60,,22,355,223,132,1,-1.41,-9.50,-3.26
14,Mon,December 12,8:15PM ET,boxscore,W,,7-6,@,Arizona Cardinals,27,13,18,328,225,103,1,19,323,210,113,2,-0.47,17.43,-0.90
15,Sun,December 18,8:20PM ET,boxscore,L,,7-7,@,Las Vegas Raiders,24,30,19,318,112,206,1,18,308,211,97,1,-7.82,2.33,-2.58
16,Sat,December 24,1:00PM ET,boxscore,L,,7-8,,Cincinnati Bengals,18,22,15,285,224,61,1,28,442,369,73,3,-5.00,-0.86,-1.12
17,Sun,January 1,1:00PM ET,boxscore,W,,8-8,,Miami Dolphins,23,21,14,249,173,76,,21,333,247,86,2,-1.20,1.36,1.03
18,Sun,January 8,1:00PM ET,boxscore,L,,8-9,@,Buffalo Bills,23,35,20,341,234,107,3,18,327,237,90,3,-2.57,-5.28,-7.70
