Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:25PM ET,boxscore,L,,0-1,@,Los Angeles Chargers,19,24,18,320,256,64,3,18,355,279,76,,-2.73,-6.30,1.95
2,Sun,September 18,4:25PM ET,boxscore,L,OT,0-2,,Arizona Cardinals,23,29,20,324,244,80,1,28,413,270,143,1,4.86,-12.00,-1.75
3,Sun,September 25,1:00PM ET,boxscore,L,,0-3,@,Tennessee Titans,22,24,24,396,300,96,1,19,361,252,109,1,9.09,-9.10,-4.28
4,Sun,October 2,4:25PM ET,boxscore,W,,1-3,,Denver Broncos,32,23,25,385,173,212,,12,299,214,85,1,12.04,6.65,-6.95
5,Mon,October 10,8:15PM ET,boxscore,L,,1-4,@,Kansas City Chiefs,29,30,18,378,223,155,,29,368,265,103,,11.65,-14.21,-0.35
7,Sun,October 23,4:05PM ET,boxscore,W,,2-4,,Houston Texans,38,20,25,400,236,164,,21,404,296,108,1,23.48,-5.28,-1.03
8,Sun,October 30,1:00PM ET,boxscore,L,,2-5,@,New Orleans Saints,0,24,13,183,145,38,1,22,367,231,136,,-8.49,-16.76,6.72
9,Sun,November 6,1:00PM ET,boxscore,L,,2-6,@,Jacksonville Jaguars,20,27,16,321,248,73,1,22,403,235,168,1,-0.43,-13.11,2.69
10,Sun,November 13,4:05PM ET,boxscore,L,,2-7,,Indianapolis Colts,20,25,18,309,232,77,,20,415,208,207,1,-0.17,-10.87,8.65
11,Sun,November 20,4:05PM ET,boxscore,W,OT,3-7,@,Denver Broncos,22,16,20,407,298,109,,19,320,226,94,,5.95,-4.11,4.44
12,Sun,November 27,4:05PM ET,boxscore,W,OT,4-7,@,Seattle Seahawks,40,34,27,576,293,283,2,22,372,307,65,2,16.24,-6.66,-6.76
13,Sun,December 4,4:25PM ET,boxscore,W,,5-7,,Los Angeles Chargers,27,20,21,404,250,154,2,22,386,314,72,1,5.34,-0.15,-1.56
14,Thu,December 8,8:15PM ET,boxscore,L,,5-8,@,Los Angeles Rams,16,17,17,302,137,165,2,20,282,211,71,1,0.55,-5.59,4.09
15,Sun,December 18,8:20PM ET,boxscore,W,,6-8,,New England Patriots,30,24,18,308,211,97,1,19,318,112,206,1,-2.33,7.82,2.58
16,Sat,December 24,8:15PM ET,boxscore,L,,6-9,@,Pittsburgh Steelers,10,13,13,201,143,58,3,19,350,244,106,1,-9.12,-2.33,5.58
17,Sun,January 1,4:05PM ET,boxscore,L,OT,6-10,,San Francisco 49ers,34,37,29,500,365,135,2,27,454,284,170,1,13.83,-23.25,6.49
18,Sat,January 7,4:30PM ET,boxscore,L,,6-11,,Kansas City Chiefs,13,31,21,279,180,99,2,21,349,181,168,,-5.67,-16.83,1.37
