Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Thu,September 8,boxscore,L,,,Buffalo Bills,10,31,29,41,191,1,3,7,49,5.9,4.0,70.7,58.1,18,52,2.9,0,1,1,1,1,4,180,6,13,2,3,28:46
2,Sun,September 18,boxscore,W,,,Atlanta Falcons,31,27,27,36,272,3,2,1,0,7.6,7.4,75.0,100.7,26,65,2.5,1,1,1,4,4,0,0,6,10,0,1,30:24
3,Sun,September 25,boxscore,W,,@,Arizona Cardinals,20,12,18,25,239,0,0,1,10,10.0,9.2,72.0,101.9,20,100,5.0,2,2,2,2,2,3,135,3,8,0,0,26:04
4,Mon,October 3,boxscore,L,,@,San Francisco 49ers,9,24,32,48,200,0,1,7,54,5.3,3.6,66.7,66.3,18,57,3.2,0,3,3,0,0,4,229,5,15,2,2,34:34
5,Sun,October 9,boxscore,L,,,Dallas Cowboys,10,22,29,44,285,1,1,5,35,7.3,5.8,65.9,82.1,15,38,2.5,0,1,2,1,1,6,223,6,17,1,1,30:30
6,Sun,October 16,boxscore,W,,,Carolina Panthers,24,10,26,33,249,1,1,1,4,7.7,7.3,78.8,95.6,29,111,3.8,2,1,1,3,3,5,240,6,12,0,0,37:05
8,Sun,October 30,boxscore,L,,,San Francisco 49ers,14,31,22,33,167,1,0,2,20,5.7,4.8,66.7,88.8,21,56,2.7,1,0,0,2,2,5,253,8,13,0,0,30:04
9,Sun,November 6,boxscore,L,,@,Tampa Bay Buccaneers,13,16,13,27,138,1,0,4,27,6.1,4.5,48.1,75.8,24,68,2.8,0,2,2,1,1,9,477,4,15,0,0,28:44
10,Sun,November 13,boxscore,L,,,Arizona Cardinals,17,27,25,37,190,1,1,3,19,5.6,4.8,67.6,77.5,20,66,3.3,1,1,1,2,2,5,252,3,11,2,2,27:59
11,Sun,November 20,boxscore,L,,@,New Orleans Saints,20,27,16,28,188,2,0,4,35,8.0,5.9,57.1,101.5,30,148,4.9,0,2,2,2,2,6,286,5,14,1,2,28:53
12,Sun,November 27,boxscore,L,,@,Kansas City Chiefs,10,26,14,24,82,1,2,3,24,4.4,3.0,58.3,44.1,28,116,4.1,0,1,1,1,1,4,180,5,13,3,3,27:34
13,Sun,December 4,boxscore,L,,,Seattle Seahawks,23,27,14,26,148,0,2,4,30,6.8,4.9,53.8,38.6,33,171,5.2,2,3,3,2,2,3,164,4,12,1,2,29:07
14,Thu,December 8,boxscore,W,,,Las Vegas Raiders,17,16,22,35,211,1,0,4,19,6.6,5.4,62.9,89.1,22,71,3.2,1,1,2,2,2,3,156,4,12,1,1,29:39
15,Mon,December 19,boxscore,L,,@,Green Bay Packers,12,24,12,21,84,1,1,5,27,5.3,3.2,57.1,62.4,17,72,4.2,0,2,2,0,1,4,151,4,11,0,0,22:41
16,Sun,December 25,boxscore,W,,,Denver Broncos,51,14,24,28,230,2,0,0,0,8.2,8.2,85.7,124.7,36,158,4.4,3,3,3,6,6,0,0,6,10,1,1,36:35
17,Sun,January 1,boxscore,L,,@,Los Angeles Chargers,10,31,11,19,111,0,0,3,21,6.9,5.0,57.9,74.7,26,166,6.4,1,1,1,1,1,5,222,4,11,0,0,28:08
18,Sun,January 8,boxscore,L,OT,@,Seattle Seahawks,16,19,13,26,123,0,1,5,24,5.7,4.0,50.0,47.4,28,146,5.2,1,3,3,1,1,6,286,4,14,1,1,29:55
