Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 8,8:20PM ET,boxscore,L,,0-1,,Buffalo Bills,10,31,19,243,191,52,3,23,413,292,121,4,-10.29,-13.89,3.96
2,Sun,September 18,4:05PM ET,boxscore,W,,1-1,,Atlanta Falcons,31,27,24,337,272,65,3,17,261,171,90,3,8.46,3.49,-8.11
3,Sun,September 25,4:25PM ET,boxscore,W,,2-1,@,Arizona Cardinals,20,12,15,339,239,100,1,23,365,295,70,,5.31,-0.80,5.72
4,Mon,October 3,8:15PM ET,boxscore,L,,2-2,@,San Francisco 49ers,9,24,21,257,200,57,2,13,327,239,88,,-11.56,-10.05,7.93
5,Sun,October 9,4:25PM ET,boxscore,L,,2-3,,Dallas Cowboys,10,22,14,323,285,38,3,10,239,76,163,,-11.11,8.44,-6.98
6,Sun,October 16,4:05PM ET,boxscore,W,,3-3,,Carolina Panthers,24,10,22,360,249,111,1,8,203,110,93,1,3.51,11.74,-2.53
8,Sun,October 30,4:25PM ET,boxscore,L,,3-4,,San Francisco 49ers,14,31,16,223,167,56,,22,368,257,111,,3.37,-23.18,2.48
9,Sun,November 6,4:25PM ET,boxscore,L,,3-5,@,Tampa Bay Buccaneers,13,16,9,206,138,68,,18,323,272,51,,-10.99,8.87,-1.37
10,Sun,November 13,4:25PM ET,boxscore,L,,3-6,,Arizona Cardinals,17,27,18,256,190,66,2,18,298,220,78,,-5.36,-5.83,0.48
11,Sun,November 20,1:00PM ET,boxscore,L,,3-7,@,New Orleans Saints,20,27,17,336,188,148,,19,323,235,88,,3.06,-8.99,-2.98
12,Sun,November 27,4:25PM ET,boxscore,L,,3-8,@,Kansas City Chiefs,10,26,13,198,82,116,2,29,437,320,117,2,-9.01,-13.96,8.76
13,Sun,December 4,4:05PM ET,boxscore,L,,3-9,,Seattle Seahawks,23,27,20,319,148,171,2,25,438,348,90,2,4.46,-12.57,3.11
14,Thu,December 8,8:15PM ET,boxscore,W,,4-9,,Las Vegas Raiders,17,16,20,282,211,71,1,17,302,137,165,2,5.59,-0.55,-4.09
15,Mon,December 19,8:15PM ET,boxscore,L,,4-10,@,Green Bay Packers,12,24,13,156,84,72,1,27,345,207,138,2,-1.29,-13.03,-0.81
16,Sun,December 25,4:30PM ET,boxscore,W,,5-10,,Denver Broncos,51,14,26,388,230,158,,18,323,219,104,4,22.61,13.18,1.14
17,Sun,January 1,4:25PM ET,boxscore,L,,5-11,@,Los Angeles Chargers,10,31,12,277,111,166,1,22,431,239,192,,-0.47,-21.57,0.25
18,Sun,January 8,4:25PM ET,boxscore,L,OT,5-12,@,Seattle Seahawks,16,19,14,269,123,146,1,22,402,205,197,2,-3.80,3.11,-2.32
