Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,@,New York Jets,24,9,17,30,211,3,1,2,2,7.1,6.6,56.7,98.1,21,63,3.0,0,1,1,3,3,6,291,5,13,0,0,27:30
2,Sun,September 18,boxscore,L,,,Miami Dolphins,38,42,21,29,318,3,0,0,0,11.0,11.0,72.4,142.6,25,155,6.2,1,1,1,5,5,2,81,3,10,1,3,25:13
3,Sun,September 25,boxscore,W,,@,New England Patriots,37,26,18,29,206,4,1,4,12,7.5,6.2,62.1,108.6,26,188,7.2,1,1,1,4,5,3,133,5,11,0,0,30:36
4,Sun,October 2,boxscore,L,,,Buffalo Bills,20,23,20,29,134,1,2,2,10,5.0,4.3,69.0,61.6,33,162,4.9,1,2,2,2,2,3,152,6,13,1,2,38:10
5,Sun,October 9,boxscore,W,,,Cincinnati Bengals,19,17,19,32,170,1,1,1,4,5.4,5.2,59.4,71.1,28,155,5.5,0,4,4,1,1,2,79,5,11,0,1,29:59
6,Sun,October 16,boxscore,L,,@,New York Giants,20,24,17,32,195,1,1,2,15,6.6,5.7,53.1,69.1,24,211,8.8,1,2,3,2,2,2,95,4,10,0,0,28:08
7,Sun,October 23,boxscore,W,,,Cleveland Browns,23,20,9,16,94,0,0,3,26,7.5,4.9,56.3,73.4,44,160,3.6,2,3,3,2,2,3,181,7,15,2,2,34:04
8,Thu,October 27,boxscore,W,,@,Tampa Bay Buccaneers,27,22,27,38,222,2,0,3,16,6.3,5.4,71.1,103.2,33,231,7.0,1,2,3,3,3,4,210,6,13,0,1,38:23
9,Mon,November 7,boxscore,W,,@,New Orleans Saints,27,13,12,22,131,1,0,3,2,6.0,5.2,54.5,87.5,40,188,4.7,2,2,2,3,3,4,193,9,15,0,0,37:47
11,Sun,November 20,boxscore,W,,,Carolina Panthers,13,3,24,33,193,0,1,3,16,6.3,5.4,72.7,74.4,30,115,3.8,1,2,2,1,1,7,251,6,15,0,0,33:14
12,Sun,November 27,boxscore,L,,@,Jacksonville Jaguars,27,28,16,32,253,1,0,1,1,7.9,7.7,50.0,87.1,35,162,4.6,1,4,5,1,1,1,53,8,14,0,1,32:39
13,Sun,December 4,boxscore,W,,,Denver Broncos,10,9,30,37,182,0,2,4,16,5.4,4.4,81.1,64.6,28,103,3.7,1,1,1,1,1,6,303,3,13,3,3,32:29
14,Sun,December 11,boxscore,W,,@,Pittsburgh Steelers,16,14,11,17,94,0,0,2,10,6.1,4.9,64.7,79.0,42,215,5.1,1,3,3,1,1,3,124,4,13,1,2,32:59
15,Sat,December 17,boxscore,L,,@,Cleveland Browns,3,13,17,30,126,0,1,3,12,4.6,3.8,56.7,52.9,28,198,7.1,0,1,3,0,0,1,41,5,12,0,3,26:52
16,Sat,December 24,boxscore,W,,,Atlanta Falcons,17,9,9,17,115,1,0,0,0,6.8,6.8,52.9,94.0,34,184,5.4,0,3,4,0,0,3,115,4,12,0,0,27:16
17,Sun,January 1,boxscore,L,,,Pittsburgh Steelers,13,16,14,21,120,1,1,1,10,6.2,5.5,66.7,77.5,28,120,4.3,0,2,2,1,1,4,179,5,12,0,0,25:46
18,Sun,January 8,boxscore,L,,@,Cincinnati Bengals,16,27,19,44,276,0,2,4,10,6.5,5.8,43.2,45.3,27,110,4.1,1,3,3,1,1,3,137,6,16,0,2,28:41
19,Sun,January 15,boxscore,L,,@,Cincinnati Bengals,17,24,17,29,209,2,1,2,17,7.8,6.7,58.6,89.6,35,155,4.4,0,1,1,2,2,3,142,3,11,2,3,32:26
