Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,@,New York Jets,24,9,13,274,211,63,1,24,380,297,83,2,3.65,8.07,5.04
2,Sun,September 18,1:00PM ET,boxscore,L,,1-1,,Miami Dolphins,38,42,23,473,318,155,,27,547,461,86,2,20.31,-32.00,7.09
3,Sun,September 25,1:00PM ET,boxscore,W,,2-1,@,New England Patriots,37,26,19,394,206,188,2,22,447,302,145,4,11.67,-3.50,3.18
4,Sun,October 2,1:00PM ET,boxscore,L,,2-2,,Buffalo Bills,20,23,22,296,134,162,2,22,326,201,125,2,-2.66,-2.10,1.69
5,Sun,October 9,8:20PM ET,boxscore,W,,3-2,,Cincinnati Bengals,19,17,22,325,170,155,1,20,291,190,101,1,3.89,-3.22,1.19
6,Sun,October 16,1:00PM ET,boxscore,L,,3-3,@,New York Giants,20,24,23,406,195,211,2,18,238,155,83,1,6.00,-4.93,-8.06
7,Sun,October 23,1:00PM ET,boxscore,W,,4-3,,Cleveland Browns,23,20,17,254,94,160,1,18,336,223,113,2,1.58,-6.61,7.18
8,Thu,October 27,8:15PM ET,boxscore,W,,5-3,@,Tampa Bay Buccaneers,27,22,27,453,222,231,,20,349,305,44,1,11.24,-8.68,6.73
9,Mon,November 7,8:15PM ET,boxscore,W,,6-3,@,New Orleans Saints,27,13,23,319,131,188,,13,243,195,48,1,11.91,3.99,-1.60
11,Sun,November 20,1:00PM ET,boxscore,W,,7-3,,Carolina Panthers,13,3,19,308,193,115,1,13,205,169,36,3,-5.63,20.39,-3.58
12,Sun,November 27,1:00PM ET,boxscore,L,,7-4,@,Jacksonville Jaguars,27,28,24,415,253,162,2,18,332,294,38,1,8.53,-5.31,-1.38
13,Sun,December 4,1:00PM ET,boxscore,W,,8-4,,Denver Broncos,10,9,20,285,182,103,2,12,272,184,88,,-2.33,4.43,-1.45
14,Sun,December 11,1:00PM ET,boxscore,W,,9-4,@,Pittsburgh Steelers,16,14,18,309,94,215,,23,329,264,65,3,1.06,-7.51,6.16
15,Sat,December 17,4:30PM ET,boxscore,L,,9-5,@,Cleveland Browns,3,13,17,324,126,198,2,19,283,140,143,,-7.94,-2.64,-0.26
16,Sat,December 24,1:00PM ET,boxscore,W,,10-5,,Atlanta Falcons,17,9,15,299,115,184,,17,327,212,115,1,2.18,7.26,-3.42
17,Sun,January 1,1:00PM ET,boxscore,L,,10-6,,Pittsburgh Steelers,13,16,15,240,120,120,1,22,351,153,198,,-0.15,-9.30,6.66
18,Sun,January 8,1:00PM ET,boxscore,L,,10-7,@,Cincinnati Bengals,16,27,20,386,276,110,4,15,257,202,55,1,-13.37,9.98,-2.37
19,Sun,January 15,8:15PM ET,boxscore,L,,10-8,@,Cincinnati Bengals,17,24,23,364,209,155,2,18,234,183,51,1,-1.77,-0.70,-2.72
