Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,@,Atlanta Falcons,27,26,23,34,234,2,0,4,35,7.9,6.2,67.6,106.7,19,151,7.9,1,2,3,1,1,5,272,4,13,0,0,26:16
2,Sun,September 18,boxscore,L,,,Tampa Bay Buccaneers,10,20,25,40,208,1,3,6,28,5.9,4.5,62.5,52.9,20,100,5.0,0,1,1,1,1,5,218,4,13,0,1,30:18
3,Sun,September 25,boxscore,L,,@,Carolina Panthers,14,22,25,41,342,1,2,1,11,8.6,8.1,61.0,75.5,22,84,3.8,1,0,2,2,2,6,285,5,13,0,0,29:50
4,Sun,October 2,boxscore,L,,,Minnesota Vikings,25,28,20,28,227,1,0,2,9,8.4,7.6,71.4,107.3,27,111,4.1,2,1,2,2,2,4,194,4,10,1,1,27:47
5,Sun,October 9,boxscore,W,,,Seattle Seahawks,39,32,17,25,203,2,1,1,6,8.4,7.8,68.0,102.6,48,235,4.9,3,1,1,4,4,4,189,8,14,0,0,37:35
6,Sun,October 16,boxscore,L,,,Cincinnati Bengals,26,30,19,36,171,1,0,1,7,4.9,4.6,52.8,75.1,34,228,6.7,1,4,4,2,2,3,149,8,17,0,1,32:14
7,Thu,October 20,boxscore,L,,@,Arizona Cardinals,34,42,32,49,409,4,3,0,0,8.3,8.3,65.3,93.0,22,85,3.9,0,2,2,4,4,2,94,6,13,1,1,29:02
8,Sun,October 30,boxscore,W,,,Las Vegas Raiders,24,0,23,31,231,2,0,0,0,7.5,7.5,74.2,116.5,32,136,4.3,1,1,2,3,3,2,80,7,12,0,1,34:51
9,Mon,November 7,boxscore,L,,,Baltimore Ravens,13,27,20,30,195,1,1,4,28,7.4,5.7,66.7,81.9,15,48,3.2,0,2,2,1,1,5,232,3,11,1,1,22:13
10,Sun,November 13,boxscore,L,,@,Pittsburgh Steelers,10,20,17,28,157,1,2,2,17,6.2,5.2,60.7,58.2,15,29,1.9,0,1,1,1,1,5,259,3,12,0,1,21:04
11,Sun,November 20,boxscore,W,,,Los Angeles Rams,27,20,22,28,235,3,0,4,39,9.8,7.3,78.6,137.4,24,88,3.7,0,2,2,3,3,5,239,4,11,0,0,31:07
12,Sun,November 27,boxscore,L,,@,San Francisco 49ers,0,13,18,30,197,0,0,1,7,6.8,6.4,60.0,79.4,22,63,2.9,0,0,1,0,0,4,183,4,11,0,1,25:10
13,Mon,December 5,boxscore,L,,@,Tampa Bay Buccaneers,16,17,21,29,232,1,0,2,18,8.6,7.5,72.4,107.3,25,66,2.6,0,3,3,1,1,6,262,5,14,0,0,29:55
15,Sun,December 18,boxscore,W,,,Atlanta Falcons,21,18,13,19,214,3,0,2,17,12.2,10.2,68.4,145.6,34,134,3.9,0,0,0,3,3,4,181,5,11,0,1,29:04
16,Sat,December 24,boxscore,W,,@,Cleveland Browns,17,10,8,15,92,0,1,0,0,6.1,6.1,53.3,44.3,39,152,3.9,2,1,1,2,2,6,254,7,15,0,0,29:14
17,Sun,January 1,boxscore,W,,@,Philadelphia Eagles,20,10,20,24,184,0,1,7,45,9.5,5.9,83.3,81.3,35,129,3.7,1,2,2,2,2,6,256,7,16,1,1,37:04
18,Sun,January 8,boxscore,L,,,Carolina Panthers,7,10,15,25,161,1,0,1,10,6.8,6.2,60.0,92.2,32,143,4.5,0,0,2,1,1,5,224,4,13,0,1,29:05
