Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,@,Atlanta Falcons,27,26,18,385,234,151,1,26,416,215,201,2,4.62,-7.50,-0.51
2,Sun,September 18,1:00PM ET,boxscore,L,,1-1,,Tampa Bay Buccaneers,10,20,18,308,208,100,5,13,260,188,72,1,-18.41,9.20,-2.71
3,Sun,September 25,1:00PM ET,boxscore,L,,1-2,@,Carolina Panthers,14,22,19,426,342,84,3,12,293,148,145,,-4.57,9.01,-11.38
4,Sun,October 2,9:30AM ET,boxscore,L,,1-3,,Minnesota Vikings,25,28,19,338,227,111,2,23,344,263,81,1,7.36,-6.41,-2.69
5,Sun,October 9,1:00PM ET,boxscore,W,,2-3,,Seattle Seahawks,39,32,26,438,203,235,2,15,396,245,151,1,15.05,-4.57,-0.32
6,Sun,October 16,1:00PM ET,boxscore,L,,2-4,,Cincinnati Bengals,26,30,22,399,171,228,,21,348,273,75,1,9.06,-17.18,2.40
7,Thu,October 20,8:15PM ET,boxscore,L,,2-5,@,Arizona Cardinals,34,42,25,494,409,85,3,21,326,189,137,,5.93,-13.74,-1.75
8,Sun,October 30,1:00PM ET,boxscore,W,,3-5,,Las Vegas Raiders,24,0,22,367,231,136,,13,183,145,38,1,16.76,8.49,-6.72
9,Mon,November 7,8:15PM ET,boxscore,L,,3-6,,Baltimore Ravens,13,27,13,243,195,48,1,23,319,131,188,,-3.99,-11.91,1.60
10,Sun,November 13,1:00PM ET,boxscore,L,,3-7,@,Pittsburgh Steelers,10,20,10,186,157,29,2,28,379,162,217,,-10.60,-13.42,11.01
11,Sun,November 20,1:00PM ET,boxscore,W,,4-7,,Los Angeles Rams,27,20,19,323,235,88,,17,336,188,148,,8.99,-3.06,2.98
12,Sun,November 27,4:25PM ET,boxscore,L,,4-8,@,San Francisco 49ers,0,13,14,260,197,63,2,21,317,221,96,,-8.15,-2.05,-2.22
13,Mon,December 5,8:15PM ET,boxscore,L,,4-9,@,Tampa Bay Buccaneers,16,17,14,298,232,66,,25,350,274,76,2,-0.04,-2.62,2.46
15,Sun,December 18,1:00PM ET,boxscore,W,,5-9,,Atlanta Falcons,21,18,17,348,214,134,1,21,320,89,231,1,6.38,-8.41,1.86
16,Sat,December 24,1:00PM ET,boxscore,W,,6-9,@,Cleveland Browns,17,10,14,244,92,152,1,15,249,125,124,1,-4.01,12.78,-2.04
17,Sun,January 1,1:00PM ET,boxscore,W,,7-9,@,Philadelphia Eagles,20,10,19,313,184,129,1,11,313,246,67,1,-2.95,12.38,0.32
18,Sun,January 8,1:00PM ET,boxscore,L,,7-10,,Carolina Panthers,7,10,16,304,161,143,1,14,203,32,171,2,-4.13,8.41,-7.85
