Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Mon,September 12,boxscore,W,,,Denver Broncos,17,16,23,28,177,2,0,2,18,7.0,5.9,82.1,116.8,19,76,4.0,0,1,1,2,2,2,101,6,11,0,1,26:21
2,Sun,September 18,boxscore,L,,@,San Francisco 49ers,7,27,24,31,180,0,2,2,17,6.4,5.5,77.4,63.9,14,36,2.6,0,0,0,1,1,5,249,2,7,0,0,21:40
3,Sun,September 25,boxscore,L,,,Atlanta Falcons,23,27,32,44,308,2,1,2,17,7.4,6.7,72.7,97.5,23,112,4.9,0,3,3,2,2,2,102,9,17,2,3,31:46
4,Sun,October 2,boxscore,W,,@,Detroit Lions,48,45,23,30,320,2,0,0,0,10.7,10.7,76.7,132.6,33,235,7.1,3,2,3,6,6,0,0,9,12,0,0,33:06
5,Sun,October 9,boxscore,L,,@,New Orleans Saints,32,39,16,25,245,3,0,3,23,10.7,8.8,64.0,135.8,21,151,7.2,1,2,2,2,3,5,233,1,9,0,1,22:25
6,Sun,October 16,boxscore,W,,,Arizona Cardinals,19,9,20,31,160,0,0,5,37,6.4,4.4,64.5,77.4,30,136,4.5,1,4,4,1,1,6,293,4,14,0,1,29:16
7,Sun,October 23,boxscore,W,,@,Los Angeles Chargers,37,23,20,27,191,2,1,2,19,7.8,6.6,74.1,102.5,34,213,6.3,2,3,3,4,4,1,46,5,9,0,0,33:57
8,Sun,October 30,boxscore,W,,,New York Giants,27,13,23,34,190,2,0,3,22,6.2,5.1,67.6,101.3,25,87,3.5,1,2,2,3,3,6,291,3,13,2,2,26:26
9,Sun,November 6,boxscore,W,,@,Arizona Cardinals,31,21,26,34,263,2,1,2,12,8.1,7.3,76.5,105.4,34,158,4.6,2,1,1,4,4,3,160,10,15,0,1,34:31
10,Sun,November 13,boxscore,L,,@,Tampa Bay Buccaneers,16,21,23,33,244,2,0,3,31,8.3,6.8,69.7,111.2,14,39,2.8,0,1,1,1,1,5,253,1,9,2,2,23:05
12,Sun,November 27,boxscore,L,OT,,Las Vegas Raiders,34,40,27,37,307,2,1,3,21,8.9,7.7,73.0,104.2,23,65,2.8,2,2,2,4,4,4,191,3,9,0,0,28:05
13,Sun,December 4,boxscore,W,,@,Los Angeles Rams,27,23,28,39,348,3,1,4,19,9.4,8.1,71.8,114.0,22,90,4.1,0,2,2,3,3,2,114,5,10,0,0,30:53
14,Sun,December 11,boxscore,L,,,Carolina Panthers,24,30,21,36,241,3,2,3,23,7.3,6.2,58.3,83.2,14,46,3.3,0,1,1,3,3,4,177,6,13,1,1,20:44
15,Thu,December 15,boxscore,L,,,San Francisco 49ers,13,21,31,44,207,1,0,3,31,5.4,4.4,70.5,88.0,14,70,5.0,0,2,2,1,1,7,349,4,13,0,0,26:59
16,Sat,December 24,boxscore,L,,@,Kansas City Chiefs,10,24,25,40,200,1,1,2,15,5.4,4.8,62.5,72.9,31,133,4.3,0,1,1,1,1,5,238,2,14,3,6,35:02
17,Sun,January 1,boxscore,W,,,New York Jets,23,6,18,29,148,2,0,4,35,6.3,4.5,62.1,98.1,38,198,5.2,0,3,4,2,2,4,169,5,15,1,2,33:38
18,Sun,January 8,boxscore,W,OT,,Los Angeles Rams,19,16,19,31,205,1,2,3,8,6.9,6.0,61.3,64.6,36,197,5.5,0,4,5,1,1,5,233,1,11,1,1,35:31
19,Sat,January 14,boxscore,L,,@,San Francisco 49ers,23,41,25,35,228,2,1,3,25,7.2,6.0,71.4,95.9,25,104,4.2,1,1,1,2,2,4,194,6,13,1,1,27:14
