Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,W,OT,1-0,@,Cincinnati Bengals,23,20,13,267,192,75,,32,432,299,133,5,-8.41,7.49,4.85
2,Sun,September 18,1:00PM ET,boxscore,L,,1-1,,New England Patriots,14,17,16,243,152,91,2,18,376,252,124,1,-3.44,-6.14,3.25
3,Thu,September 22,8:15PM ET,boxscore,L,,1-2,@,Cleveland Browns,17,29,20,308,204,104,1,22,376,205,171,,-1.19,-10.79,-0.62
4,Sun,October 2,1:00PM ET,boxscore,L,,1-3,,New York Jets,20,24,20,297,178,119,4,19,348,250,98,2,-2.55,1.46,-2.91
5,Sun,October 9,1:00PM ET,boxscore,L,,1-4,@,Buffalo Bills,3,38,23,364,310,54,2,21,552,432,120,2,-9.42,-20.66,-3.54
6,Sun,October 16,1:00PM ET,boxscore,W,,2-4,,Tampa Bay Buccaneers,20,18,15,270,193,77,,20,304,229,75,,2.61,-0.17,2.77
7,Sun,October 23,8:20PM ET,boxscore,L,,2-5,@,Miami Dolphins,10,16,19,341,246,95,3,17,372,261,111,,-6.72,-0.04,2.49
8,Sun,October 30,1:00PM ET,boxscore,L,,2-6,@,Philadelphia Eagles,13,35,21,302,158,144,2,20,401,290,111,,-4.96,-23.31,2.01
10,Sun,November 13,1:00PM ET,boxscore,W,,3-6,,New Orleans Saints,20,10,28,379,162,217,,10,186,157,29,2,13.42,10.60,-11.01
11,Sun,November 20,4:25PM ET,boxscore,L,,3-7,,Cincinnati Bengals,30,37,17,351,249,102,,22,408,346,62,2,3.17,-9.45,-2.27
12,Mon,November 28,8:15PM ET,boxscore,W,,4-7,@,Indianapolis Colts,24,17,22,323,151,172,,19,290,180,110,2,7.95,3.22,-7.37
13,Sun,December 4,1:00PM ET,boxscore,W,,5-7,@,Atlanta Falcons,19,16,22,351,197,154,,18,306,160,146,1,9.60,-0.33,-1.33
14,Sun,December 11,1:00PM ET,boxscore,L,,5-8,,Baltimore Ravens,14,16,23,329,264,65,3,18,309,94,215,,7.51,-1.06,-6.16
15,Sun,December 18,1:00PM ET,boxscore,W,,6-8,@,Carolina Panthers,24,16,22,325,169,156,,12,209,188,21,,12.16,-3.72,1.58
16,Sat,December 24,8:15PM ET,boxscore,W,,7-8,,Las Vegas Raiders,13,10,19,350,244,106,1,13,201,143,58,3,2.33,9.12,-5.58
17,Sun,January 1,1:00PM ET,boxscore,W,,8-8,@,Baltimore Ravens,16,13,22,351,153,198,,15,240,120,120,1,9.30,0.15,-6.66
18,Sun,January 8,1:00PM ET,boxscore,W,,9-8,,Cleveland Browns,28,14,23,333,189,144,1,18,307,173,134,2,10.81,-3.47,2.18
