Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,T,OT,,Indianapolis Colts,20,20,23,37,222,2,0,3,18,6.5,5.6,62.2,96.9,28,77,2.8,0,2,2,2,2,7,318,5,15,0,0,30:23
2,Sun,September 18,boxscore,L,,@,Denver Broncos,9,16,19,38,154,0,0,3,23,4.7,3.8,50.0,60.6,18,80,4.4,0,3,3,0,0,5,268,2,13,1,3,27:27
3,Sun,September 25,boxscore,L,,@,Chicago Bears,20,23,20,32,237,1,2,1,8,7.7,7.2,62.5,69.4,24,92,3.8,1,2,2,2,2,5,242,3,12,1,1,28:38
4,Sun,October 2,boxscore,L,,,Los Angeles Chargers,24,34,26,35,215,2,2,4,31,7.0,5.5,74.3,84.8,14,131,9.4,1,1,2,3,3,3,156,4,12,0,2,28:21
5,Sun,October 9,boxscore,W,,@,Jacksonville Jaguars,13,6,16,24,132,0,0,1,8,5.8,5.3,66.7,80.6,31,116,3.7,1,2,2,1,1,6,293,5,13,0,0,31:47
7,Sun,October 23,boxscore,L,,@,Las Vegas Raiders,20,38,28,41,296,2,1,1,6,7.4,7.0,68.3,95.2,23,108,4.7,0,2,3,2,2,1,55,9,15,1,2,29:17
8,Sun,October 30,boxscore,L,,,Tennessee Titans,10,17,17,30,118,1,1,3,34,5.1,3.6,56.7,62.9,18,43,2.4,0,1,1,1,1,8,374,2,14,2,2,25:12
9,Thu,November 3,boxscore,L,,,Philadelphia Eagles,17,29,13,22,135,2,2,3,19,7.0,5.4,59.1,69.3,32,168,5.3,0,1,1,2,2,4,208,2,9,0,0,31:47
10,Sun,November 13,boxscore,L,,@,New York Giants,16,24,22,37,286,1,1,4,33,8.6,7.0,59.5,81.6,19,101,5.3,0,3,3,1,1,5,229,3,10,0,0,26:40
11,Sun,November 20,boxscore,L,,,Washington Commanders,10,23,19,33,127,0,2,5,42,5.1,3.3,57.6,40.8,16,21,1.3,1,1,1,1,1,6,286,2,13,4,4,25:04
12,Sun,November 27,boxscore,L,,@,Miami Dolphins,15,30,26,39,174,1,2,5,41,5.5,4.0,66.7,63.4,14,36,2.6,1,1,1,0,0,7,350,2,13,1,1,27:33
13,Sun,December 4,boxscore,L,,,Cleveland Browns,14,27,20,39,201,1,2,0,0,5.2,5.2,51.3,53.5,22,82,3.7,0,2,2,0,0,7,354,1,12,1,2,27:44
14,Sun,December 11,boxscore,L,,@,Dallas Cowboys,23,27,20,27,213,1,1,0,0,7.9,7.9,74.1,93.6,37,114,3.1,1,3,3,2,2,4,197,7,15,0,2,33:14
15,Sun,December 18,boxscore,L,OT,,Kansas City Chiefs,24,30,14,29,125,2,0,1,4,4.4,4.2,48.3,83.3,28,94,3.4,1,1,1,3,3,5,234,4,10,0,0,27:25
16,Sat,December 24,boxscore,W,,@,Tennessee Titans,19,14,20,32,215,1,1,1,3,6.8,6.5,62.5,79.6,30,70,2.3,0,2,2,1,1,5,221,5,14,0,1,33:03
17,Sun,January 1,boxscore,L,,,Jacksonville Jaguars,3,31,25,44,193,0,0,2,18,4.8,4.2,56.8,67.7,21,84,4.0,0,1,1,0,0,6,274,6,17,0,4,30:30
18,Sun,January 8,boxscore,W,,@,Indianapolis Colts,32,31,24,40,301,3,2,1,10,7.8,7.3,60.0,87.6,23,59,2.6,0,1,1,3,3,4,170,5,14,2,2,26:07
