Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,T,OT,0-0-1,,Indianapolis Colts,20,20,20,299,222,77,1,33,517,340,177,2,-2.14,-5.67,9.43
2,Sun,September 18,4:25PM ET,boxscore,L,,0-1-1,@,Denver Broncos,9,16,15,234,154,80,,20,350,201,149,1,-12.19,-3.38,5.20
3,Sun,September 25,1:00PM ET,boxscore,L,,0-2-1,@,Chicago Bears,20,23,17,329,237,92,2,17,363,82,281,2,-1.75,-2.69,1.18
4,Sun,October 2,1:00PM ET,boxscore,L,,0-3-1,,Los Angeles Chargers,24,34,16,346,215,131,2,22,419,338,81,1,2.14,-15.96,4.62
5,Sun,October 9,1:00PM ET,boxscore,W,,1-3-1,@,Jacksonville Jaguars,13,6,15,248,132,116,,22,422,286,136,2,-2.00,2.39,3.89
7,Sun,October 23,4:05PM ET,boxscore,L,,1-4-1,@,Las Vegas Raiders,20,38,21,404,296,108,1,25,400,236,164,,5.28,-23.48,1.03
8,Sun,October 30,4:05PM ET,boxscore,L,,1-5-1,,Tennessee Titans,10,17,10,161,118,43,1,16,354,40,314,2,-14.53,-2.29,7.78
9,Thu,November 3,8:15PM ET,boxscore,L,,1-6-1,,Philadelphia Eagles,17,29,20,303,135,168,2,24,360,217,143,1,1.89,-17.84,2.38
10,Sun,November 13,1:00PM ET,boxscore,L,,1-7-1,@,New York Giants,16,24,22,387,286,101,2,19,367,176,191,,0.40,-10.29,0.41
11,Sun,November 20,1:00PM ET,boxscore,L,,1-8-1,,Washington Commanders,10,23,11,148,127,21,2,20,344,191,153,,-15.79,-4.31,2.12
12,Sun,November 27,1:00PM ET,boxscore,L,,1-9-1,@,Miami Dolphins,15,30,14,210,174,36,3,25,339,273,66,1,-22.74,1.90,3.97
13,Sun,December 4,1:00PM ET,boxscore,L,,1-10-1,,Cleveland Browns,14,27,16,283,201,82,4,14,304,130,174,2,-23.84,13.96,-5.52
14,Sun,December 11,1:00PM ET,boxscore,L,,1-11-1,@,Dallas Cowboys,23,27,16,327,213,114,2,21,404,277,127,3,-8.28,-1.61,6.35
15,Sun,December 18,1:00PM ET,boxscore,L,OT,1-12-1,,Kansas City Chiefs,24,30,18,219,125,94,1,33,502,313,189,2,2.21,-13.62,6.34
16,Sat,December 24,1:00PM ET,boxscore,W,,2-12-1,@,Tennessee Titans,19,14,15,285,215,70,1,16,272,88,184,3,-5.71,10.96,-2.10
17,Sun,January 1,1:00PM ET,boxscore,L,,2-13-1,,Jacksonville Jaguars,3,31,13,277,193,84,1,20,337,168,169,2,-23.38,-4.68,4.10
18,Sun,January 8,1:00PM ET,boxscore,W,,3-13-1,@,Indianapolis Colts,32,31,18,360,301,59,3,25,398,202,196,3,-0.16,-3.77,3.89
