Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,4:25PM ET,boxscore,L,,0-1,,New York Giants,20,21,19,359,266,93,1,19,394,156,238,2,5.97,-3.72,-2.44
2,Mon,September 19,7:15PM ET,boxscore,L,,0-2,@,Buffalo Bills,7,41,12,187,107,80,4,23,414,313,101,,-18.01,-17.69,-1.55
3,Sun,September 25,1:00PM ET,boxscore,W,,1-2,,Las Vegas Raiders,24,22,19,361,252,109,1,24,396,300,96,1,9.10,-9.09,4.28
4,Sun,October 2,1:00PM ET,boxscore,W,,2-2,@,Indianapolis Colts,24,17,19,243,116,127,,21,365,327,38,3,5.33,-3.36,6.98
5,Sun,October 9,1:00PM ET,boxscore,W,,3-2,@,Washington Commanders,21,17,15,241,136,105,,17,385,342,43,1,0.25,-1.03,3.63
7,Sun,October 23,1:00PM ET,boxscore,W,,4-2,,Indianapolis Colts,19,10,16,254,116,138,1,17,292,227,65,3,-4.47,12.48,2.52
8,Sun,October 30,4:05PM ET,boxscore,W,,5-2,@,Houston Texans,17,10,16,354,40,314,2,10,161,118,43,1,2.29,14.53,-7.78
9,Sun,November 6,8:20PM ET,boxscore,L,OT,5-3,@,Kansas City Chiefs,17,20,9,229,57,172,,29,499,422,77,1,-3.85,-5.59,5.59
10,Sun,November 13,1:00PM ET,boxscore,W,,6-3,,Denver Broncos,17,10,14,307,244,63,1,18,313,248,65,1,-3.15,5.39,4.06
11,Thu,November 17,8:15PM ET,boxscore,W,,7-3,@,Green Bay Packers,27,17,21,408,320,88,1,15,271,215,56,,15.39,0.61,-2.77
12,Sun,November 27,1:00PM ET,boxscore,L,,7-4,,Cincinnati Bengals,16,20,15,344,281,63,,21,374,266,108,,4.57,-5.39,-5.94
13,Sun,December 4,1:00PM ET,boxscore,L,,7-5,@,Philadelphia Eagles,10,35,11,209,122,87,,26,453,386,67,,-8.95,-25.58,6.75
14,Sun,December 11,1:00PM ET,boxscore,L,,7-6,,Jacksonville Jaguars,22,36,22,364,227,137,4,22,428,368,60,,-3.01,-13.06,3.47
15,Sun,December 18,4:25PM ET,boxscore,L,,7-7,@,Los Angeles Chargers,14,17,17,284,157,127,1,23,365,291,74,2,-2.21,-1.70,1.72
16,Sat,December 24,1:00PM ET,boxscore,L,,7-8,,Houston Texans,14,19,16,272,88,184,3,15,285,215,70,1,-10.96,5.71,2.10
17,Thu,December 29,8:15PM ET,boxscore,L,,7-9,,Dallas Cowboys,13,27,17,317,220,97,2,26,361,274,87,3,-5.83,-8.93,1.28
18,Sat,January 7,8:15PM ET,boxscore,L,,7-10,@,Jacksonville Jaguars,16,20,19,312,165,147,2,13,222,203,19,1,-9.68,4.30,1.28
