Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 11,boxscore,W,,,Green Bay Packers,23,7,23,32,269,2,0,1,8,8.7,8.2,71.9,117.8,28,126,4.5,0,3,3,2,2,5,232,4,13,1,1,31:23
2,Mon,September 19,boxscore,L,,@,Philadelphia Eagles,7,24,27,46,202,1,3,2,19,4.8,4.2,58.7,49.4,11,62,5.6,0,0,0,1,1,5,246,4,12,0,0,23:46
3,Sun,September 25,boxscore,W,,,Detroit Lions,28,24,24,41,250,2,0,1,10,6.3,6.0,58.5,92.5,25,123,4.9,2,0,2,4,4,3,156,2,9,1,2,25:56
4,Sun,October 2,boxscore,W,,@,New Orleans Saints,28,25,26,39,263,1,1,3,23,7.3,6.3,66.7,83.6,25,81,3.2,1,5,5,1,2,3,126,5,14,1,1,32:13
5,Sun,October 9,boxscore,W,,,Chicago Bears,29,22,33,42,312,1,1,1,7,7.6,7.3,78.6,95.6,31,117,3.8,3,0,2,3,3,1,15,12,15,0,0,36:44
6,Sun,October 16,boxscore,W,,@,Miami Dolphins,24,16,20,30,156,2,0,3,19,5.8,4.7,66.7,101.5,17,78,4.6,1,1,1,1,2,10,441,2,12,0,0,24:31
8,Sun,October 30,boxscore,W,,,Arizona Cardinals,34,26,24,36,208,2,0,3,24,6.4,5.3,66.7,100.2,29,173,6.0,3,0,1,4,5,5,233,6,13,0,1,29:27
9,Sun,November 6,boxscore,W,,@,Washington Commanders,20,17,23,41,245,2,1,2,17,6.4,5.7,56.1,79.8,22,56,2.5,0,2,2,2,2,6,310,7,16,0,0,29:13
10,Sun,November 13,boxscore,W,OT,@,Buffalo Bills,33,30,30,50,334,1,2,4,23,7.1,6.2,60.0,69.9,25,147,5.9,2,2,2,3,4,3,149,7,17,3,5,35:02
11,Sun,November 20,boxscore,L,,,Dallas Cowboys,3,40,17,30,110,0,0,7,49,5.3,3.0,56.7,64.6,17,73,4.3,0,1,1,0,0,7,338,1,11,0,0,22:36
12,Thu,November 24,boxscore,W,,,New England Patriots,33,26,31,38,301,3,1,1,9,8.2,7.7,81.6,115.0,27,57,2.1,0,2,2,3,4,3,158,8,15,0,0,36:17
13,Sun,December 4,boxscore,W,,,New York Jets,27,22,21,35,159,1,0,2,14,4.9,4.3,60.0,80.5,29,128,4.4,2,2,2,3,3,6,292,9,18,1,1,28:22
14,Sun,December 11,boxscore,L,,@,Detroit Lions,23,34,31,41,394,2,0,4,31,10.4,8.8,75.6,121.4,17,22,1.3,1,1,1,2,2,3,159,4,10,1,2,28:06
15,Sat,December 17,boxscore,W,OT,,Indianapolis Colts,39,36,34,55,426,4,2,7,34,8.4,6.9,61.8,95.0,24,92,3.8,1,1,1,4,4,6,231,5,15,0,3,33:20
16,Sat,December 24,boxscore,W,,,New York Giants,27,24,34,48,270,3,0,4,29,6.2,5.2,70.8,105.4,19,83,4.4,0,2,2,3,3,5,241,6,13,0,1,30:47
17,Sun,January 1,boxscore,L,,@,Green Bay Packers,17,41,22,35,244,2,3,2,18,7.5,6.6,62.9,66.8,20,102,5.1,0,1,3,2,2,2,95,5,12,1,2,25:56
18,Sun,January 8,boxscore,W,,@,Chicago Bears,29,13,28,33,341,1,1,0,0,10.3,10.3,84.8,107.2,38,141,3.7,2,3,3,2,3,1,35,6,11,0,0,36:36
19,Sun,January 15,boxscore,L,,,New York Giants,24,31,32,40,271,2,0,0,0,6.8,6.8,80.0,111.6,16,61,3.8,1,1,1,3,3,3,164,4,10,1,2,26:24
