,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,bears,10,19,13,28,155,0,1,2,9,5.9,5.2,46.4,49.0,37,176,4.8,1,1,1,8,17,0,2,33:28,1,0-1,17,2.0,15,204,105,99,1.0,-11.26,-0.67,0.42,49ers
1,2,Sun,September 18,home,seahawks,27,7,15,24,184,1,0,1,0,7.7,7.4,62.5,100.0,45,189,4.2,2,2,3,6,15,2,3,38:20,2,1-1,25,,14,216,180,36,3.0,16.39,9.18,-7.67,49ers
2,3,Sun,September 25,away,broncos,10,11,18,29,179,1,1,4,32,7.3,5.4,62.1,76.7,19,88,4.6,0,1,1,1,10,0,0,25:31,3,1-2,13,3.0,14,261,160,101,,-16.39,13.59,-1.26,49ers
3,4,Mon,October 3,home,rams,24,9,16,27,239,1,0,0,0,8.9,8.9,59.3,100.7,22,88,4.0,1,1,2,5,12,0,1,25:26,4,2-2,13,,21,257,200,57,2.0,10.05,11.56,-7.93,49ers
4,5,Sun,October 9,away,panthers,37,15,18,30,244,2,0,2,9,8.4,7.6,60.0,108.2,29,153,5.3,2,1,2,7,12,0,0,30:18,5,3-2,22,1.0,15,308,244,64,1.0,16.04,13.22,-7.82,49ers
5,6,Sun,October 16,away,falcons,14,28,29,41,296,2,2,0,0,7.2,7.2,70.7,87.0,16,50,3.1,0,0,0,3,8,0,1,26:35,6,3-3,21,3.0,18,289,121,168,,0.59,-11.56,1.69,49ers
6,7,Sun,October 23,home,chiefs,23,44,29,46,343,2,2,5,26,8.0,6.7,63.0,82.1,21,101,4.8,0,3,3,8,14,0,0,33:45,7,3-4,25,3.0,24,529,417,112,2.0,3.59,-30.58,8.5,49ers
7,8,Sun,October 30,away,rams,31,14,22,26,257,3,0,3,12,10.3,8.9,84.6,146.3,23,111,4.8,1,1,1,5,9,0,0,29:56,8,4-4,22,,16,223,167,56,,23.18,-3.37,-2.48,49ers
8,10,Sun,November 13,home,chargers,22,16,19,28,230,0,0,1,10,8.6,7.9,67.9,92.9,41,157,3.8,2,3,3,9,17,1,1,36:59,10,5-4,22,1.0,12,238,187,51,1.0,6.2,7.29,-5.38,49ers
9,11,Mon,November 21,away,cardinals,38,10,20,29,228,4,0,0,0,7.9,7.9,69.0,131.9,28,159,5.7,1,1,1,6,11,0,0,29:09,11,6-4,21,,19,314,247,67,2.0,20.26,9.44,-1.43,49ers
10,12,Sun,November 27,home,saints,13,0,26,37,221,1,0,1,1,6.0,5.8,70.3,94.5,29,96,3.3,0,2,2,5,13,1,2,34:50,12,7-4,21,,14,260,197,63,2.0,2.05,8.15,2.22,49ers
11,13,Sun,December 4,home,dolphins,33,17,27,41,230,2,1,4,36,6.5,5.1,65.9,86.4,34,121,3.6,0,4,4,8,19,1,2,40:34,13,8-4,24,1.0,14,308,275,33,4.0,1.78,13.36,1.0,49ers
12,14,Sun,December 11,home,buccaneers,35,7,17,23,195,2,0,0,0,8.5,8.5,73.9,128.0,36,209,5.8,3,0,0,4,9,1,2,32:40,14,9-4,24,1.0,18,322,253,69,3.0,18.39,13.41,-0.43,49ers
13,15,Thu,December 15,away,seahawks,21,13,17,26,211,2,0,1,6,8.3,7.8,65.4,116.0,34,170,5.0,1,0,1,6,13,0,0,33:01,15,10-4,15,,16,277,207,70,1.0,9.75,11.24,-8.96,49ers
14,16,Sat,December 24,home,commanders,37,20,15,22,218,2,1,3,16,10.6,8.7,68.2,111.6,26,153,5.9,2,3,3,4,11,1,2,26:25,16,11-4,14,1.0,21,349,270,79,2.0,9.41,2.45,3.02,49ers
15,17,Sun,January 1,away,raiders,37,34,22,35,284,2,1,0,0,8.1,8.1,62.9,95.4,27,170,6.3,2,3,4,4,8,0,0,31:07,17,12-4,27,1.0,29,500,365,135,2.0,23.25,-13.83,-6.49,49ers
16,18,Sun,January 8,home,cardinals,38,13,15,20,142,3,0,4,36,8.9,5.9,75.0,133.7,37,169,4.6,2,1,1,6,13,0,1,34:14,18,13-4,21,,11,255,194,61,4.0,9.62,15.23,0.8,49ers
17,19,Sat,January 14,home,seahawks,41,23,18,30,324,3,0,1,8,11.1,10.5,60.0,130.4,33,181,5.5,1,4,4,6,11,0,0,32:46,19,14-4,24,,22,332,228,104,2.0,27.6,-6.41,-0.62,49ers
