,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,49ers,19,10,8,17,105,2,1,2,16,7.1,5.5,47.1,81.7,37,99,2.7,1,0,0,5,14,0,0,26:32,1,1-0,15,1.0,17,331,155,176,2.0,0.67,11.26,-0.42,bears
1,2,Sun,September 18,away,packers,10,27,7,11,48,0,1,3,22,6.4,3.4,63.6,35.4,27,180,6.7,1,1,1,1,7,0,1,22:45,2,1-1,11,1.0,26,414,211,203,1.0,-4.4,-16.87,1.71,bears
2,3,Sun,September 25,home,texans,23,20,8,17,82,0,2,5,24,6.2,3.7,47.1,21.8,40,281,7.0,2,3,3,6,14,0,0,31:22,3,2-1,17,2.0,17,329,237,92,2.0,2.69,1.75,-1.18,bears
3,4,Sun,October 2,away,giants,12,20,11,22,155,0,0,6,19,7.9,5.5,50.0,73.1,32,149,4.7,0,4,4,5,15,0,0,28:43,4,2-2,16,3.0,21,333,71,262,2.0,-6.69,-9.33,7.79,bears
4,5,Sun,October 9,away,vikings,22,29,15,21,193,1,0,2,15,9.9,8.4,71.4,115.8,24,78,3.3,1,3,3,4,10,1,1,23:16,5,2-3,14,1.0,29,429,312,117,1.0,1.82,-21.45,9.74,bears
5,6,Thu,October 13,home,commanders,7,12,14,27,154,1,1,5,36,7.0,4.8,51.9,66.0,37,237,6.4,0,0,0,5,13,1,4,32:12,6,2-4,20,2.0,14,214,86,128,,-2.22,7.28,-6.24,bears
6,7,Mon,October 24,away,patriots,33,14,13,21,147,1,1,4,32,8.5,5.9,61.9,78.9,45,243,5.4,2,4,4,11,18,0,1,37:14,7,3-4,24,1.0,12,260,190,70,4.0,8.77,10.97,0.11,bears
7,8,Sun,October 30,away,cowboys,29,49,18,24,131,2,0,4,25,6.5,4.7,75.0,115.1,43,240,5.6,2,1,1,6,15,2,3,36:04,8,3-5,22,1.0,24,442,242,200,1.0,1.52,-26.47,3.05,bears
8,9,Sun,November 6,home,dolphins,32,35,17,28,116,3,0,2,7,4.4,3.9,60.7,105.7,40,252,6.3,1,1,1,10,16,1,2,34:46,9,3-6,23,,21,379,302,77,,17.18,-19.83,-2.01,bears
9,10,Sun,November 13,home,lions,30,31,12,20,150,2,1,3,17,8.4,6.5,60.0,95.8,35,258,7.4,2,1,1,6,11,0,1,29:12,10,3-7,19,1.0,25,323,228,95,,9.38,-13.55,-2.09,bears
10,11,Sun,November 20,away,falcons,24,27,14,21,128,1,1,4,25,7.3,5.1,66.7,79.1,41,160,3.9,2,1,2,9,16,0,0,35:10,11,3-8,20,1.0,18,280,131,149,2.0,3.91,-4.06,-5.42,bears
11,12,Sun,November 27,away,jets,10,31,14,25,165,1,1,2,14,7.2,6.1,56.0,72.9,29,127,4.4,0,1,1,4,13,2,3,27:55,12,3-9,14,1.0,22,466,308,158,,-3.97,-20.96,3.63,bears
12,13,Sun,December 4,home,packers,19,28,20,25,254,0,2,0,0,10.2,10.2,80.0,75.7,25,155,6.2,2,2,3,6,11,0,0,27:32,13,3-10,15,3.0,21,357,182,175,,7.73,-13.69,0.33,bears
13,15,Sun,December 18,home,eagles,20,25,14,22,91,2,0,6,61,6.9,3.3,63.6,102.7,30,157,5.2,1,0,0,5,13,0,1,30:07,15,3-11,15,1.0,20,421,309,112,3.0,-6.32,-5.25,2.12,bears
14,16,Sat,December 24,home,bills,13,35,18,28,129,1,1,2,15,5.1,4.3,64.3,71.9,29,80,2.8,0,2,2,2,12,1,4,31:12,16,3-12,11,2.0,20,426,172,254,3.0,-20.55,-9.47,9.39,bears
15,17,Sun,January 1,away,lions,10,41,7,21,30,1,1,7,45,3.6,1.1,33.3,38.4,22,200,9.1,0,1,1,3,13,0,1,24:17,17,3-13,9,2.0,26,504,239,265,,-10.91,-22.92,6.73,bears
16,18,Sun,January 8,home,vikings,13,29,13,27,141,1,2,1,6,5.4,5.0,48.1,45.4,22,118,5.4,1,0,0,2,9,0,3,23:24,18,3-14,13,2.0,28,482,341,141,2.0,-5.75,-16.54,5.65,bears
