,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,steelers,20,23,33,53,299,2,4,7,39,6.4,5.0,62.3,58.6,34,133,3.9,0,2,3,8,16,1,3,43:42,1,0-1,32,5.0,13,267,192,75,,-7.49,8.41,-4.85,bengals
1,2,Sun,September 18,away,cowboys,17,20,24,36,165,1,0,6,34,5.5,3.9,66.7,86.0,25,89,3.6,0,3,3,6,17,1,1,33:48,2,0-2,19,,19,337,230,107,1.0,0.76,-6.08,1.25,bengals
2,3,Sun,September 25,away,jets,27,12,23,36,261,3,0,2,14,7.6,6.9,63.9,113.3,28,69,2.5,0,2,3,7,14,0,1,32:24,3,1-2,20,1.0,19,328,252,76,4.0,3.99,16.45,-6.98,bengals
3,4,Thu,September 29,home,dolphins,27,15,21,32,304,2,0,1,6,9.7,9.2,65.6,117.2,30,67,2.2,1,2,2,8,15,0,1,31:35,4,2-2,16,,20,378,293,85,2.0,9.11,-0.48,3.73,bengals
4,5,Sun,October 9,away,ravens,17,19,24,35,190,1,1,3,27,6.2,5.0,68.6,79.5,21,101,4.8,1,1,1,4,10,0,1,30:01,5,2-3,20,1.0,22,325,170,155,1.0,3.22,-3.89,-1.19,bengals
5,6,Sun,October 16,away,saints,30,26,28,37,273,3,0,3,27,8.1,6.8,75.7,122.9,14,75,5.4,1,1,1,6,10,0,0,27:46,6,3-3,21,1.0,22,399,171,228,,17.18,-9.06,-2.4,bengals
6,7,Sun,October 23,home,falcons,35,17,34,42,459,3,0,3,22,11.5,10.2,81.0,136.0,21,78,3.7,2,0,0,7,11,0,1,33:05,7,4-3,29,,13,214,107,107,,33.05,-3.19,-6.33,bengals
7,8,Mon,October 31,away,browns,13,32,25,35,193,2,1,5,39,6.6,4.8,71.4,91.7,10,36,3.6,0,0,1,4,10,0,1,23:15,8,4-4,15,2.0,24,440,268,172,2.0,-3.49,-15.92,-2.71,bengals
8,9,Sun,November 6,home,panthers,42,21,25,31,223,1,0,2,5,7.4,6.8,80.6,107.4,39,241,6.2,5,0,1,6,10,0,0,39:21,9,5-4,30,,13,228,164,64,3.0,30.2,-0.37,-12.97,bengals
9,11,Sun,November 20,away,steelers,37,30,24,39,346,4,2,2,9,9.1,8.4,61.5,103.2,24,62,2.6,0,3,3,3,9,0,0,31:36,11,6-4,22,2.0,17,351,249,102,,9.45,-3.17,2.27,bengals
10,12,Sun,November 27,away,titans,20,16,22,37,266,1,0,1,4,7.3,7.0,59.5,90.6,28,108,3.9,1,2,2,5,14,0,0,31:46,12,7-4,21,,15,344,281,63,,5.39,-4.57,5.94,bengals
11,13,Sun,December 4,home,chiefs,27,24,25,31,279,2,0,1,7,9.2,8.7,80.6,125.7,34,152,4.5,1,2,2,7,11,0,1,32:06,13,8-4,26,,20,349,211,138,1.0,19.79,-16.21,1.75,bengals
12,14,Sun,December 11,home,browns,23,10,18,33,227,2,1,2,12,7.2,6.5,54.5,83.8,26,136,5.2,1,1,1,6,15,0,0,28:08,14,9-4,23,1.0,18,344,273,71,1.0,7.01,8.32,-3.29,bengals
13,15,Sun,December 18,away,buccaneers,34,23,27,39,184,4,1,2,16,5.1,4.5,69.2,102.9,21,53,2.5,0,2,2,5,13,0,0,29:25,15,10-4,20,1.0,25,396,304,92,4.0,1.78,1.98,7.2,bengals
14,16,Sat,December 24,away,patriots,22,18,40,52,369,3,2,2,6,7.2,6.8,76.9,99.0,24,73,3.0,0,1,2,8,16,1,1,36:48,16,11-4,28,3.0,15,285,224,61,1.0,0.86,5.0,1.12,bengals
15,18,Sun,January 8,home,ravens,27,16,25,42,202,1,0,2,13,5.1,4.6,59.5,79.7,20,55,2.8,1,2,2,5,15,0,1,31:19,18,12-4,15,1.0,20,386,276,110,4.0,-9.98,13.37,2.37,bengals
16,19,Sun,January 15,home,ravens,24,17,23,32,183,1,0,4,26,6.5,5.1,71.9,96.2,18,51,2.8,1,1,1,7,13,0,0,27:34,19,13-4,18,1.0,23,364,209,155,2.0,0.7,1.77,2.72,bengals
