,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Thu,September 8,away,rams,31,10,26,31,292,3,2,2,5,9.6,8.8,83.9,111.3,25,121,4.8,1,1,1,9,10,0,0,31:14,1,1-0,23,4.0,19,243,191,52,3.0,13.89,10.29,-3.96,bills
1,2,Mon,September 19,home,titans,41,7,26,40,313,4,0,1,4,7.9,7.6,65.0,122.2,24,101,4.2,0,2,2,5,13,2,3,31:34,2,2-0,23,,12,187,107,80,4.0,17.69,18.01,1.55,bills
2,3,Sun,September 25,away,dolphins,19,21,42,63,382,2,0,4,18,6.3,5.7,66.7,93.5,23,115,5.0,0,1,2,11,18,2,3,40:40,3,2-1,31,1.0,15,212,171,41,,15.88,-7.45,-4.86,bills
3,4,Sun,October 2,away,ravens,23,20,19,36,201,1,1,1,12,5.9,5.4,52.8,67.0,25,125,5.0,1,3,3,4,11,1,1,21:50,4,3-1,22,2.0,22,296,134,162,2.0,2.1,2.66,-1.69,bills
4,5,Sun,October 9,home,steelers,38,3,22,36,432,4,1,0,0,12.0,12.0,61.1,128.5,18,120,6.7,1,1,2,5,9,0,0,23:52,5,4-1,21,2.0,23,364,310,54,2.0,20.66,9.42,3.54,bills
5,6,Sun,October 16,away,chiefs,24,20,27,40,318,3,0,1,11,8.2,7.8,67.5,116.5,31,125,4.0,0,1,1,4,11,1,3,31:28,6,5-1,26,1.0,23,387,319,68,2.0,11.13,-6.45,0.56,bills
6,8,Sun,October 30,home,packers,27,17,13,25,216,2,2,2,2,8.7,8.0,52.0,74.7,27,153,5.7,1,2,2,2,7,0,0,26:12,8,6-1,20,2.0,21,398,190,208,1.0,12.79,-5.55,4.01,bills
7,9,Sun,November 6,away,jets,17,20,18,34,183,0,2,5,22,6.0,4.7,52.9,44.1,22,134,6.1,2,1,2,8,13,0,1,27:16,9,6-2,19,2.0,21,310,136,174,1.0,0.54,-7.64,2.11,bills
8,10,Sun,November 13,home,vikings,30,33,29,43,311,1,2,2,19,7.7,6.9,67.4,76.8,27,175,6.5,2,3,3,7,13,0,1,33:46,10,6-3,29,4.0,24,481,334,147,2.0,1.45,-4.8,-0.39,bills
9,11,Sun,November 20,home,browns,31,23,18,27,186,1,0,2,11,7.3,6.4,66.7,98.7,33,171,5.2,1,6,6,3,11,0,0,28:38,11,7-3,22,,27,396,316,80,1.0,6.0,-10.86,13.72,bills
10,12,Thu,November 24,away,lions,28,25,24,42,237,2,1,3,16,6.0,5.3,57.1,79.2,29,164,5.7,1,2,2,7,12,0,0,31:26,12,8-3,28,1.0,22,326,230,96,2.0,16.07,-12.71,-3.07,bills
11,13,Thu,December 1,away,patriots,24,10,22,33,223,2,0,2,0,6.8,6.4,66.7,106.0,37,132,3.6,1,1,1,9,15,0,0,38:08,13,9-3,22,1.0,14,242,182,60,,9.5,1.41,3.26,bills
12,14,Sun,December 11,home,jets,20,12,16,27,130,1,0,3,17,5.4,4.3,59.3,83.9,24,102,4.3,1,2,2,2,13,0,0,25:35,14,10-3,14,,19,309,233,76,2.0,-5.17,12.35,3.77,bills
13,15,Sat,December 17,home,dolphins,32,29,25,40,296,4,0,2,8,7.6,7.0,62.5,118.3,29,150,5.2,0,1,1,8,14,0,0,29:53,15,11-3,29,1.0,20,405,217,188,,19.07,-10.87,-4.2,bills
14,16,Sat,December 24,away,bears,35,13,15,26,172,2,2,1,0,6.6,6.4,57.7,71.3,31,254,8.2,3,0,1,6,11,1,1,28:48,16,12-3,20,3.0,11,209,129,80,2.0,9.47,20.55,-9.39,bills
15,18,Sun,January 8,home,patriots,35,23,19,31,237,3,1,2,17,8.2,7.2,61.3,103.8,25,90,3.6,0,0,0,7,12,0,0,27:23,18,13-3,18,3.0,20,341,234,107,3.0,5.28,2.57,7.7,bills
16,19,Sun,January 15,home,dolphins,34,31,23,39,316,3,2,7,36,9.0,6.9,59.0,89.3,26,107,4.1,1,2,2,9,16,0,1,32:13,19,14-3,25,3.0,16,231,189,42,2.0,-2.41,15.56,-6.64,bills
