,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Mon,September 12,away,seahawks,16,17,29,42,330,1,0,2,10,8.1,7.5,69.0,100.3,20,103,5.2,0,3,4,8,15,0,1,33:39,1,0-1,20,2.0,19,253,177,76,1.0,9.94,-4.1,-6.84,broncos
1,2,Sun,September 18,home,texans,16,9,14,31,201,1,1,3,18,7.1,5.9,45.2,64.0,31,149,4.8,0,3,3,3,12,1,1,32:33,2,1-1,20,1.0,15,234,154,80,,3.38,12.19,-5.2,broncos
2,3,Sun,September 25,home,49ers,11,10,20,33,160,0,0,4,24,5.6,4.3,60.6,72.8,33,101,3.1,1,1,2,6,19,0,0,34:29,3,2-1,14,,13,267,179,88,3.0,-13.59,16.39,1.26,broncos
3,4,Sun,October 2,away,raiders,23,32,17,25,214,2,0,3,23,9.5,7.6,68.0,121.1,20,85,4.3,1,1,1,3,11,1,2,25:08,4,2-2,12,1.0,25,385,173,212,,-6.65,-12.04,6.95,broncos
4,5,Thu,October 6,home,colts,9,12,21,39,250,0,2,4,24,7.0,5.8,53.8,52.3,28,125,4.5,0,3,4,2,15,1,2,32:39,5,2-3,18,2.0,19,306,200,106,2.0,-11.36,14.91,-7.4,broncos
5,6,Mon,October 17,away,chargers,16,19,15,28,160,1,0,4,28,6.7,5.0,53.6,82.4,23,98,4.3,0,3,3,4,14,0,0,28:33,6,2-4,13,1.0,24,297,224,73,1.0,-3.11,1.03,-0.92,broncos
6,7,Sun,October 23,home,jets,9,16,24,46,219,0,1,1,6,4.9,4.7,52.2,56.3,28,105,3.8,1,1,2,5,16,1,3,32:23,7,2-5,21,1.0,10,260,105,155,,-8.53,8.14,-8.12,broncos
7,8,Sun,October 30,away,jaguars,21,17,18,30,230,1,1,3,22,8.4,7.0,60.0,81.3,28,101,3.6,2,0,0,2,11,2,3,25:56,8,3-5,18,1.0,24,305,114,191,2.0,4.66,1.81,3.24,broncos
8,10,Sun,November 13,away,titans,10,17,21,42,248,1,1,6,38,6.8,5.2,50.0,66.4,25,65,2.6,0,1,1,4,17,2,3,33:57,10,3-6,18,1.0,14,307,244,63,1.0,-5.39,3.15,-4.06,broncos
9,11,Sun,November 20,home,raiders,16,22,24,31,226,0,0,3,21,8.0,6.6,77.4,97.0,28,94,3.4,1,3,4,3,12,0,0,28:57,11,3-7,19,,20,407,298,109,,4.11,-5.95,-4.44,broncos
10,12,Sun,November 27,away,panthers,10,23,19,35,125,1,0,3,17,4.1,3.3,54.3,71.7,19,121,6.4,0,1,2,4,14,0,1,22:57,12,3-8,14,2.0,19,349,164,185,1.0,-9.5,-6.49,1.36,broncos
11,13,Sun,December 4,away,ravens,9,10,17,22,184,0,0,2,5,8.6,7.7,77.3,101.3,28,88,3.1,0,3,4,2,12,0,0,27:31,13,3-9,12,,20,285,182,103,2.0,-4.43,2.33,1.45,broncos
12,14,Sun,December 11,home,chiefs,28,34,27,44,214,4,2,6,49,6.0,4.3,61.4,84.8,19,106,5.6,0,0,0,6,17,1,2,29:47,14,3-10,17,2.0,20,431,342,89,3.0,-0.63,-7.21,0.09,broncos
13,15,Sun,December 18,home,cardinals,24,15,21,26,156,1,1,7,41,7.6,4.7,80.8,88.5,34,168,4.9,2,1,2,4,11,0,0,32:58,15,4-10,23,2.0,13,240,167,73,3.0,-0.79,19.01,-6.6,broncos
14,16,Sun,December 25,away,rams,14,51,19,35,219,1,4,6,40,7.4,5.3,54.3,43.3,20,104,5.2,0,2,2,3,10,1,3,23:25,16,4-11,18,4.0,26,388,230,158,,-13.18,-22.61,-1.14,broncos
15,17,Sun,January 1,away,chiefs,24,27,26,38,190,1,1,4,32,5.8,4.5,68.4,77.7,24,117,4.9,2,1,1,3,12,1,2,33:06,17,4-12,21,2.0,22,374,328,46,2.0,-2.92,-10.69,6.78,broncos
16,18,Sun,January 8,home,chargers,31,28,13,24,266,3,1,2,17,11.8,10.2,54.2,115.6,36,205,5.7,1,1,1,5,12,1,1,31:03,18,5-12,22,2.0,21,352,293,59,2.0,16.37,-2.63,-8.58,broncos
