,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,panthers,26,24,18,34,138,1,0,1,9,4.3,3.9,52.9,72.9,39,217,5.6,1,4,4,8,18,1,2,38:26,1,1-0,23,,15,261,207,54,1.0,6.82,-5.38,1.66,browns
1,2,Sun,September 18,home,jets,30,31,22,27,221,1,1,1,8,8.5,7.9,81.5,97.7,37,184,5.0,3,1,1,8,12,0,0,32:14,2,1-1,29,1.0,20,402,309,93,1.0,17.92,-15.19,-5.38,browns
2,3,Thu,September 22,home,steelers,29,17,21,31,205,2,0,2,15,7.1,6.2,67.7,107.6,38,171,4.5,1,1,1,6,16,3,4,36:09,3,2-1,22,,20,308,204,104,1.0,10.79,1.19,0.62,browns
3,4,Sun,October 2,away,falcons,20,23,21,35,226,0,1,1,8,6.7,6.3,60.0,67.1,35,177,5.1,2,2,2,5,14,2,3,35:44,4,2-2,22,2.0,19,333,131,202,1.0,5.25,-5.92,-1.44,browns
4,5,Sun,October 9,home,chargers,28,30,21,34,230,1,1,0,0,6.8,6.8,61.8,79.3,31,213,6.9,3,0,2,4,10,0,1,30:02,5,2-3,27,1.0,26,465,227,238,,16.53,-16.01,-4.92,browns
5,6,Sun,October 16,home,patriots,15,38,21,45,258,1,2,4,8,5.9,5.3,46.7,53.8,18,70,3.9,0,3,3,4,15,3,5,24:55,6,2-4,16,4.0,20,399,301,98,1.0,-12.35,-11.3,0.09,browns
6,7,Sun,October 23,away,ravens,20,23,22,27,223,0,0,5,35,9.6,7.0,81.5,101.1,24,113,4.7,2,2,3,2,11,1,1,25:56,7,2-5,18,2.0,17,254,94,160,1.0,6.61,-1.58,-7.18,browns
7,8,Mon,October 31,home,bengals,32,13,17,23,268,1,1,2,10,12.1,10.7,73.9,108.6,44,172,3.9,3,1,2,8,13,0,0,36:45,8,3-5,24,2.0,15,229,193,36,2.0,15.92,3.49,2.71,browns
8,10,Sun,November 13,away,dolphins,17,39,22,35,185,1,0,3,27,6.1,4.9,62.9,86.0,24,112,4.7,1,1,1,5,12,2,5,26:46,10,3-6,20,1.0,29,491,296,195,,-1.04,-28.5,4.93,browns
9,11,Sun,November 20,away,bills,23,31,28,41,316,3,0,1,8,7.9,7.5,68.3,115.5,26,80,3.1,0,1,2,4,11,1,2,31:22,11,3-7,27,1.0,22,357,186,171,,10.86,-6.0,-13.72,browns
10,12,Sun,November 27,home,buccaneers,23,17,23,37,178,1,1,4,32,5.7,4.3,62.2,71.7,34,189,5.6,2,1,2,5,17,2,4,39:04,12,4-7,22,1.0,16,325,229,96,,2.41,1.81,1.78,browns
11,13,Sun,December 4,away,texans,27,14,12,22,130,0,1,1,1,6.0,5.7,54.5,53.2,38,174,4.6,0,2,2,4,13,0,0,32:16,13,5-7,14,2.0,16,283,201,82,4.0,-13.96,23.84,5.52,browns
12,14,Sun,December 11,away,bengals,10,23,26,43,273,1,1,2,3,6.4,6.1,60.5,77.0,25,71,2.8,0,1,1,4,15,3,6,31:52,14,5-8,18,1.0,23,363,227,136,1.0,-8.32,-7.01,3.29,browns
13,15,Sat,December 17,home,ravens,13,3,18,28,140,1,0,3,21,5.8,4.5,64.3,88.4,33,143,4.3,0,2,4,5,15,2,2,33:08,15,6-8,19,,17,324,126,198,2.0,2.64,7.94,0.26,browns
14,16,Sat,December 24,home,saints,10,17,15,31,125,0,1,2,10,4.4,3.8,48.4,45.8,34,124,3.6,1,1,1,7,16,1,3,30:46,16,6-9,15,1.0,14,244,92,152,1.0,-12.78,4.01,2.04,browns
15,17,Sun,January 1,away,commanders,24,10,9,18,155,3,0,5,14,9.4,6.7,50.0,119.2,30,146,4.9,0,1,1,4,11,1,2,26:28,17,7-9,16,,17,260,124,136,3.0,7.26,7.5,-0.54,browns
16,18,Sun,January 8,away,steelers,14,28,19,29,173,2,2,7,57,7.9,4.8,65.5,75.8,22,134,6.1,0,0,0,5,12,1,2,29:04,18,7-10,18,2.0,23,333,189,144,1.0,3.47,-10.81,-2.18,browns
