,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,cowboys,19,3,18,27,195,1,1,2,17,7.9,6.7,66.7,84.6,33,152,4.6,0,4,5,5,14,0,0,32:42,1,1-0,18,1.0,12,244,173,71,1.0,0.55,19.4,-2.24,buccaneers
1,2,Sun,September 18,away,saints,20,10,18,34,188,1,0,1,2,5.6,5.4,52.9,79.0,30,72,2.4,0,2,2,5,17,0,1,29:42,2,2-0,13,1.0,18,308,208,100,5.0,-9.2,18.41,2.71,buccaneers
2,3,Sun,September 25,home,packers,12,14,31,42,251,1,0,3,20,6.5,5.6,73.8,96.4,14,34,2.4,0,2,2,2,11,1,1,26:35,3,2-1,19,2.0,14,315,248,67,2.0,-9.14,4.08,0.3,buccaneers
3,4,Sun,October 2,home,chiefs,31,41,39,52,373,3,0,1,12,7.4,7.0,75.0,113.7,6,3,0.5,1,1,1,6,10,0,0,21:22,4,2-2,27,2.0,27,417,228,189,1.0,14.15,-17.12,-5.33,buccaneers
4,5,Sun,October 9,home,falcons,21,15,35,52,351,1,0,0,0,6.8,6.8,67.3,92.7,23,69,3.0,1,2,2,9,16,0,1,29:26,5,3-2,26,,19,261,110,151,,13.3,-3.9,-1.34,buccaneers
5,6,Sun,October 16,away,steelers,18,20,25,40,229,1,0,2,14,6.1,5.5,62.5,86.4,26,75,2.9,0,4,4,4,14,2,2,30:01,6,3-3,20,,15,270,193,77,,0.17,-2.61,-2.77,buccaneers
6,7,Sun,October 23,away,panthers,3,21,32,49,276,0,0,1,14,5.9,5.5,65.3,80.0,16,46,2.9,0,1,1,2,12,1,3,30:36,7,3-4,17,,14,343,170,173,,-5.31,-7.39,-3.31,buccaneers
7,8,Thu,October 27,home,ravens,22,27,26,44,305,1,0,3,20,7.4,6.5,59.1,87.8,15,44,2.9,1,3,3,4,13,1,1,21:37,8,3-5,20,1.0,27,453,222,231,,8.68,-11.24,-6.73,buccaneers
8,9,Sun,November 6,home,rams,16,13,36,58,272,1,0,1,8,4.8,4.6,62.1,79.1,20,51,2.6,0,3,4,9,21,0,2,31:16,9,4-5,18,,9,206,138,68,,-8.87,10.99,1.37,buccaneers
9,10,Sun,November 13,home,seahawks,21,16,22,30,258,2,2,0,0,8.6,8.6,73.3,93.5,44,161,3.7,1,0,1,10,15,0,0,36:55,10,5-5,26,2.0,19,283,244,39,1.0,13.2,0.15,-7.78,buccaneers
10,12,Sun,November 27,away,browns,17,23,29,43,229,2,0,3,17,5.7,5.0,67.4,96.0,20,96,4.8,0,1,1,4,15,1,1,30:37,12,5-6,16,,22,367,178,189,1.0,-1.81,-2.41,-1.78,buccaneers
11,13,Mon,December 5,home,saints,17,16,36,54,274,2,1,1,7,5.2,5.0,66.7,83.4,20,76,3.8,0,1,1,8,15,0,0,30:05,13,6-6,25,2.0,14,298,232,66,,2.62,0.04,-2.46,buccaneers
12,14,Sun,December 11,away,49ers,7,35,34,55,253,1,2,0,0,4.6,4.6,61.8,63.7,19,69,3.6,0,0,1,4,16,4,7,27:20,14,6-7,18,3.0,24,404,195,209,1.0,-13.41,-18.39,0.43,buccaneers
13,15,Sun,December 18,home,bengals,23,34,30,44,304,3,2,1,8,7.1,6.8,68.2,91.5,25,92,3.7,0,1,2,4,12,2,3,30:35,15,6-8,25,4.0,20,237,184,53,1.0,-1.98,-1.78,-7.2,buccaneers
14,16,Sun,December 25,away,cardinals,19,16,32,48,281,1,2,0,0,5.9,5.9,66.7,71.6,30,115,3.8,0,4,4,6,17,1,2,36:57,16,7-8,21,2.0,16,325,204,121,3.0,-4.6,13.64,-6.77,buccaneers
15,17,Sun,January 1,home,panthers,30,24,34,45,411,3,0,3,21,9.6,8.6,75.6,125.3,25,67,2.7,1,1,3,4,15,2,2,33:10,17,8-8,25,1.0,22,400,326,74,3.0,10.73,-4.36,-6.36,buccaneers
16,18,Sun,January 8,away,falcons,17,30,22,34,136,2,0,0,0,4.0,4.0,64.7,92.3,20,86,4.3,0,1,1,6,13,0,1,25:11,18,8-9,12,1.0,22,382,208,174,1.0,-6.05,-8.84,1.56,buccaneers
17,19,Mon,January 16,home,cowboys,14,31,35,66,334,2,1,2,17,5.3,4.9,53.0,71.1,12,52,4.3,0,0,0,10,18,1,3,25:26,19,8-10,24,1.0,26,425,297,128,,-2.0,-25.18,9.31,buccaneers
