,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,home,chiefs,21,44,24,38,179,2,0,3,26,5.4,4.4,63.2,91.9,22,103,4.7,1,0,0,3,12,3,4,25:18,1,0-1,18,,33,488,360,128,1.0,2.29,-33.41,6.88,cardinals
1,2,Sun,September 18,away,raiders,29,23,31,49,270,1,1,1,7,5.7,5.4,63.3,76.1,28,143,5.1,2,0,0,3,13,3,5,36:22,2,1-1,28,1.0,20,324,244,80,1.0,12.0,-4.86,1.75,cardinals
2,3,Sun,September 25,home,rams,12,20,37,58,295,0,0,2,19,5.4,4.9,63.8,76.4,21,70,3.3,0,4,4,6,18,4,5,33:56,3,1-2,23,,15,339,239,100,1.0,0.8,-5.31,-5.72,cardinals
3,4,Sun,October 2,away,panthers,26,16,23,32,206,2,1,1,1,6.5,6.2,71.9,96.6,37,132,3.6,1,2,2,6,15,0,2,38:35,4,2-2,20,1.0,11,220,180,40,3.0,-6.14,19.54,-1.9,cardinals
4,5,Sun,October 9,home,eagles,17,20,28,42,239,1,1,1,11,6.0,5.6,66.7,79.4,26,124,4.8,1,1,2,8,14,1,1,25:21,5,2-3,23,1.0,24,357,218,139,,12.33,-10.63,-5.16,cardinals
5,6,Sun,October 16,away,seahawks,9,19,23,37,171,0,1,6,51,6.0,4.0,62.2,61.9,28,144,5.1,0,1,1,4,16,1,5,30:44,6,2-4,15,2.0,19,296,160,136,1.0,-14.01,8.22,-5.25,cardinals
6,7,Thu,October 20,home,saints,42,34,20,29,189,1,0,2,15,7.0,6.1,69.0,98.2,29,137,4.7,2,2,2,3,10,1,1,30:58,7,3-4,21,,25,494,409,85,3.0,13.74,-5.93,1.75,cardinals
7,8,Sun,October 30,away,vikings,26,34,31,44,297,3,2,4,29,7.4,6.2,70.5,92.7,22,78,3.5,0,2,2,4,11,0,1,30:33,8,3-5,25,3.0,25,381,208,173,1.0,2.87,-10.22,-3.71,cardinals
8,9,Sun,November 6,home,seahawks,21,31,25,35,140,2,0,5,35,5.0,3.5,71.4,97.3,21,122,5.8,0,0,0,6,14,0,2,25:29,9,3-6,15,1.0,27,421,263,158,1.0,-5.02,-10.67,-0.9,cardinals
9,10,Sun,November 13,away,rams,27,17,26,37,220,1,0,2,18,6.4,5.6,70.3,94.4,26,78,3.0,2,2,2,5,15,3,3,32:01,10,4-6,18,,18,256,190,66,2.0,5.83,5.36,-0.48,cardinals
10,11,Mon,November 21,home,49ers,10,38,30,44,247,0,2,3,30,6.3,5.3,68.2,63.4,24,67,2.8,1,1,1,8,16,0,2,30:51,11,4-7,19,2.0,21,387,228,159,,-9.44,-20.26,1.43,cardinals
11,12,Sun,November 27,home,chargers,24,25,18,29,185,2,1,1,6,6.6,6.2,62.1,89.0,34,181,5.3,1,1,2,7,13,0,1,30:35,12,4-8,20,2.0,22,311,246,65,,7.69,-6.53,-1.25,cardinals
12,14,Mon,December 12,home,patriots,13,27,28,41,210,0,1,6,45,6.2,4.5,68.3,70.2,22,113,5.1,1,2,3,4,14,1,5,33:31,14,4-9,19,2.0,18,328,225,103,1.0,-17.43,0.47,0.9,cardinals
13,15,Sun,December 18,away,broncos,15,24,20,36,167,0,3,3,6,4.8,4.3,55.6,33.0,20,73,3.7,1,3,3,2,12,0,0,27:02,15,4-10,13,3.0,23,324,156,168,2.0,-19.01,0.79,6.6,cardinals
14,16,Sun,December 25,home,buccaneers,16,19,25,46,204,0,1,1,17,4.8,4.3,54.3,56.8,27,121,4.5,1,3,3,5,19,1,1,29:22,16,4-11,16,3.0,21,396,281,115,2.0,-13.64,4.6,6.77,cardinals
15,17,Sun,January 1,away,falcons,19,20,24,40,213,1,0,2,9,5.6,5.1,60.0,82.6,27,126,4.7,0,4,5,4,11,0,1,27:36,17,4-12,22,,20,298,166,132,1.0,6.1,-3.27,-5.1,cardinals
16,18,Sun,January 8,away,49ers,13,38,20,27,194,1,3,3,15,7.7,6.5,74.1,66.5,20,61,3.1,1,0,0,4,10,0,2,25:46,18,4-13,11,4.0,21,311,142,169,,-15.23,-9.62,-0.8,cardinals
